,Sub_ID,Stim,BlockType,Alpha,Theta,Rho,neg_ll,BIC
0,alka88,52,social,0.0038575886980804484,50.0,0.0,8.222560645221055,23.89984123980611
1,alka88,12,social,0.009561498785562816,50.0,1.0,6.407316383036355,20.26935271543671
2,alka88,38,social,0.49159546208189503,2.883339778182264,1.0,6.212994273651455,19.880708496666912
3,alka88,66,social,0.030134553509560034,50.0,1.0,5.190474837483091,17.835669624330183
4,alka88,93,nonsocial,0.928695401631504,50.0,0.11801821191990582,3.268133725130061,13.990987399624125
5,alka88,21,nonsocial,0.33104520466450926,50.0,0.33636248377432254,3.076279725122051,13.607279399608103
6,alka88,43,nonsocial,0.04215330240647199,50.0,0.5605481983798642,5.359587616904483,18.173895183172966
7,alka88,59,nonsocial,0.3193074471613957,50.0,1.0,0.6936943195768014,8.842108588517604
8,alsp92,76,social,0.0,1.0,0.0,8.317766166719343,24.090252282802687
9,alsp92,94,social,1.0,25.0,0.0,7.6246227128056265,22.703965374975255
10,alsp92,26,social,1.0,34.72679733729468,0.006425500743933159,7.568948586524065,22.59261712241213
11,alsp92,68,social,0.03674121372935227,50.0,1.0,2.2212283019772765,11.897176553318555
12,alsp92,23,nonsocial,1.0,48.003749337961985,0.010641369196967699,7.371947446981373,22.198614843326748
13,alsp92,37,nonsocial,0.16996519068441243,50.0,0.3770394784315287,4.701819595791306,16.85835914094661
14,alsp92,71,nonsocial,0.40294772182026894,35.612669757503994,0.1161507909278943,4.596652065840012,16.648024081044028
15,alsp92,81,nonsocial,1.0,25.107336353135842,1.0,0.6931507126010981,8.841021374566198
16,anfi01,48,social,0.19991040183947548,50.0,1.0,0.8062597495924583,9.067239448548918
17,anfi01,58,social,0.24189304128839836,50.0,1.0,0.7051439644672937,8.865007878298588
18,anfi01,34,social,1.0,25.107336353135842,1.0,0.6931507126010981,8.841021374566198
19,anfi01,14,social,0.43592323149030554,50.0,1.0,0.6933163998800712,8.841352749124145
20,anfi01,43,nonsocial,0.6490238360300027,50.0,0.005758165625852287,6.299654014858392,20.054027979080786
21,anfi01,59,nonsocial,0.03593032668505583,50.0,0.481164208828688,4.837971234202125,17.13066241776825
22,anfi01,57,nonsocial,0.011220879957860778,50.0,1.0,5.818298332108806,19.09131661358161
23,anfi01,11,nonsocial,0.023106102434788642,50.0,1.0,7.528563267054773,22.511846483473548
24,ango96,54,social,0.3470114217811572,11.68303471820692,0.7346699122945252,4.941499886297989,17.337719721959978
25,ango96,16,social,0.5805509057659518,50.0,0.11119726258069533,4.592034038922144,16.63878802720829
26,ango96,22,social,0.05953797620416476,50.0,0.866298047173276,3.1839279336026993,13.822575816569401
27,ango96,38,social,0.0587260535080837,50.0,0.11825470163488841,6.607341658985649,20.669403267335298
28,ango96,45,nonsocial,1.0,1.0,0.6931471592063445,8.039827700368871,23.534375350101744
29,ango96,87,nonsocial,0.07025090877534382,50.0,0.0397345761036308,6.35140453832574,20.15752902601548
30,ango96,85,nonsocial,0.0,1.0,0.0,8.317766166719343,24.090252282802687
