left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,38,A,right,0,3.8607,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,2.5066,0,1,1,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,2.3697,0,2,2,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,B,left,0,2.1589,0,3,3,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,A,right,0,1.4159,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,A,right,0,1.8217,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,A,right,0,2.4592,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,B,left,0,1.0924,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,3.709,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""A"",""B""]]",No,0,0,0,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,1.525,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""A"",""B""]]",No,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,0.8197,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""A"",""B""]]",Yes,0,2,2,1,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,91,B,left,0,2.1093,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""A"",""B""]]",Yes,0,3,3,2,1,B,,,,,,,,,,,,,,,,,,,,,
A,B,92,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,3.692,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.9312,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,58,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.5259,Incongruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,26,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,,0,,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,92,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.1724,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,62,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.1745,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,58,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,0.9385,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,26,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.7101,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
