left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,38,,0,0,0,0,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,99,right,0,0,1,1,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,1.4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,right,0,0,2,2,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,2.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,left,0,0,3,3,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,B,1.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,right,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,2.2388,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,left,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,B,0.9597,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,right,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,1.0614,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,left,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,B,0.8739,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,1.4019,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""B"",""A"",""A""]]",No,0,0,0,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,gefr88,001,2022-04-06_13h03.47.645,RALT_PLD,2020.2.10,Win32,60,A,1.1573,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""B"",""A"",""A""]]",Yes,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,,
