left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,91,B,right,0,1.4022,0,0,0,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.4952,0,1,1,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,A,left,0,1.2428,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,1.4728,0,3,3,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,A,left,0,1.8331,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,A,left,0,0.9793,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,B,right,0,1.1352,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,B,right,0,1.4555,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,2.5994,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""B"",""A"",""A""]]",No,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,1.1069,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,joab01,001,2022-02-17_11h23.16.405,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""B"",""A"",""A""]]",Yes,0,1,1,3,1,B,,,,,,,,,,,,,,,,,,,,
