left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Congr/Incongr,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,38,B,right,0,4.0465,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.9955,0,1,1,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,0.8598,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,3.0299,0,3,3,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,B,right,0,1.7932,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,A,left,0,2.2873,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,A,left,0,2.7028,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,B,right,0,1.4343,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.7637,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""B"",""A""]]",Yes,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,1.0315,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""B"",""A""]]",No,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.5058,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""B"",""A""]]",No,0,2,2,3,1,B,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,2.5922,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""B"",""A""]]",No,0,3,3,2,1,B,,,,,,,,,,,,,,,,,,,,
A,B,66,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.7181,nonsocial,0,0,0,0,1,,,,,,,,,,,
A,B,84,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,2.5336,nonsocial,1,0,1,0,1,,,,,,,,,,,
A,B,52,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.4071,nonsocial,2,0,2,0,1,Congruent,,,,,,,,,,
A,B,64,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,4.0124,nonsocial,3,0,3,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,64,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.3393,nonsocial,0,0,0,0,1,Congruent,,,,,,,,,,
A,B,84,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,2.2811,nonsocial,1,0,1,0,1,Congruent,,,,,,,,,,
A,B,66,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.6124,nonsocial,2,0,2,0,1,Incongruent,,,,,,,,,,
A,B,52,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.848,nonsocial,3,0,3,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,64,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.1155,nonsocial,0,0,0,0,1,,,,,,,,,,,
A,B,66,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,2.1348,nonsocial,1,0,1,0,1,Incongruent,,,,,,,,,,
A,B,52,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,0.3558,nonsocial,2,0,2,0,1,,,,,,,,,,,
A,B,84,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,0.9099,nonsocial,3,0,3,0,1,Congruent,,,,,,,,,,
,,,,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
B,A,64,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.9355,nonsocial,0,0,0,0,1,Congruent,,,,,,,,,,
B,A,66,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.946,nonsocial,1,0,1,0,1,Congruent,,,,,,,,,,
B,A,52,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.0182,nonsocial,2,0,2,0,1,Congruent,,,,,,,,,,
B,A,84,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,5.8467,nonsocial,3,0,3,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,84,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,2.4463,nonsocial,0,0,0,0,1,Congruent,,,,,,,,,,
A,B,52,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,2.1219,nonsocial,1,0,1,0,1,,,,,,,,,,,
A,B,66,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.5264,nonsocial,2,0,2,0,1,Congruent,,,,,,,,,,
A,B,64,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.3121,nonsocial,3,0,3,0,1,Congruent,,,,,,,,,,
,,,,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,66,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.1997,nonsocial,0,0,0,0,1,Congruent,,,,,,,,,,
B,A,84,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.788,nonsocial,1,0,1,0,1,Congruent,,,,,,,,,,
B,A,52,B,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.5553,nonsocial,2,0,2,0,1,Congruent,,,,,,,,,,
B,A,64,A,,,,,,,,,,,,,,maas97,001,2022-03-16_13h11.24.581,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.142,nonsocial,3,0,3,0,1,Congruent,,,,,,,,,,
