stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
48,A,1,nonsocial,tred59,0,0
12,A,1,nonsocial,tred59,1,0
76,B,0,nonsocial,tred59,2,0
96,A,1,nonsocial,tred59,3,0
96,A,0,nonsocial,tred59,0,1
76,B,1,nonsocial,tred59,1,1
12,A,1,nonsocial,tred59,2,1
48,A,1,nonsocial,tred59,3,1
12,A,1,nonsocial,tred59,0,2
96,A,0,nonsocial,tred59,1,2
48,A,1,nonsocial,tred59,2,2
76,B,1,nonsocial,tred59,3,2
48,A,1,nonsocial,tred59,0,3
12,A,1,nonsocial,tred59,1,3
96,B,1,nonsocial,tred59,2,3
76,B,1,nonsocial,tred59,3,3
12,A,0,nonsocial,tred59,0,4
96,A,0,nonsocial,tred59,1,4
76,B,0,nonsocial,tred59,2,4
48,A,0,nonsocial,tred59,3,4
76,B,1,nonsocial,tred59,0,5
48,A,1,nonsocial,tred59,1,5
12,A,1,nonsocial,tred59,2,5
96,B,0,nonsocial,tred59,3,5
85,B,0,social,tred59,0,0
77,B,0,social,tred59,1,0
17,A,1,social,tred59,2,0
73,B,1,social,tred59,3,0
73,A,0,social,tred59,0,1
77,A,1,social,tred59,1,1
17,A,1,social,tred59,2,1
85,B,0,social,tred59,3,1
77,A,0,social,tred59,0,2
17,A,1,social,tred59,1,2
85,B,0,social,tred59,2,2
73,B,1,social,tred59,3,2
85,B,0,social,tred59,0,3
73,B,1,social,tred59,1,3
77,A,0,social,tred59,2,3
17,A,1,social,tred59,3,3
85,B,0,social,tred59,0,4
73,B,0,social,tred59,1,4
77,A,1,social,tred59,2,4
17,A,1,social,tred59,3,4
17,A,1,social,tred59,0,5
77,A,0,social,tred59,1,5
73,B,1,social,tred59,2,5
85,A,1,social,tred59,3,5
12,A,1,nonsocial,tred59,0,0
76,B,1,nonsocial,tred59,1,0
48,A,1,nonsocial,tred59,2,0
96,A,0,nonsocial,tred59,3,0
96,B,1,nonsocial,tred59,0,1
76,B,1,nonsocial,tred59,1,1
12,A,1,nonsocial,tred59,2,1
48,A,1,nonsocial,tred59,3,1
48,A,1,nonsocial,tred59,0,2
76,B,1,nonsocial,tred59,1,2
12,A,1,nonsocial,tred59,2,2
96,B,1,nonsocial,tred59,3,2
96,B,1,nonsocial,tred59,0,3
12,A,1,nonsocial,tred59,1,3
48,A,1,nonsocial,tred59,2,3
76,B,1,nonsocial,tred59,3,3
96,B,0,nonsocial,tred59,0,4
48,A,1,nonsocial,tred59,1,4
12,A,1,nonsocial,tred59,2,4
76,B,1,nonsocial,tred59,3,4
76,B,1,nonsocial,tred59,0,5
12,A,1,nonsocial,tred59,1,5
48,A,1,nonsocial,tred59,2,5
96,B,0,nonsocial,tred59,3,5
17,B,0,social,tred59,0,0
85,A,1,social,tred59,1,0
73,B,1,social,tred59,2,0
77,A,0,social,tred59,3,0
85,A,1,social,tred59,0,1
73,B,1,social,tred59,1,1
77,A,0,social,tred59,2,1
17,A,1,social,tred59,3,1
77,A,0,social,tred59,0,2
85,A,0,social,tred59,1,2
17,A,1,social,tred59,2,2
73,B,0,social,tred59,3,2
85,A,0,social,tred59,0,3
17,A,1,social,tred59,1,3
77,A,1,social,tred59,2,3
73,B,0,social,tred59,3,3
85,B,1,social,tred59,0,4
77,A,0,social,tred59,1,4
17,A,1,social,tred59,2,4
73,B,1,social,tred59,3,4
85,A,1,social,tred59,0,5
77,B,1,social,tred59,1,5
73,B,0,social,tred59,2,5
17,A,1,social,tred59,3,5
