stim,ParticipantAnswer,Reward,BlockType
52,A,1,social
52,A,0,social
52,A,1,social
52,A,1,social
52,B,0,social
52,A,1,social
52,B,1,social
52,B,0,social
52,A,1,social
52,B,1,social
52,B,0,social
52,A,0,social
12,A,0,social
12,B,1,social
12,A,0,social
12,A,0,social
12,B,1,social
12,B,1,social
12,A,0,social
12,B,0,social
12,B,1,social
12,B,1,social
12,B,1,social
12,B,1,social
38,B,1,social
38,B,1,social
38,B,1,social
38,B,1,social
38,B,1,social
38,B,1,social
38,B,1,social
38,A,0,social
38,B,1,social
38,B,0,social
38,B,1,social
38,A,0,social
66,B,1,social
66,B,0,social
66,B,0,social
66,A,0,social
66,B,0,social
66,A,1,social
66,B,0,social
66,A,1,social
66,A,1,social
66,A,1,social
66,A,0,social
66,A,0,social
93,A,0,nonsocial
93,B,1,nonsocial
93,B,1,nonsocial
93,B,1,nonsocial
93,B,1,nonsocial
93,B,1,nonsocial
93,B,0,nonsocial
93,A,0,nonsocial
93,A,0,nonsocial
93,A,0,nonsocial
93,B,1,nonsocial
93,B,0,nonsocial
21,B,0,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,B,0,nonsocial
21,A,0,nonsocial
21,A,1,nonsocial
21,A,0,nonsocial
21,B,0,nonsocial
43,B,0,nonsocial
43,B,0,nonsocial
43,A,0,nonsocial
43,A,1,nonsocial
43,A,0,nonsocial
43,B,0,nonsocial
43,B,0,nonsocial
43,A,1,nonsocial
43,A,1,nonsocial
43,A,1,nonsocial
43,A,1,nonsocial
43,A,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
59,B,0,nonsocial
59,B,1,nonsocial
59,B,1,nonsocial
