stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
76,B,0,social,alsp92,0,0
94,B,1,social,alsp92,1,0
26,B,1,social,alsp92,2,0
68,B,0,social,alsp92,3,0
76,B,0,social,alsp92,0,1
26,A,0,social,alsp92,1,1
68,B,0,social,alsp92,2,1
94,A,0,social,alsp92,3,1
26,A,1,social,alsp92,0,2
68,A,1,social,alsp92,1,2
94,A,0,social,alsp92,2,2
76,B,0,social,alsp92,3,2
76,B,0,social,alsp92,0,3
94,A,0,social,alsp92,1,3
68,A,1,social,alsp92,2,3
26,A,0,social,alsp92,3,3
76,A,1,social,alsp92,0,4
68,A,1,social,alsp92,1,4
94,A,0,social,alsp92,2,4
26,A,0,social,alsp92,3,4
76,B,0,social,alsp92,0,5
68,A,1,social,alsp92,1,5
94,A,0,social,alsp92,2,5
26,B,1,social,alsp92,3,5
23,A,0,nonsocial,alsp92,0,0
37,A,1,nonsocial,alsp92,1,0
71,A,1,nonsocial,alsp92,2,0
81,A,0,nonsocial,alsp92,3,0
71,B,0,nonsocial,alsp92,0,1
23,B,1,nonsocial,alsp92,1,1
81,B,1,nonsocial,alsp92,2,1
37,A,1,nonsocial,alsp92,3,1
71,,0,nonsocial,alsp92,0,2
37,B,0,nonsocial,alsp92,1,2
23,B,1,nonsocial,alsp92,2,2
81,B,1,nonsocial,alsp92,3,2
71,A,1,nonsocial,alsp92,0,3
37,A,1,nonsocial,alsp92,1,3
23,B,1,nonsocial,alsp92,2,3
81,B,1,nonsocial,alsp92,3,3
71,A,1,nonsocial,alsp92,0,4
37,A,1,nonsocial,alsp92,1,4
23,B,1,nonsocial,alsp92,2,4
81,B,1,nonsocial,alsp92,3,4
81,B,1,nonsocial,alsp92,0,5
37,A,1,nonsocial,alsp92,1,5
23,B,1,nonsocial,alsp92,2,5
71,A,0,nonsocial,alsp92,3,5
94,A,1,social,alsp92,0,0
76,A,0,social,alsp92,1,0
26,A,0,social,alsp92,2,0
68,A,1,social,alsp92,3,0
76,B,1,social,alsp92,0,1
26,B,1,social,alsp92,1,1
94,A,0,social,alsp92,2,1
68,A,0,social,alsp92,3,1
76,B,1,social,alsp92,0,2
68,A,1,social,alsp92,1,2
26,B,1,social,alsp92,2,2
94,A,0,social,alsp92,3,2
26,B,1,social,alsp92,0,3
76,B,0,social,alsp92,1,3
68,A,1,social,alsp92,2,3
94,A,0,social,alsp92,3,3
94,A,0,social,alsp92,0,4
76,B,0,social,alsp92,1,4
68,A,1,social,alsp92,2,4
26,B,1,social,alsp92,3,4
26,A,0,social,alsp92,0,5
68,A,1,social,alsp92,1,5
94,B,1,social,alsp92,2,5
76,A,1,social,alsp92,3,5
71,B,0,nonsocial,alsp92,0,0
81,B,1,nonsocial,alsp92,1,0
23,A,0,nonsocial,alsp92,2,0
37,A,1,nonsocial,alsp92,3,0
23,B,1,nonsocial,alsp92,0,1
71,B,0,nonsocial,alsp92,1,1
81,B,1,nonsocial,alsp92,2,1
37,B,0,nonsocial,alsp92,3,1
37,A,1,nonsocial,alsp92,0,2
71,A,1,nonsocial,alsp92,1,2
23,A,1,nonsocial,alsp92,2,2
81,B,1,nonsocial,alsp92,3,2
81,B,1,nonsocial,alsp92,0,3
71,A,1,nonsocial,alsp92,1,3
23,A,0,nonsocial,alsp92,2,3
37,A,0,nonsocial,alsp92,3,3
37,B,0,nonsocial,alsp92,0,4
23,A,1,nonsocial,alsp92,1,4
71,A,1,nonsocial,alsp92,2,4
81,B,1,nonsocial,alsp92,3,4
37,A,1,nonsocial,alsp92,0,5
71,A,1,nonsocial,alsp92,1,5
81,B,1,nonsocial,alsp92,2,5
23,A,0,nonsocial,alsp92,3,5
