stim,ParticipantAnswer,Reward,BlockType
48,A,1,social
48,A,1,social
48,A,0,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
48,A,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,0,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
34,A,0,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
34,B,1,social
14,B,0,social
14,A,1,social
14,A,1,social
14,A,0,social
14,A,1,social
14,A,1,social
14,A,0,social
14,A,1,social
14,A,1,social
14,A,1,social
14,A,1,social
14,A,1,social
43,A,0,nonsocial
43,B,1,nonsocial
43,A,0,nonsocial
43,B,1,nonsocial
43,B,1,nonsocial
43,A,0,nonsocial
43,A,1,nonsocial
43,A,0,nonsocial
43,B,1,nonsocial
43,B,1,nonsocial
43,B,0,nonsocial
43,B,1,nonsocial
59,B,0,nonsocial
59,B,0,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,B,0,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,A,1,nonsocial
59,A,0,nonsocial
57,B,0,nonsocial
57,B,0,nonsocial
57,NA,0,nonsocial
57,A,1,nonsocial
57,A,1,nonsocial
57,A,1,nonsocial
57,B,0,nonsocial
57,A,1,nonsocial
57,A,0,nonsocial
57,A,1,nonsocial
57,A,1,nonsocial
57,A,1,nonsocial
11,B,1,nonsocial
11,B,0,nonsocial
11,B,0,nonsocial
11,B,1,nonsocial
11,B,1,nonsocial
11,B,1,nonsocial
11,A,1,nonsocial
11,B,0,nonsocial
11,B,1,nonsocial
11,B,1,nonsocial
11,B,1,nonsocial
11,B,1,nonsocial
