stim,ParticipantAnswer,Reward,BlockType
54,B,1,social
54,B,1,social
54,B,1,social
54,B,1,social
54,B,1,social
54,B,1,social
54,B,1,social
54,A,1,social
54,B,1,social
54,B,1,social
54,B,1,social
54,B,0,social
16,A,0,social
16,B,0,social
16,A,0,social
16,B,0,social
16,A,1,social
16,A,1,social
16,A,1,social
16,A,1,social
16,B,0,social
16,A,1,social
16,A,1,social
16,A,1,social
22,A,1,social
22,A,0,social
22,A,1,social
22,B,0,social
22,A,1,social
22,A,1,social
22,A,1,social
22,A,1,social
22,A,1,social
22,A,1,social
22,A,1,social
22,A,1,social
38,B,1,social
38,A,1,social
38,A,0,social
38,B,1,social
38,A,0,social
38,A,0,social
38,B,1,social
38,B,1,social
38,B,1,social
38,A,0,social
38,B,1,social
38,B,1,social
45,A,0,nonsocial
45,A,0,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,A,0,nonsocial
45,A,0,nonsocial
45,B,1,nonsocial
45,B,0,nonsocial
45,A,1,nonsocial
45,A,0,nonsocial
45,A,0,nonsocial
45,A,0,nonsocial
87,B,0,nonsocial
87,A,0,nonsocial
87,A,0,nonsocial
87,A,0,nonsocial
87,B,0,nonsocial
87,B,1,nonsocial
87,A,0,nonsocial
87,B,1,nonsocial
87,B,0,nonsocial
87,A,0,nonsocial
87,B,1,nonsocial
87,A,0,nonsocial
85,B,1,nonsocial
85,B,1,nonsocial
85,B,0,nonsocial
85,B,0,nonsocial
85,B,0,nonsocial
85,B,0,nonsocial
85,A,1,nonsocial
85,A,1,nonsocial
85,B,1,nonsocial
85,B,0,nonsocial
85,B,0,nonsocial
85,B,0,nonsocial
29,A,1,nonsocial
29,B,0,nonsocial
29,A,0,nonsocial
29,B,0,nonsocial
29,B,0,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
29,A,1,nonsocial
