stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
64,A,0,nonsocial,anpe97,0,0
96,A,1,nonsocial,anpe97,1,0
74,B,1,nonsocial,anpe97,2,0
98,A,1,nonsocial,anpe97,3,0
98,B,0,nonsocial,anpe97,0,1
96,A,1,nonsocial,anpe97,1,1
74,B,1,nonsocial,anpe97,2,1
64,B,0,nonsocial,anpe97,3,1
96,A,1,nonsocial,anpe97,0,2
98,A,1,nonsocial,anpe97,1,2
74,B,1,nonsocial,anpe97,2,2
64,B,1,nonsocial,anpe97,3,2
96,A,1,nonsocial,anpe97,0,3
64,B,1,nonsocial,anpe97,1,3
98,A,1,nonsocial,anpe97,2,3
74,B,1,nonsocial,anpe97,3,3
74,B,1,nonsocial,anpe97,0,4
96,A,1,nonsocial,anpe97,1,4
98,A,1,nonsocial,anpe97,2,4
64,B,1,nonsocial,anpe97,3,4
96,A,1,nonsocial,anpe97,0,5
98,A,1,nonsocial,anpe97,1,5
74,B,0,nonsocial,anpe97,2,5
64,A,0,nonsocial,anpe97,3,5
31,A,0,social,anpe97,0,0
37,A,1,social,anpe97,1,0
21,A,1,social,anpe97,2,0
81,B,1,social,anpe97,3,0
21,A,0,social,anpe97,0,1
37,B,1,social,anpe97,1,1
81,A,1,social,anpe97,2,1
31,A,0,social,anpe97,3,1
21,B,0,social,anpe97,0,2
31,B,1,social,anpe97,1,2
37,A,0,social,anpe97,2,2
81,A,1,social,anpe97,3,2
21,B,1,social,anpe97,0,3
31,B,1,social,anpe97,1,3
81,A,1,social,anpe97,2,3
37,B,1,social,anpe97,3,3
21,B,0,social,anpe97,0,4
31,B,1,social,anpe97,1,4
37,B,1,social,anpe97,2,4
81,A,1,social,anpe97,3,4
81,B,0,social,anpe97,0,5
21,A,1,social,anpe97,1,5
31,B,1,social,anpe97,2,5
37,B,1,social,anpe97,3,5
96,A,1,nonsocial,anpe97,0,0
98,A,1,nonsocial,anpe97,1,0
64,B,1,nonsocial,anpe97,2,0
74,B,1,nonsocial,anpe97,3,0
74,B,0,nonsocial,anpe97,0,1
64,A,0,nonsocial,anpe97,1,1
96,A,1,nonsocial,anpe97,2,1
98,B,0,nonsocial,anpe97,3,1
74,B,1,nonsocial,anpe97,0,2
98,B,0,nonsocial,anpe97,1,2
96,B,0,nonsocial,anpe97,2,2
64,A,0,nonsocial,anpe97,3,2
64,B,1,nonsocial,anpe97,0,3
96,B,0,nonsocial,anpe97,1,3
98,B,0,nonsocial,anpe97,2,3
74,B,0,nonsocial,anpe97,3,3
98,A,1,nonsocial,anpe97,0,4
64,A,1,nonsocial,anpe97,1,4
74,B,1,nonsocial,anpe97,2,4
96,A,1,nonsocial,anpe97,3,4
98,A,1,nonsocial,anpe97,0,5
74,B,1,nonsocial,anpe97,1,5
96,A,1,nonsocial,anpe97,2,5
64,A,0,nonsocial,anpe97,3,5
81,A,1,social,anpe97,0,0
21,A,1,social,anpe97,1,0
37,A,0,social,anpe97,2,0
31,A,0,social,anpe97,3,0
21,A,1,social,anpe97,0,1
31,B,1,social,anpe97,1,1
37,B,1,social,anpe97,2,1
81,A,1,social,anpe97,3,1
31,B,1,social,anpe97,0,2
21,B,1,social,anpe97,1,2
81,B,1,social,anpe97,2,2
37,B,1,social,anpe97,3,2
31,B,1,social,anpe97,0,3
21,A,1,social,anpe97,1,3
37,B,1,social,anpe97,2,3
81,A,1,social,anpe97,3,3
81,A,1,social,anpe97,0,4
31,B,1,social,anpe97,1,4
37,B,1,social,anpe97,2,4
21,A,1,social,anpe97,3,4
31,B,1,social,anpe97,0,5
81,A,1,social,anpe97,1,5
37,B,1,social,anpe97,2,5
21,A,1,social,anpe97,3,5
