stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
10,A,1,social,beka93,0,0
38,B,1,social,beka93,1,0
20,B,1,social,beka93,2,0
76,B,0,social,beka93,3,0
20,B,1,social,beka93,0,1
10,B,1,social,beka93,1,1
38,B,0,social,beka93,2,1
76,A,1,social,beka93,3,1
10,B,1,social,beka93,0,2
20,B,0,social,beka93,1,2
76,A,1,social,beka93,2,2
38,A,0,social,beka93,3,2
20,B,0,social,beka93,0,3
76,A,0,social,beka93,1,3
38,B,1,social,beka93,2,3
10,B,1,social,beka93,3,3
20,A,1,social,beka93,0,4
10,B,0,social,beka93,1,4
76,A,1,social,beka93,2,4
38,B,0,social,beka93,3,4
20,A,0,social,beka93,0,5
76,A,1,social,beka93,1,5
10,B,0,social,beka93,2,5
38,B,1,social,beka93,3,5
89,B,1,nonsocial,beka93,0,0
65,A,1,nonsocial,beka93,1,0
21,A,1,nonsocial,beka93,2,0
91,A,0,nonsocial,beka93,3,0
65,B,1,nonsocial,beka93,0,1
89,B,1,nonsocial,beka93,1,1
91,A,0,nonsocial,beka93,2,1
21,A,1,nonsocial,beka93,3,1
65,B,0,nonsocial,beka93,0,2
89,B,0,nonsocial,beka93,1,2
21,A,1,nonsocial,beka93,2,2
91,B,0,nonsocial,beka93,3,2
89,B,1,nonsocial,beka93,0,3
21,A,1,nonsocial,beka93,1,3
91,A,0,nonsocial,beka93,2,3
65,B,0,nonsocial,beka93,3,3
91,A,0,nonsocial,beka93,0,4
21,A,1,nonsocial,beka93,1,4
89,B,1,nonsocial,beka93,2,4
65,B,0,nonsocial,beka93,3,4
65,B,0,nonsocial,beka93,0,5
89,B,0,nonsocial,beka93,1,5
21,A,1,nonsocial,beka93,2,5
91,B,0,nonsocial,beka93,3,5
76,B,0,social,beka93,0,0
10,B,1,social,beka93,1,0
20,B,0,social,beka93,2,0
38,A,0,social,beka93,3,0
38,B,1,social,beka93,0,1
10,B,1,social,beka93,1,1
76,A,1,social,beka93,2,1
20,A,1,social,beka93,3,1
10,B,1,social,beka93,0,2
38,B,1,social,beka93,1,2
76,A,0,social,beka93,2,2
20,A,1,social,beka93,3,2
76,A,1,social,beka93,0,3
10,B,1,social,beka93,1,3
38,B,1,social,beka93,2,3
20,A,0,social,beka93,3,3
76,A,1,social,beka93,0,4
38,B,1,social,beka93,1,4
10,B,1,social,beka93,2,4
20,A,1,social,beka93,3,4
76,A,1,social,beka93,0,5
10,B,1,social,beka93,1,5
20,A,1,social,beka93,2,5
38,B,1,social,beka93,3,5
89,A,0,nonsocial,beka93,0,0
65,A,1,nonsocial,beka93,1,0
91,A,0,nonsocial,beka93,2,0
21,A,1,nonsocial,beka93,3,0
91,B,1,nonsocial,beka93,0,1
65,B,0,nonsocial,beka93,1,1
89,B,1,nonsocial,beka93,2,1
21,A,0,nonsocial,beka93,3,1
65,A,1,nonsocial,beka93,0,2
91,B,1,nonsocial,beka93,1,2
21,A,1,nonsocial,beka93,2,2
89,B,0,nonsocial,beka93,3,2
91,B,1,nonsocial,beka93,0,3
65,A,1,nonsocial,beka93,1,3
21,A,1,nonsocial,beka93,2,3
89,B,1,nonsocial,beka93,3,3
89,B,1,nonsocial,beka93,0,4
21,A,1,nonsocial,beka93,1,4
91,B,1,nonsocial,beka93,2,4
65,A,0,nonsocial,beka93,3,4
91,B,1,nonsocial,beka93,0,5
21,A,1,nonsocial,beka93,1,5
65,A,1,nonsocial,beka93,2,5
89,B,1,nonsocial,beka93,3,5
