stim,ParticipantAnswer,Reward,BlockType
20,B,1,social
20,A,0,social
20,B,1,social
20,A,1,social
20,A,0,social
20,A,0,social
20,A,0,social
20,A,0,social
20,B,1,social
20,B,1,social
20,A,0,social
20,A,0,social
22,B,1,social
22,B,1,social
22,A,0,social
22,A,0,social
22,A,0,social
22,A,0,social
22,B,1,social
22,B,1,social
22,A,0,social
22,B,1,social
22,A,0,social
22,A,0,social
82,B,0,social
82,A,1,social
82,B,0,social
82,B,1,social
82,B,0,social
82,B,0,social
82,B,0,social
82,B,0,social
82,A,1,social
82,A,1,social
82,A,1,social
82,B,1,social
92,B,0,social
92,A,1,social
92,B,0,social
92,B,0,social
92,B,0,social
92,B,0,social
92,A,0,social
92,A,1,social
92,B,1,social
92,B,0,social
92,B,0,social
92,A,1,social
89,B,1,nonsocial
89,B,1,nonsocial
89,B,1,nonsocial
89,B,0,nonsocial
89,B,1,nonsocial
89,B,1,nonsocial
89,A,0,nonsocial
89,B,0,nonsocial
89,B,1,nonsocial
89,B,1,nonsocial
89,B,1,nonsocial
89,A,1,nonsocial
53,A,1,nonsocial
53,A,0,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,0,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
53,A,1,nonsocial
73,A,0,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,A,0,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,B,1,nonsocial
73,A,1,nonsocial
73,B,0,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,0,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
21,A,1,nonsocial
