stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
34,A,0,nonsocial,chga99,0,0
68,A,0,nonsocial,chga99,1,0
64,A,1,nonsocial,chga99,2,0
74,B,0,nonsocial,chga99,3,0
34,B,1,nonsocial,chga99,0,1
68,A,0,nonsocial,chga99,1,1
74,A,1,nonsocial,chga99,2,1
64,B,1,nonsocial,chga99,3,1
34,B,0,nonsocial,chga99,0,2
68,A,0,nonsocial,chga99,1,2
74,A,1,nonsocial,chga99,2,2
64,B,0,nonsocial,chga99,3,2
74,A,1,nonsocial,chga99,0,3
34,B,1,nonsocial,chga99,1,3
64,B,0,nonsocial,chga99,2,3
68,B,1,nonsocial,chga99,3,3
74,B,0,nonsocial,chga99,0,4
68,B,0,nonsocial,chga99,1,4
64,B,0,nonsocial,chga99,2,4
34,A,0,nonsocial,chga99,3,4
68,B,1,nonsocial,chga99,0,5
64,A,0,nonsocial,chga99,1,5
34,A,1,nonsocial,chga99,2,5
74,B,1,nonsocial,chga99,3,5
33,A,0,social,chga99,0,0
51,A,0,social,chga99,1,0
75,A,1,social,chga99,2,0
73,A,1,social,chga99,3,0
33,B,1,social,chga99,0,1
75,A,1,social,chga99,1,1
73,A,1,social,chga99,2,1
51,B,1,social,chga99,3,1
75,A,0,social,chga99,0,2
73,B,0,social,chga99,1,2
51,B,1,social,chga99,2,2
33,B,1,social,chga99,3,2
33,B,1,social,chga99,0,3
51,B,1,social,chga99,1,3
75,A,1,social,chga99,2,3
73,A,1,social,chga99,3,3
33,B,1,social,chga99,0,4
75,A,1,social,chga99,1,4
51,B,1,social,chga99,2,4
73,A,1,social,chga99,3,4
33,A,0,social,chga99,0,5
51,B,1,social,chga99,1,5
73,A,1,social,chga99,2,5
75,A,1,social,chga99,3,5
34,B,1,nonsocial,chga99,0,0
74,B,0,nonsocial,chga99,1,0
64,B,0,nonsocial,chga99,2,0
68,B,1,nonsocial,chga99,3,0
34,B,1,nonsocial,chga99,0,1
74,A,1,nonsocial,chga99,1,1
64,A,1,nonsocial,chga99,2,1
68,B,1,nonsocial,chga99,3,1
68,B,1,nonsocial,chga99,0,2
34,B,0,nonsocial,chga99,1,2
64,A,1,nonsocial,chga99,2,2
74,A,0,nonsocial,chga99,3,2
64,A,1,nonsocial,chga99,0,3
68,B,1,nonsocial,chga99,1,3
74,A,1,nonsocial,chga99,2,3
34,B,1,nonsocial,chga99,3,3
64,B,0,nonsocial,chga99,0,4
74,A,1,nonsocial,chga99,1,4
34,A,0,nonsocial,chga99,2,4
68,B,1,nonsocial,chga99,3,4
74,A,1,nonsocial,chga99,0,5
34,B,1,nonsocial,chga99,1,5
68,B,1,nonsocial,chga99,2,5
64,A,1,nonsocial,chga99,3,5
73,A,1,social,chga99,0,0
33,A,0,social,chga99,1,0
75,A,1,social,chga99,2,0
51,A,0,social,chga99,3,0
73,A,1,social,chga99,0,1
75,A,1,social,chga99,1,1
33,B,0,social,chga99,2,1
51,B,1,social,chga99,3,1
33,B,1,social,chga99,0,2
75,A,1,social,chga99,1,2
51,B,1,social,chga99,2,2
73,A,1,social,chga99,3,2
75,A,1,social,chga99,0,3
51,B,1,social,chga99,1,3
73,A,1,social,chga99,2,3
33,B,1,social,chga99,3,3
33,B,0,social,chga99,0,4
75,A,1,social,chga99,1,4
73,A,1,social,chga99,2,4
51,B,0,social,chga99,3,4
73,A,1,social,chga99,0,5
33,B,1,social,chga99,1,5
75,B,0,social,chga99,2,5
51,B,1,social,chga99,3,5
