stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
18,B,1,nonsocial,chpo96,0,0
20,A,1,nonsocial,chpo96,1,0
26,B,1,nonsocial,chpo96,2,0
44,A,1,nonsocial,chpo96,3,0
26,B,0,nonsocial,chpo96,0,1
18,B,1,nonsocial,chpo96,1,1
44,B,1,nonsocial,chpo96,2,1
20,A,1,nonsocial,chpo96,3,1
20,A,1,nonsocial,chpo96,0,2
26,A,0,nonsocial,chpo96,1,2
18,B,1,nonsocial,chpo96,2,2
44,B,0,nonsocial,chpo96,3,2
26,B,1,nonsocial,chpo96,0,3
44,A,1,nonsocial,chpo96,1,3
20,B,0,nonsocial,chpo96,2,3
18,B,1,nonsocial,chpo96,3,3
20,A,1,nonsocial,chpo96,0,4
18,B,1,nonsocial,chpo96,1,4
44,A,1,nonsocial,chpo96,2,4
26,B,1,nonsocial,chpo96,3,4
26,B,0,nonsocial,chpo96,0,5
44,A,1,nonsocial,chpo96,1,5
18,B,1,nonsocial,chpo96,2,5
20,A,1,nonsocial,chpo96,3,5
71,A,1,social,chpo96,0,0
29,B,0,social,chpo96,1,0
37,B,1,social,chpo96,2,0
47,B,1,social,chpo96,3,0
47,B,1,social,chpo96,0,1
37,A,0,social,chpo96,1,1
29,A,1,social,chpo96,2,1
71,A,1,social,chpo96,3,1
71,A,1,social,chpo96,0,2
37,B,1,social,chpo96,1,2
29,A,1,social,chpo96,2,2
47,B,1,social,chpo96,3,2
37,B,0,social,chpo96,0,3
71,A,1,social,chpo96,1,3
47,B,1,social,chpo96,2,3
29,A,1,social,chpo96,3,3
37,B,1,social,chpo96,0,4
47,B,1,social,chpo96,1,4
71,A,1,social,chpo96,2,4
29,A,1,social,chpo96,3,4
29,A,1,social,chpo96,0,5
47,B,1,social,chpo96,1,5
71,A,1,social,chpo96,2,5
37,B,1,social,chpo96,3,5
26,A,0,nonsocial,chpo96,0,0
18,A,1,nonsocial,chpo96,1,0
20,A,0,nonsocial,chpo96,2,0
44,A,1,nonsocial,chpo96,3,0
18,A,0,nonsocial,chpo96,0,1
20,B,0,nonsocial,chpo96,1,1
44,A,1,nonsocial,chpo96,2,1
26,B,1,nonsocial,chpo96,3,1
20,B,0,nonsocial,chpo96,0,2
18,A,0,nonsocial,chpo96,1,2
44,A,1,nonsocial,chpo96,2,2
26,B,1,nonsocial,chpo96,3,2
20,B,1,nonsocial,chpo96,0,3
26,B,1,nonsocial,chpo96,1,3
44,A,1,nonsocial,chpo96,2,3
18,A,0,nonsocial,chpo96,3,3
44,A,1,nonsocial,chpo96,0,4
20,B,0,nonsocial,chpo96,1,4
26,A,0,nonsocial,chpo96,2,4
18,A,0,nonsocial,chpo96,3,4
20,A,1,nonsocial,chpo96,0,5
18,B,0,nonsocial,chpo96,1,5
26,A,0,nonsocial,chpo96,2,5
44,B,0,nonsocial,chpo96,3,5
71,A,1,social,chpo96,0,0
37,B,1,social,chpo96,1,0
29,A,1,social,chpo96,2,0
47,B,0,social,chpo96,3,0
47,A,0,social,chpo96,0,1
37,A,0,social,chpo96,1,1
71,B,0,social,chpo96,2,1
29,B,0,social,chpo96,3,1
71,A,1,social,chpo96,0,2
29,A,1,social,chpo96,1,2
47,A,1,social,chpo96,2,2
37,B,1,social,chpo96,3,2
47,,0,social,chpo96,0,3
37,B,1,social,chpo96,1,3
71,A,1,social,chpo96,2,3
29,A,1,social,chpo96,3,3
29,A,1,social,chpo96,0,4
47,A,0,social,chpo96,1,4
37,A,0,social,chpo96,2,4
71,A,1,social,chpo96,3,4
37,B,1,social,chpo96,0,5
29,A,1,social,chpo96,1,5
71,A,1,social,chpo96,2,5
47,A,1,social,chpo96,3,5
