stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
82,A,1,social,clwe99,0,0
60,B,1,social,clwe99,1,0
14,B,0,social,clwe99,2,0
74,B,1,social,clwe99,3,0
60,B,1,social,clwe99,0,1
74,B,1,social,clwe99,1,1
82,A,1,social,clwe99,2,1
14,A,1,social,clwe99,3,1
74,B,1,social,clwe99,0,2
60,A,1,social,clwe99,1,2
82,A,1,social,clwe99,2,2
14,B,0,social,clwe99,3,2
82,A,1,social,clwe99,0,3
60,A,0,social,clwe99,1,3
74,B,1,social,clwe99,2,3
14,B,0,social,clwe99,3,3
82,A,1,social,clwe99,0,4
74,B,1,social,clwe99,1,4
14,A,1,social,clwe99,2,4
60,B,1,social,clwe99,3,4
82,A,1,social,clwe99,0,5
60,A,0,social,clwe99,1,5
14,A,1,social,clwe99,2,5
74,B,1,social,clwe99,3,5
57,A,1,nonsocial,clwe99,0,0
41,B,0,nonsocial,clwe99,1,0
63,B,0,nonsocial,clwe99,2,0
39,A,1,nonsocial,clwe99,3,0
57,A,0,nonsocial,clwe99,0,1
39,A,0,nonsocial,clwe99,1,1
63,A,1,nonsocial,clwe99,2,1
41,,0,nonsocial,clwe99,3,1
39,B,1,nonsocial,clwe99,0,2
41,A,1,nonsocial,clwe99,1,2
63,A,1,nonsocial,clwe99,2,2
57,A,0,nonsocial,clwe99,3,2
41,A,1,nonsocial,clwe99,0,3
63,A,0,nonsocial,clwe99,1,3
39,B,0,nonsocial,clwe99,2,3
57,B,1,nonsocial,clwe99,3,3
57,B,0,nonsocial,clwe99,0,4
63,B,0,nonsocial,clwe99,1,4
39,A,1,nonsocial,clwe99,2,4
41,A,1,nonsocial,clwe99,3,4
63,A,1,nonsocial,clwe99,0,5
39,A,0,nonsocial,clwe99,1,5
41,A,1,nonsocial,clwe99,2,5
57,A,0,nonsocial,clwe99,3,5
82,A,1,social,clwe99,0,0
14,B,0,social,clwe99,1,0
60,B,0,social,clwe99,2,0
74,B,1,social,clwe99,3,0
14,A,1,social,clwe99,0,1
82,A,1,social,clwe99,1,1
60,A,0,social,clwe99,2,1
74,B,1,social,clwe99,3,1
60,B,1,social,clwe99,0,2
74,B,1,social,clwe99,1,2
14,A,1,social,clwe99,2,2
82,A,0,social,clwe99,3,2
74,B,0,social,clwe99,0,3
14,A,1,social,clwe99,1,3
82,A,1,social,clwe99,2,3
60,B,1,social,clwe99,3,3
60,B,1,social,clwe99,0,4
14,A,0,social,clwe99,1,4
74,B,1,social,clwe99,2,4
82,A,0,social,clwe99,3,4
74,B,0,social,clwe99,0,5
82,A,1,social,clwe99,1,5
14,A,1,social,clwe99,2,5
60,B,1,social,clwe99,3,5
41,A,1,nonsocial,clwe99,0,0
39,A,0,nonsocial,clwe99,1,0
57,B,1,nonsocial,clwe99,2,0
63,A,1,nonsocial,clwe99,3,0
39,A,0,nonsocial,clwe99,0,1
57,B,1,nonsocial,clwe99,1,1
41,A,1,nonsocial,clwe99,2,1
63,A,0,nonsocial,clwe99,3,1
57,B,1,nonsocial,clwe99,0,2
41,A,1,nonsocial,clwe99,1,2
63,A,1,nonsocial,clwe99,2,2
39,A,1,nonsocial,clwe99,3,2
39,A,0,nonsocial,clwe99,0,3
57,B,1,nonsocial,clwe99,1,3
41,A,0,nonsocial,clwe99,2,3
63,A,1,nonsocial,clwe99,3,3
63,A,1,nonsocial,clwe99,0,4
39,A,0,nonsocial,clwe99,1,4
41,A,1,nonsocial,clwe99,2,4
57,B,1,nonsocial,clwe99,3,4
63,A,1,nonsocial,clwe99,0,5
41,A,0,nonsocial,clwe99,1,5
39,A,1,nonsocial,clwe99,2,5
57,B,1,nonsocial,clwe99,3,5
