stim,ParticipantAnswer,Reward,BlockType
42,B,0,social
42,A,1,social
42,B,1,social
42,B,0,social
42,B,0,social
42,A,1,social
42,A,1,social
42,A,1,social
42,A,1,social
42,B,0,social
42,B,0,social
42,B,0,social
84,A,1,social
84,B,1,social
84,A,1,social
84,B,1,social
84,A,1,social
84,B,0,social
84,B,0,social
84,B,0,social
84,B,0,social
84,B,1,social
84,A,1,social
84,B,0,social
32,A,0,social
32,B,1,social
32,A,0,social
32,A,0,social
32,A,0,social
32,B,1,social
32,B,1,social
32,B,1,social
32,B,1,social
32,A,1,social
32,A,0,social
32,B,1,social
30,B,1,social
30,B,1,social
30,B,1,social
30,B,0,social
30,A,0,social
30,A,0,social
30,A,0,social
30,A,0,social
30,A,0,social
30,B,0,social
30,A,0,social
30,B,0,social
95,B,1,nonsocial
95,A,0,nonsocial
95,A,0,nonsocial
95,B,1,nonsocial
95,B,0,nonsocial
95,B,1,nonsocial
95,B,1,nonsocial
95,A,0,nonsocial
95,B,1,nonsocial
95,A,0,nonsocial
95,B,0,nonsocial
95,B,1,nonsocial
35,A,1,nonsocial
35,B,0,nonsocial
35,A,1,nonsocial
35,B,0,nonsocial
35,B,1,nonsocial
35,B,0,nonsocial
35,B,1,nonsocial
35,B,0,nonsocial
35,A,1,nonsocial
35,B,1,nonsocial
35,B,0,nonsocial
35,B,1,nonsocial
85,B,0,nonsocial
85,A,0,nonsocial
85,B,1,nonsocial
85,A,0,nonsocial
85,A,0,nonsocial
85,A,0,nonsocial
85,A,0,nonsocial
85,A,0,nonsocial
85,A,0,nonsocial
85,B,1,nonsocial
85,A,0,nonsocial
85,B,1,nonsocial
23,A,0,nonsocial
23,A,1,nonsocial
23,A,1,nonsocial
23,A,1,nonsocial
23,A,1,nonsocial
23,A,1,nonsocial
23,B,0,nonsocial
23,B,0,nonsocial
23,B,1,nonsocial
23,B,0,nonsocial
23,A,1,nonsocial
23,B,0,nonsocial
