stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
70,A,1,social,djlu96,0,0
60,A,0,social,djlu96,1,0
62,A,1,social,djlu96,2,0
32,A,0,social,djlu96,3,0
32,A,1,social,djlu96,0,1
62,B,0,social,djlu96,1,1
70,A,0,social,djlu96,2,1
60,A,0,social,djlu96,3,1
62,B,0,social,djlu96,0,2
70,A,0,social,djlu96,1,2
32,B,0,social,djlu96,2,2
60,B,1,social,djlu96,3,2
70,A,0,social,djlu96,0,3
60,A,1,social,djlu96,1,3
32,B,0,social,djlu96,2,3
62,A,1,social,djlu96,3,3
60,A,0,social,djlu96,0,4
70,B,0,social,djlu96,1,4
62,A,1,social,djlu96,2,4
32,A,1,social,djlu96,3,4
60,B,1,social,djlu96,0,5
32,A,1,social,djlu96,1,5
62,A,1,social,djlu96,2,5
70,B,1,social,djlu96,3,5
13,A,1,nonsocial,djlu96,0,0
63,B,0,nonsocial,djlu96,1,0
43,A,1,nonsocial,djlu96,2,0
65,B,1,nonsocial,djlu96,3,0
43,A,0,nonsocial,djlu96,0,1
63,A,1,nonsocial,djlu96,1,1
65,B,1,nonsocial,djlu96,2,1
13,A,1,nonsocial,djlu96,3,1
63,A,1,nonsocial,djlu96,0,2
65,B,1,nonsocial,djlu96,1,2
13,A,0,nonsocial,djlu96,2,2
43,A,1,nonsocial,djlu96,3,2
13,A,0,nonsocial,djlu96,0,3
63,A,1,nonsocial,djlu96,1,3
65,B,1,nonsocial,djlu96,2,3
43,B,1,nonsocial,djlu96,3,3
43,B,0,nonsocial,djlu96,0,4
65,B,1,nonsocial,djlu96,1,4
13,B,1,nonsocial,djlu96,2,4
63,A,1,nonsocial,djlu96,3,4
13,A,0,nonsocial,djlu96,0,5
43,B,0,nonsocial,djlu96,1,5
65,B,1,nonsocial,djlu96,2,5
63,A,1,nonsocial,djlu96,3,5
60,A,0,social,djlu96,0,0
32,A,1,social,djlu96,1,0
70,B,1,social,djlu96,2,0
62,A,0,social,djlu96,3,0
70,B,0,social,djlu96,0,1
62,A,1,social,djlu96,1,1
60,B,0,social,djlu96,2,1
32,B,0,social,djlu96,3,1
70,B,1,social,djlu96,0,2
62,A,1,social,djlu96,1,2
32,A,1,social,djlu96,2,2
60,A,0,social,djlu96,3,2
60,A,0,social,djlu96,0,3
32,A,1,social,djlu96,1,3
70,A,0,social,djlu96,2,3
62,A,1,social,djlu96,3,3
70,B,1,social,djlu96,0,4
62,A,1,social,djlu96,1,4
60,A,0,social,djlu96,2,4
32,B,0,social,djlu96,3,4
70,B,0,social,djlu96,0,5
32,A,1,social,djlu96,1,5
60,A,0,social,djlu96,2,5
62,A,1,social,djlu96,3,5
13,A,0,nonsocial,djlu96,0,0
43,B,1,nonsocial,djlu96,1,0
63,A,1,nonsocial,djlu96,2,0
65,A,1,nonsocial,djlu96,3,0
13,B,1,nonsocial,djlu96,0,1
63,A,1,nonsocial,djlu96,1,1
65,A,0,nonsocial,djlu96,2,1
43,B,0,nonsocial,djlu96,3,1
65,A,0,nonsocial,djlu96,0,2
63,A,1,nonsocial,djlu96,1,2
13,B,1,nonsocial,djlu96,2,2
43,B,0,nonsocial,djlu96,3,2
13,A,0,nonsocial,djlu96,0,3
65,A,1,nonsocial,djlu96,1,3
43,B,1,nonsocial,djlu96,2,3
63,A,1,nonsocial,djlu96,3,3
63,B,0,nonsocial,djlu96,0,4
43,A,1,nonsocial,djlu96,1,4
65,B,1,nonsocial,djlu96,2,4
13,A,1,nonsocial,djlu96,3,4
63,A,1,nonsocial,djlu96,0,5
65,A,0,nonsocial,djlu96,1,5
43,B,0,nonsocial,djlu96,2,5
13,A,0,nonsocial,djlu96,3,5
