stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
18,B,,social,elgr00,0,0
30,B,,social,elgr00,1,0
42,A,,social,elgr00,2,0
64,A,,social,elgr00,3,0
64,B,0,social,elgr00,0,1
30,B,,social,elgr00,1,1
18,B,,social,elgr00,2,1
42,B,1,social,elgr00,3,1
42,B,1,social,elgr00,0,2
64,A,,social,elgr00,1,2
18,B,,social,elgr00,2,2
30,B,,social,elgr00,3,2
42,B,1,social,elgr00,0,3
30,B,,social,elgr00,1,3
64,A,,social,elgr00,2,3
18,B,,social,elgr00,3,3
42,B,1,social,elgr00,0,4
18,B,,social,elgr00,1,4
64,A,,social,elgr00,2,4
30,B,,social,elgr00,3,4
18,B,,social,elgr00,0,5
30,A,1,social,elgr00,1,5
42,B,1,social,elgr00,2,5
64,B,1,social,elgr00,3,5
81,A,1,nonsocial,elgr00,0,0
37,B,,nonsocial,elgr00,1,0
79,A,,nonsocial,elgr00,2,0
83,B,1,nonsocial,elgr00,3,0
79,B,1,nonsocial,elgr00,0,1
81,A,1,nonsocial,elgr00,1,1
83,B,1,nonsocial,elgr00,2,1
37,A,0,nonsocial,elgr00,3,1
37,A,1,nonsocial,elgr00,0,2
83,B,1,nonsocial,elgr00,1,2
81,A,1,nonsocial,elgr00,2,2
79,B,1,nonsocial,elgr00,3,2
37,A,1,nonsocial,elgr00,0,3
81,A,0,nonsocial,elgr00,1,3
83,B,0,nonsocial,elgr00,2,3
79,B,1,nonsocial,elgr00,3,3
81,B,,nonsocial,elgr00,0,4
83,B,1,nonsocial,elgr00,1,4
37,A,1,nonsocial,elgr00,2,4
79,B,1,nonsocial,elgr00,3,4
79,B,1,nonsocial,elgr00,0,5
83,B,1,nonsocial,elgr00,1,5
37,A,1,nonsocial,elgr00,2,5
81,A,1,nonsocial,elgr00,3,5
42,B,1,social,elgr00,0,0
64,B,1,social,elgr00,1,0
18,A,1,social,elgr00,2,0
30,A,1,social,elgr00,3,0
18,A,1,social,elgr00,0,1
42,B,1,social,elgr00,1,1
30,A,1,social,elgr00,2,1
64,B,1,social,elgr00,3,1
30,B,,social,elgr00,0,2
42,B,1,social,elgr00,1,2
18,A,1,social,elgr00,2,2
64,B,1,social,elgr00,3,2
42,B,1,social,elgr00,0,3
30,A,1,social,elgr00,1,3
64,B,1,social,elgr00,2,3
18,A,1,social,elgr00,3,3
30,A,1,social,elgr00,0,4
64,B,1,social,elgr00,1,4
18,A,1,social,elgr00,2,4
42,B,1,social,elgr00,3,4
18,A,1,social,elgr00,0,5
30,A,1,social,elgr00,1,5
64,B,1,social,elgr00,2,5
42,B,1,social,elgr00,3,5
37,A,1,nonsocial,elgr00,0,0
79,A,,nonsocial,elgr00,1,0
81,B,,nonsocial,elgr00,2,0
83,B,1,nonsocial,elgr00,3,0
79,B,1,nonsocial,elgr00,0,1
37,A,1,nonsocial,elgr00,1,1
83,B,0,nonsocial,elgr00,2,1
81,A,0,nonsocial,elgr00,3,1
37,A,1,nonsocial,elgr00,0,2
79,B,1,nonsocial,elgr00,1,2
81,A,1,nonsocial,elgr00,2,2
83,B,1,nonsocial,elgr00,3,2
37,A,1,nonsocial,elgr00,0,3
81,A,1,nonsocial,elgr00,1,3
83,B,1,nonsocial,elgr00,2,3
79,B,1,nonsocial,elgr00,3,3
37,A,1,nonsocial,elgr00,0,4
81,A,1,nonsocial,elgr00,1,4
79,B,0,nonsocial,elgr00,2,4
83,B,1,nonsocial,elgr00,3,4
83,B,0,nonsocial,elgr00,0,5
81,A,0,nonsocial,elgr00,1,5
37,A,0,nonsocial,elgr00,2,5
79,B,1,nonsocial,elgr00,3,5
