stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
52,B,0,nonsocial,elmi00,0,0
26,A,0,nonsocial,elmi00,1,0
54,B,1,nonsocial,elmi00,2,0
82,A,0,nonsocial,elmi00,3,0
82,A,0,nonsocial,elmi00,0,1
52,B,0,nonsocial,elmi00,1,1
26,B,1,nonsocial,elmi00,2,1
54,A,1,nonsocial,elmi00,3,1
82,A,0,nonsocial,elmi00,0,2
54,B,0,nonsocial,elmi00,1,2
52,B,0,nonsocial,elmi00,2,2
26,A,1,nonsocial,elmi00,3,2
26,A,0,nonsocial,elmi00,0,3
52,A,0,nonsocial,elmi00,1,3
82,B,1,nonsocial,elmi00,2,3
54,B,0,nonsocial,elmi00,3,3
82,A,0,nonsocial,elmi00,0,4
52,A,1,nonsocial,elmi00,1,4
26,A,0,nonsocial,elmi00,2,4
54,A,0,nonsocial,elmi00,3,4
54,B,0,nonsocial,elmi00,0,5
52,B,0,nonsocial,elmi00,1,5
26,A,0,nonsocial,elmi00,2,5
82,A,0,nonsocial,elmi00,3,5
53,A,1,social,elmi00,0,0
59,B,0,social,elmi00,1,0
55,A,0,social,elmi00,2,0
51,B,1,social,elmi00,3,0
53,A,1,social,elmi00,0,1
59,A,1,social,elmi00,1,1
51,B,1,social,elmi00,2,1
55,B,1,social,elmi00,3,1
59,A,1,social,elmi00,0,2
53,A,1,social,elmi00,1,2
51,B,1,social,elmi00,2,2
55,B,1,social,elmi00,3,2
51,B,0,social,elmi00,0,3
53,A,0,social,elmi00,1,3
55,A,0,social,elmi00,2,3
59,B,0,social,elmi00,3,3
59,B,0,social,elmi00,0,4
55,A,0,social,elmi00,1,4
51,A,0,social,elmi00,2,4
53,B,0,social,elmi00,3,4
55,A,0,social,elmi00,0,5
53,B,0,social,elmi00,1,5
51,A,0,social,elmi00,2,5
59,B,0,social,elmi00,3,5
52,B,0,nonsocial,elmi00,0,0
54,A,1,nonsocial,elmi00,1,0
26,B,1,nonsocial,elmi00,2,0
82,B,0,nonsocial,elmi00,3,0
26,B,1,nonsocial,elmi00,0,1
54,A,1,nonsocial,elmi00,1,1
52,A,0,nonsocial,elmi00,2,1
82,A,0,nonsocial,elmi00,3,1
82,A,1,nonsocial,elmi00,0,2
52,B,0,nonsocial,elmi00,1,2
26,B,1,nonsocial,elmi00,2,2
54,A,1,nonsocial,elmi00,3,2
52,A,1,nonsocial,elmi00,0,3
54,B,0,nonsocial,elmi00,1,3
26,B,1,nonsocial,elmi00,2,3
82,A,1,nonsocial,elmi00,3,3
26,B,1,nonsocial,elmi00,0,4
52,A,1,nonsocial,elmi00,1,4
54,A,1,nonsocial,elmi00,2,4
82,A,0,nonsocial,elmi00,3,4
54,A,0,nonsocial,elmi00,0,5
52,A,1,nonsocial,elmi00,1,5
26,B,1,nonsocial,elmi00,2,5
82,B,1,nonsocial,elmi00,3,5
53,A,1,social,elmi00,0,0
59,B,0,social,elmi00,1,0
55,A,0,social,elmi00,2,0
51,B,1,social,elmi00,3,0
59,A,1,social,elmi00,0,1
53,A,1,social,elmi00,1,1
51,B,1,social,elmi00,2,1
55,B,1,social,elmi00,3,1
53,A,1,social,elmi00,0,2
55,B,1,social,elmi00,1,2
51,B,1,social,elmi00,2,2
59,A,0,social,elmi00,3,2
53,A,0,social,elmi00,0,3
55,A,0,social,elmi00,1,3
59,B,0,social,elmi00,2,3
51,B,1,social,elmi00,3,3
59,B,0,social,elmi00,0,4
51,B,1,social,elmi00,1,4
55,A,0,social,elmi00,2,4
53,B,1,social,elmi00,3,4
51,B,1,social,elmi00,0,5
55,A,0,social,elmi00,1,5
53,B,0,social,elmi00,2,5
59,A,0,social,elmi00,3,5
