stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
34,B,,social,flcs96,0,0
98,A,,social,flcs96,1,0
42,B,,social,flcs96,2,0
32,A,,social,flcs96,3,0
34,A,0,social,flcs96,0,1
42,B,,social,flcs96,1,1
98,A,,social,flcs96,2,1
32,A,,social,flcs96,3,1
32,A,,social,flcs96,0,2
98,A,,social,flcs96,1,2
42,B,,social,flcs96,2,2
34,A,0,social,flcs96,3,2
98,,,social,flcs96,0,3
32,B,0,social,flcs96,1,3
42,A,1,social,flcs96,2,3
34,A,1,social,flcs96,3,3
98,B,1,social,flcs96,0,4
42,A,1,social,flcs96,1,4
32,A,,social,flcs96,2,4
34,B,,social,flcs96,3,4
32,B,0,social,flcs96,0,5
34,A,0,social,flcs96,1,5
42,B,,social,flcs96,2,5
98,B,0,social,flcs96,3,5
35,B,1,nonsocial,flcs96,0,0
95,A,1,nonsocial,flcs96,1,0
33,B,1,nonsocial,flcs96,2,0
85,B,,nonsocial,flcs96,3,0
35,B,1,nonsocial,flcs96,0,1
95,A,1,nonsocial,flcs96,1,1
33,A,,nonsocial,flcs96,2,1
85,B,,nonsocial,flcs96,3,1
85,B,,nonsocial,flcs96,0,2
33,A,,nonsocial,flcs96,1,2
95,B,,nonsocial,flcs96,2,2
35,A,,nonsocial,flcs96,3,2
35,A,,nonsocial,flcs96,0,3
95,,,nonsocial,flcs96,1,3
33,B,1,nonsocial,flcs96,2,3
85,A,1,nonsocial,flcs96,3,3
95,A,1,nonsocial,flcs96,0,4
85,B,,nonsocial,flcs96,1,4
35,A,,nonsocial,flcs96,2,4
33,A,,nonsocial,flcs96,3,4
35,A,,nonsocial,flcs96,0,5
33,B,0,nonsocial,flcs96,1,5
95,B,,nonsocial,flcs96,2,5
85,B,,nonsocial,flcs96,3,5
32,A,,social,flcs96,0,0
42,B,,social,flcs96,1,0
98,A,,social,flcs96,2,0
34,B,,social,flcs96,3,0
98,B,0,social,flcs96,0,1
42,A,1,social,flcs96,1,1
32,B,1,social,flcs96,2,1
34,A,0,social,flcs96,3,1
34,A,1,social,flcs96,0,2
42,B,,social,flcs96,1,2
98,A,,social,flcs96,2,2
32,A,,social,flcs96,3,2
42,A,1,social,flcs96,0,3
34,A,1,social,flcs96,1,3
32,B,1,social,flcs96,2,3
98,A,,social,flcs96,3,3
42,A,1,social,flcs96,0,4
98,B,1,social,flcs96,1,4
34,A,1,social,flcs96,2,4
32,B,1,social,flcs96,3,4
42,A,1,social,flcs96,0,5
34,B,,social,flcs96,1,5
32,A,,social,flcs96,2,5
98,B,1,social,flcs96,3,5
33,A,,nonsocial,flcs96,0,0
95,B,,nonsocial,flcs96,1,0
85,A,0,nonsocial,flcs96,2,0
35,B,0,nonsocial,flcs96,3,0
33,A,,nonsocial,flcs96,0,1
95,B,,nonsocial,flcs96,1,1
35,A,,nonsocial,flcs96,2,1
85,B,,nonsocial,flcs96,3,1
95,B,,nonsocial,flcs96,0,2
35,A,,nonsocial,flcs96,1,2
33,B,1,nonsocial,flcs96,2,2
85,A,1,nonsocial,flcs96,3,2
35,B,1,nonsocial,flcs96,0,3
95,A,1,nonsocial,flcs96,1,3
33,B,1,nonsocial,flcs96,2,3
85,B,,nonsocial,flcs96,3,3
33,B,1,nonsocial,flcs96,0,4
85,A,1,nonsocial,flcs96,1,4
35,B,0,nonsocial,flcs96,2,4
95,A,1,nonsocial,flcs96,3,4
85,A,1,nonsocial,flcs96,0,5
35,B,1,nonsocial,flcs96,1,5
33,B,0,nonsocial,flcs96,2,5
95,B,,nonsocial,flcs96,3,5
