stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
46,B,1,social,flre91,0,0
42,B,1,social,flre91,1,0
24,A,1,social,flre91,2,0
28,A,1,social,flre91,3,0
46,B,1,social,flre91,0,1
42,B,1,social,flre91,1,1
24,A,1,social,flre91,2,1
28,A,1,social,flre91,3,1
24,A,1,social,flre91,0,2
42,B,0,social,flre91,1,2
28,A,1,social,flre91,2,2
46,B,1,social,flre91,3,2
42,B,1,social,flre91,0,3
28,A,0,social,flre91,1,3
46,B,1,social,flre91,2,3
24,A,1,social,flre91,3,3
24,A,1,social,flre91,0,4
46,B,1,social,flre91,1,4
28,A,1,social,flre91,2,4
42,B,0,social,flre91,3,4
42,B,1,social,flre91,0,5
46,B,1,social,flre91,1,5
24,A,1,social,flre91,2,5
28,A,1,social,flre91,3,5
15,A,0,nonsocial,flre91,0,0
81,A,1,nonsocial,flre91,1,0
23,A,1,nonsocial,flre91,2,0
93,B,1,nonsocial,flre91,3,0
15,B,1,nonsocial,flre91,0,1
23,A,1,nonsocial,flre91,1,1
81,A,0,nonsocial,flre91,2,1
93,B,0,nonsocial,flre91,3,1
23,A,1,nonsocial,flre91,0,2
15,B,1,nonsocial,flre91,1,2
93,B,0,nonsocial,flre91,2,2
81,B,1,nonsocial,flre91,3,2
81,B,1,nonsocial,flre91,0,3
93,A,1,nonsocial,flre91,1,3
23,A,1,nonsocial,flre91,2,3
15,B,1,nonsocial,flre91,3,3
15,B,1,nonsocial,flre91,0,4
81,A,0,nonsocial,flre91,1,4
93,A,1,nonsocial,flre91,2,4
23,A,1,nonsocial,flre91,3,4
23,A,1,nonsocial,flre91,0,5
15,B,1,nonsocial,flre91,1,5
81,B,1,nonsocial,flre91,2,5
93,A,1,nonsocial,flre91,3,5
24,A,1,social,flre91,0,0
46,A,0,social,flre91,1,0
28,A,0,social,flre91,2,0
42,A,0,social,flre91,3,0
24,A,1,social,flre91,0,1
46,B,1,social,flre91,1,1
28,B,0,social,flre91,2,1
42,B,1,social,flre91,3,1
28,A,1,social,flre91,0,2
42,B,1,social,flre91,1,2
46,B,1,social,flre91,2,2
24,A,0,social,flre91,3,2
42,B,1,social,flre91,0,3
28,A,0,social,flre91,1,3
24,A,1,social,flre91,2,3
46,B,1,social,flre91,3,3
28,B,0,social,flre91,0,4
24,A,0,social,flre91,1,4
42,B,1,social,flre91,2,4
46,B,1,social,flre91,3,4
42,B,1,social,flre91,0,5
24,A,1,social,flre91,1,5
28,A,1,social,flre91,2,5
46,B,1,social,flre91,3,5
23,A,1,nonsocial,flre91,0,0
15,B,1,nonsocial,flre91,1,0
93,A,1,nonsocial,flre91,2,0
81,B,1,nonsocial,flre91,3,0
81,B,1,nonsocial,flre91,0,1
23,A,1,nonsocial,flre91,1,1
93,A,1,nonsocial,flre91,2,1
15,B,1,nonsocial,flre91,3,1
15,B,0,nonsocial,flre91,0,2
93,A,1,nonsocial,flre91,1,2
81,B,1,nonsocial,flre91,2,2
23,A,1,nonsocial,flre91,3,2
81,B,1,nonsocial,flre91,0,3
93,A,1,nonsocial,flre91,1,3
15,B,1,nonsocial,flre91,2,3
23,A,1,nonsocial,flre91,3,3
81,B,1,nonsocial,flre91,0,4
23,A,1,nonsocial,flre91,1,4
93,A,1,nonsocial,flre91,2,4
15,B,1,nonsocial,flre91,3,4
23,A,0,nonsocial,flre91,0,5
93,A,0,nonsocial,flre91,1,5
15,B,0,nonsocial,flre91,2,5
81,B,1,nonsocial,flre91,3,5
