stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
54,A,1,nonsocial,flsc98,0,0
58,B,1,nonsocial,flsc98,1,0
60,B,1,nonsocial,flsc98,2,0
80,A,1,nonsocial,flsc98,3,0
58,B,0,nonsocial,flsc98,0,1
80,B,,nonsocial,flsc98,1,1
60,B,1,nonsocial,flsc98,2,1
54,B,,nonsocial,flsc98,3,1
60,A,,nonsocial,flsc98,0,2
54,A,1,nonsocial,flsc98,1,2
58,A,,nonsocial,flsc98,2,2
80,B,,nonsocial,flsc98,3,2
60,B,1,nonsocial,flsc98,0,3
54,A,1,nonsocial,flsc98,1,3
58,B,1,nonsocial,flsc98,2,3
80,A,0,nonsocial,flsc98,3,3
80,B,,nonsocial,flsc98,0,4
60,A,,nonsocial,flsc98,1,4
54,A,1,nonsocial,flsc98,2,4
58,A,,nonsocial,flsc98,3,4
60,B,1,nonsocial,flsc98,0,5
54,A,1,nonsocial,flsc98,1,5
80,B,,nonsocial,flsc98,2,5
58,A,,nonsocial,flsc98,3,5
93,B,,social,flsc98,0,0
75,B,1,social,flsc98,1,0
37,A,1,social,flsc98,2,0
13,B,1,social,flsc98,3,0
37,A,1,social,flsc98,0,1
75,B,1,social,flsc98,1,1
13,B,1,social,flsc98,2,1
93,A,1,social,flsc98,3,1
37,A,1,social,flsc98,0,2
93,A,1,social,flsc98,1,2
75,B,1,social,flsc98,2,2
13,B,1,social,flsc98,3,2
75,B,1,social,flsc98,0,3
13,B,0,social,flsc98,1,3
93,A,0,social,flsc98,2,3
37,A,1,social,flsc98,3,3
93,A,1,social,flsc98,0,4
37,A,0,social,flsc98,1,4
75,B,1,social,flsc98,2,4
13,B,1,social,flsc98,3,4
75,B,1,social,flsc98,0,5
13,B,1,social,flsc98,1,5
37,A,1,social,flsc98,2,5
93,A,1,social,flsc98,3,5
80,B,,nonsocial,flsc98,0,0
54,A,0,nonsocial,flsc98,1,0
60,B,1,nonsocial,flsc98,2,0
58,A,,nonsocial,flsc98,3,0
54,A,1,nonsocial,flsc98,0,1
60,B,1,nonsocial,flsc98,1,1
80,B,,nonsocial,flsc98,2,1
58,B,1,nonsocial,flsc98,3,1
80,A,1,nonsocial,flsc98,0,2
54,,,nonsocial,flsc98,1,2
60,B,1,nonsocial,flsc98,2,2
58,A,,nonsocial,flsc98,3,2
54,A,1,nonsocial,flsc98,0,3
58,B,0,nonsocial,flsc98,1,3
60,B,1,nonsocial,flsc98,2,3
80,A,1,nonsocial,flsc98,3,3
58,A,,nonsocial,flsc98,0,4
60,B,1,nonsocial,flsc98,1,4
54,A,1,nonsocial,flsc98,2,4
80,A,1,nonsocial,flsc98,3,4
60,B,1,nonsocial,flsc98,0,5
80,A,0,nonsocial,flsc98,1,5
54,A,1,nonsocial,flsc98,2,5
58,B,1,nonsocial,flsc98,3,5
93,A,1,social,flsc98,0,0
37,A,1,social,flsc98,1,0
13,B,1,social,flsc98,2,0
75,B,0,social,flsc98,3,0
75,B,0,social,flsc98,0,1
93,A,1,social,flsc98,1,1
13,B,1,social,flsc98,2,1
37,A,1,social,flsc98,3,1
37,A,1,social,flsc98,0,2
13,B,1,social,flsc98,1,2
75,B,1,social,flsc98,2,2
93,A,1,social,flsc98,3,2
75,B,1,social,flsc98,0,3
37,A,1,social,flsc98,1,3
13,B,1,social,flsc98,2,3
93,A,1,social,flsc98,3,3
37,A,1,social,flsc98,0,4
75,B,1,social,flsc98,1,4
13,B,1,social,flsc98,2,4
93,A,1,social,flsc98,3,4
93,A,1,social,flsc98,0,5
75,B,1,social,flsc98,1,5
37,A,1,social,flsc98,2,5
13,B,1,social,flsc98,3,5
