stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
94,A,1,nonsocial,flto91,0,0
90,B,0,nonsocial,flto91,1,0
28,A,0,nonsocial,flto91,2,0
56,B,1,nonsocial,flto91,3,0
56,A,0,nonsocial,flto91,0,1
28,B,1,nonsocial,flto91,1,1
90,A,1,nonsocial,flto91,2,1
94,A,1,nonsocial,flto91,3,1
56,B,1,nonsocial,flto91,0,2
90,B,0,nonsocial,flto91,1,2
28,B,0,nonsocial,flto91,2,2
94,B,0,nonsocial,flto91,3,2
94,B,0,nonsocial,flto91,0,3
90,B,0,nonsocial,flto91,1,3
28,A,0,nonsocial,flto91,2,3
56,B,1,nonsocial,flto91,3,3
90,A,1,nonsocial,flto91,0,4
28,A,0,nonsocial,flto91,1,4
94,B,0,nonsocial,flto91,2,4
56,B,0,nonsocial,flto91,3,4
28,A,1,nonsocial,flto91,0,5
56,B,1,nonsocial,flto91,1,5
90,A,1,nonsocial,flto91,2,5
94,A,1,nonsocial,flto91,3,5
81,A,1,social,flto91,0,0
25,B,1,social,flto91,1,0
79,A,0,social,flto91,2,0
93,B,0,social,flto91,3,0
93,B,1,social,flto91,0,1
79,A,0,social,flto91,1,1
25,B,0,social,flto91,2,1
81,A,0,social,flto91,3,1
79,A,0,social,flto91,0,2
81,B,0,social,flto91,1,2
25,B,0,social,flto91,2,2
93,B,0,social,flto91,3,2
93,A,1,social,flto91,0,3
25,B,1,social,flto91,1,3
81,A,1,social,flto91,2,3
79,B,1,social,flto91,3,3
79,B,1,social,flto91,0,4
25,B,1,social,flto91,1,4
81,A,1,social,flto91,2,4
93,B,0,social,flto91,3,4
93,A,0,social,flto91,0,5
81,A,1,social,flto91,1,5
25,B,1,social,flto91,2,5
79,B,1,social,flto91,3,5
28,B,0,nonsocial,flto91,0,0
56,B,1,nonsocial,flto91,1,0
90,A,1,nonsocial,flto91,2,0
94,A,1,nonsocial,flto91,3,0
28,B,1,nonsocial,flto91,0,1
56,B,1,nonsocial,flto91,1,1
90,A,1,nonsocial,flto91,2,1
94,A,1,nonsocial,flto91,3,1
28,B,1,nonsocial,flto91,0,2
94,A,1,nonsocial,flto91,1,2
56,B,0,nonsocial,flto91,2,2
90,A,1,nonsocial,flto91,3,2
90,A,1,nonsocial,flto91,0,3
28,B,1,nonsocial,flto91,1,3
94,A,1,nonsocial,flto91,2,3
56,B,1,nonsocial,flto91,3,3
56,A,0,nonsocial,flto91,0,4
94,A,0,nonsocial,flto91,1,4
90,B,1,nonsocial,flto91,2,4
28,A,0,nonsocial,flto91,3,4
94,A,1,nonsocial,flto91,0,5
28,B,1,nonsocial,flto91,1,5
90,A,1,nonsocial,flto91,2,5
56,B,0,nonsocial,flto91,3,5
81,B,0,social,flto91,0,0
93,B,0,social,flto91,1,0
79,B,0,social,flto91,2,0
25,B,1,social,flto91,3,0
25,B,1,social,flto91,0,1
93,A,1,social,flto91,1,1
79,A,0,social,flto91,2,1
81,A,1,social,flto91,3,1
81,A,1,social,flto91,0,2
93,A,1,social,flto91,1,2
79,A,0,social,flto91,2,2
25,B,1,social,flto91,3,2
25,B,0,social,flto91,0,3
81,A,1,social,flto91,1,3
79,A,0,social,flto91,2,3
93,A,0,social,flto91,3,3
79,B,0,social,flto91,0,4
81,B,0,social,flto91,1,4
25,B,1,social,flto91,2,4
93,A,1,social,flto91,3,4
25,B,1,social,flto91,0,5
93,A,1,social,flto91,1,5
81,A,1,social,flto91,2,5
79,B,1,social,flto91,3,5
