stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
76,A,1,social,gava97,0,0
32,B,0,social,gava97,1,0
96,A,0,social,gava97,2,0
30,A,0,social,gava97,3,0
30,,0,social,gava97,0,1
96,A,0,social,gava97,1,1
32,B,0,social,gava97,2,1
76,A,1,social,gava97,3,1
76,A,1,social,gava97,0,2
96,A,0,social,gava97,1,2
30,B,1,social,gava97,2,2
32,B,1,social,gava97,3,2
32,B,0,social,gava97,0,3
76,A,1,social,gava97,1,3
96,A,0,social,gava97,2,3
30,A,0,social,gava97,3,3
32,B,0,social,gava97,0,4
96,A,0,social,gava97,1,4
76,A,1,social,gava97,2,4
30,A,0,social,gava97,3,4
30,A,0,social,gava97,0,5
32,A,1,social,gava97,1,5
76,A,1,social,gava97,2,5
96,A,0,social,gava97,3,5
21,B,0,nonsocial,gava97,0,0
31,B,1,nonsocial,gava97,1,0
63,A,0,nonsocial,gava97,2,0
81,A,1,nonsocial,gava97,3,0
63,B,1,nonsocial,gava97,0,1
81,A,1,nonsocial,gava97,1,1
31,B,1,nonsocial,gava97,2,1
21,A,1,nonsocial,gava97,3,1
21,A,1,nonsocial,gava97,0,2
63,B,1,nonsocial,gava97,1,2
31,B,1,nonsocial,gava97,2,2
81,A,1,nonsocial,gava97,3,2
63,B,1,nonsocial,gava97,0,3
81,A,0,nonsocial,gava97,1,3
21,A,1,nonsocial,gava97,2,3
31,B,1,nonsocial,gava97,3,3
81,A,1,nonsocial,gava97,0,4
21,A,1,nonsocial,gava97,1,4
31,B,1,nonsocial,gava97,2,4
63,B,1,nonsocial,gava97,3,4
21,A,0,nonsocial,gava97,0,5
31,A,0,nonsocial,gava97,1,5
63,B,1,nonsocial,gava97,2,5
81,B,0,nonsocial,gava97,3,5
76,B,0,social,gava97,0,0
30,A,0,social,gava97,1,0
32,B,0,social,gava97,2,0
96,A,0,social,gava97,3,0
32,B,0,social,gava97,0,1
30,A,0,social,gava97,1,1
96,B,0,social,gava97,2,1
76,A,1,social,gava97,3,1
76,A,1,social,gava97,0,2
32,A,1,social,gava97,1,2
30,B,1,social,gava97,2,2
96,B,1,social,gava97,3,2
30,B,1,social,gava97,0,3
32,A,1,social,gava97,1,3
96,B,1,social,gava97,2,3
76,A,1,social,gava97,3,3
30,B,1,social,gava97,0,4
32,A,1,social,gava97,1,4
76,A,1,social,gava97,2,4
96,B,1,social,gava97,3,4
76,A,1,social,gava97,0,5
96,B,1,social,gava97,1,5
30,B,1,social,gava97,2,5
32,A,1,social,gava97,3,5
31,B,1,nonsocial,gava97,0,0
21,B,0,nonsocial,gava97,1,0
63,B,0,nonsocial,gava97,2,0
81,B,0,nonsocial,gava97,3,0
81,B,0,nonsocial,gava97,0,1
63,A,1,nonsocial,gava97,1,1
31,B,1,nonsocial,gava97,2,1
21,A,1,nonsocial,gava97,3,1
81,A,1,nonsocial,gava97,0,2
63,A,1,nonsocial,gava97,1,2
21,A,1,nonsocial,gava97,2,2
31,B,1,nonsocial,gava97,3,2
21,A,1,nonsocial,gava97,0,3
31,B,1,nonsocial,gava97,1,3
81,A,1,nonsocial,gava97,2,3
63,A,0,nonsocial,gava97,3,3
63,B,0,nonsocial,gava97,0,4
21,A,1,nonsocial,gava97,1,4
81,A,1,nonsocial,gava97,2,4
31,B,1,nonsocial,gava97,3,4
63,A,0,nonsocial,gava97,0,5
81,A,1,nonsocial,gava97,1,5
31,B,1,nonsocial,gava97,2,5
21,A,1,nonsocial,gava97,3,5
