stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
10,B,0,nonsocial,guek86,0,0
28,B,1,nonsocial,guek86,1,0
16,B,0,nonsocial,guek86,2,0
68,B,0,nonsocial,guek86,3,0
10,A,0,nonsocial,guek86,0,1
68,A,1,nonsocial,guek86,1,1
28,B,1,nonsocial,guek86,2,1
16,A,1,nonsocial,guek86,3,1
16,B,0,nonsocial,guek86,0,2
68,B,0,nonsocial,guek86,1,2
10,A,0,nonsocial,guek86,2,2
28,A,0,nonsocial,guek86,3,2
68,A,1,nonsocial,guek86,0,3
10,A,0,nonsocial,guek86,1,3
28,B,1,nonsocial,guek86,2,3
16,A,1,nonsocial,guek86,3,3
68,A,1,nonsocial,guek86,0,4
28,B,0,nonsocial,guek86,1,4
10,B,1,nonsocial,guek86,2,4
16,A,0,nonsocial,guek86,3,4
28,B,1,nonsocial,guek86,0,5
10,A,0,nonsocial,guek86,1,5
68,B,0,nonsocial,guek86,2,5
16,A,1,nonsocial,guek86,3,5
21,A,1,social,guek86,0,0
83,A,0,social,guek86,1,0
39,A,1,social,guek86,2,0
75,A,0,social,guek86,3,0
75,A,0,social,guek86,0,1
39,A,1,social,guek86,1,1
21,A,1,social,guek86,2,1
83,B,1,social,guek86,3,1
75,B,1,social,guek86,0,2
83,B,1,social,guek86,1,2
39,A,1,social,guek86,2,2
21,A,1,social,guek86,3,2
21,A,1,social,guek86,0,3
83,B,1,social,guek86,1,3
39,A,1,social,guek86,2,3
75,B,1,social,guek86,3,3
39,A,1,social,guek86,0,4
21,A,0,social,guek86,1,4
75,B,1,social,guek86,2,4
83,B,1,social,guek86,3,4
39,A,0,social,guek86,0,5
21,A,1,social,guek86,1,5
83,B,0,social,guek86,2,5
75,B,0,social,guek86,3,5
10,B,1,nonsocial,guek86,0,0
16,B,0,nonsocial,guek86,1,0
68,B,0,nonsocial,guek86,2,0
28,B,1,nonsocial,guek86,3,0
28,B,1,nonsocial,guek86,0,1
10,A,0,nonsocial,guek86,1,1
16,A,1,nonsocial,guek86,2,1
68,B,0,nonsocial,guek86,3,1
10,B,1,nonsocial,guek86,0,2
28,B,1,nonsocial,guek86,1,2
16,A,1,nonsocial,guek86,2,2
68,A,1,nonsocial,guek86,3,2
28,,0,nonsocial,guek86,0,3
68,A,0,nonsocial,guek86,1,3
10,B,1,nonsocial,guek86,2,3
16,A,1,nonsocial,guek86,3,3
68,B,1,nonsocial,guek86,0,4
16,A,1,nonsocial,guek86,1,4
28,B,1,nonsocial,guek86,2,4
10,B,1,nonsocial,guek86,3,4
28,B,1,nonsocial,guek86,0,5
16,A,1,nonsocial,guek86,1,5
68,B,0,nonsocial,guek86,2,5
10,B,1,nonsocial,guek86,3,5
75,B,1,social,guek86,0,0
83,A,0,social,guek86,1,0
21,,0,social,guek86,2,0
39,A,1,social,guek86,3,0
83,A,0,social,guek86,0,1
75,A,0,social,guek86,1,1
39,A,0,social,guek86,2,1
21,A,1,social,guek86,3,1
83,A,0,social,guek86,0,2
21,A,1,social,guek86,1,2
75,A,0,social,guek86,2,2
39,A,1,social,guek86,3,2
83,A,0,social,guek86,0,3
39,A,1,social,guek86,1,3
21,A,1,social,guek86,2,3
75,A,0,social,guek86,3,3
21,B,0,social,guek86,0,4
39,B,0,social,guek86,1,4
83,B,1,social,guek86,2,4
75,B,1,social,guek86,3,4
75,A,0,social,guek86,0,5
21,A,0,social,guek86,1,5
39,A,1,social,guek86,2,5
83,A,1,social,guek86,3,5
