stim,ParticipantAnswer,Reward,BlockType
62,A,1,nonsocial
62,B,0,nonsocial
62,A,1,nonsocial
62,B,0,nonsocial
62,A,1,nonsocial
62,A,1,nonsocial
62,A,0,nonsocial
62,A,0,nonsocial
62,B,1,nonsocial
62,A,1,nonsocial
62,B,0,nonsocial
62,A,0,nonsocial
16,B,1,nonsocial
16,A,1,nonsocial
16,A,1,nonsocial
16,B,1,nonsocial
16,B,1,nonsocial
16,B,0,nonsocial
16,B,1,nonsocial
16,B,1,nonsocial
16,A,1,nonsocial
16,B,0,nonsocial
16,A,0,nonsocial
16,A,0,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,A,0,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
72,B,1,nonsocial
84,A,1,nonsocial
84,B,0,nonsocial
84,B,0,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,B,1,nonsocial
84,A,1,nonsocial
84,A,1,nonsocial
84,B,0,nonsocial
84,B,0,nonsocial
39,NA,0,social
39,A,0,social
39,B,1,social
39,B,1,social
39,B,1,social
39,B,1,social
39,A,0,social
39,A,0,social
39,B,1,social
39,A,0,social
39,B,1,social
39,B,1,social
93,A,1,social
93,B,1,social
93,B,1,social
93,B,1,social
93,B,1,social
93,A,0,social
93,B,0,social
93,B,1,social
93,A,1,social
93,A,1,social
93,B,1,social
93,B,1,social
29,B,0,social
29,B,0,social
29,B,1,social
29,B,0,social
29,A,1,social
29,A,1,social
29,B,0,social
29,A,1,social
29,B,0,social
29,A,1,social
29,A,0,social
29,A,1,social
83,A,1,social
83,B,0,social
83,A,1,social
83,B,0,social
83,A,1,social
83,A,1,social
83,A,0,social
83,B,0,social
83,B,0,social
83,A,1,social
83,A,1,social
83,A,1,social
