stim,ParticipantAnswer,Reward,BlockType
40,A,0,nonsocial
40,B,1,nonsocial
40,A,0,nonsocial
40,B,1,nonsocial
40,A,1,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
40,A,0,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
60,A,1,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,B,1,nonsocial
46,A,1,nonsocial
46,B,1,nonsocial
46,NA,0,nonsocial
46,B,1,nonsocial
46,A,0,nonsocial
46,A,0,nonsocial
46,B,1,nonsocial
46,A,0,nonsocial
46,B,1,nonsocial
46,B,0,nonsocial
46,B,1,nonsocial
46,B,1,nonsocial
68,B,0,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,1,nonsocial
68,A,0,nonsocial
68,B,0,nonsocial
59,B,0,social
59,A,1,social
59,A,1,social
59,A,1,social
59,A,1,social
59,A,1,social
59,B,0,social
59,B,0,social
59,B,0,social
59,A,1,social
59,A,0,social
59,A,1,social
81,A,1,social
81,A,1,social
81,A,1,social
81,A,1,social
81,B,0,social
81,A,1,social
81,B,0,social
81,B,0,social
81,B,0,social
81,A,1,social
81,B,0,social
81,A,1,social
27,B,1,social
27,A,1,social
27,B,1,social
27,A,0,social
27,A,0,social
27,A,0,social
27,B,1,social
27,B,1,social
27,B,1,social
27,B,1,social
27,A,0,social
27,B,1,social
91,B,1,social
91,A,0,social
91,A,0,social
91,A,0,social
91,A,0,social
91,A,0,social
91,B,1,social
91,B,0,social
91,B,1,social
91,A,0,social
91,A,0,social
91,B,1,social
