stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
20,B,0,social,hezi87,0,0
24,B,0,social,hezi87,1,0
46,B,1,social,hezi87,2,0
44,A,1,social,hezi87,3,0
46,B,1,social,hezi87,0,1
20,A,1,social,hezi87,1,1
24,A,0,social,hezi87,2,1
44,B,1,social,hezi87,3,1
24,B,0,social,hezi87,0,2
20,B,1,social,hezi87,1,2
46,A,0,social,hezi87,2,2
44,A,0,social,hezi87,3,2
24,B,0,social,hezi87,0,3
46,B,0,social,hezi87,1,3
20,A,1,social,hezi87,2,3
44,B,0,social,hezi87,3,3
44,A,0,social,hezi87,0,4
46,A,0,social,hezi87,1,4
24,A,1,social,hezi87,2,4
20,A,0,social,hezi87,3,4
46,B,1,social,hezi87,0,5
24,B,0,social,hezi87,1,5
20,A,1,social,hezi87,2,5
44,B,0,social,hezi87,3,5
21,B,0,nonsocial,hezi87,0,0
67,A,0,nonsocial,hezi87,1,0
85,B,0,nonsocial,hezi87,2,0
19,A,1,nonsocial,hezi87,3,0
85,A,1,nonsocial,hezi87,0,1
21,A,1,nonsocial,hezi87,1,1
67,A,0,nonsocial,hezi87,2,1
19,A,0,nonsocial,hezi87,3,1
85,A,1,nonsocial,hezi87,0,2
19,A,0,nonsocial,hezi87,1,2
21,A,1,nonsocial,hezi87,2,2
67,A,0,nonsocial,hezi87,3,2
19,A,0,nonsocial,hezi87,0,3
85,B,0,nonsocial,hezi87,1,3
67,B,1,nonsocial,hezi87,2,3
21,B,0,nonsocial,hezi87,3,3
21,A,0,nonsocial,hezi87,0,4
85,B,0,nonsocial,hezi87,1,4
67,B,1,nonsocial,hezi87,2,4
19,B,1,nonsocial,hezi87,3,4
19,B,1,nonsocial,hezi87,0,5
67,B,1,nonsocial,hezi87,1,5
85,B,0,nonsocial,hezi87,2,5
21,A,1,nonsocial,hezi87,3,5
20,A,1,social,hezi87,0,0
24,A,1,social,hezi87,1,0
46,B,1,social,hezi87,2,0
44,B,1,social,hezi87,3,0
44,B,1,social,hezi87,0,1
24,A,1,social,hezi87,1,1
20,A,1,social,hezi87,2,1
46,B,1,social,hezi87,3,1
24,A,0,social,hezi87,0,2
20,B,1,social,hezi87,1,2
46,A,0,social,hezi87,2,2
44,B,1,social,hezi87,3,2
46,A,0,social,hezi87,0,3
24,A,1,social,hezi87,1,3
44,B,1,social,hezi87,2,3
20,A,1,social,hezi87,3,3
46,A,0,social,hezi87,0,4
20,B,0,social,hezi87,1,4
24,A,1,social,hezi87,2,4
44,A,0,social,hezi87,3,4
44,A,0,social,hezi87,0,5
46,B,1,social,hezi87,1,5
24,B,1,social,hezi87,2,5
20,A,1,social,hezi87,3,5
19,B,1,nonsocial,hezi87,0,0
85,B,0,nonsocial,hezi87,1,0
67,B,1,nonsocial,hezi87,2,0
21,B,1,nonsocial,hezi87,3,0
19,B,0,nonsocial,hezi87,0,1
85,B,0,nonsocial,hezi87,1,1
67,A,0,nonsocial,hezi87,2,1
21,B,1,nonsocial,hezi87,3,1
67,A,1,nonsocial,hezi87,0,2
85,B,0,nonsocial,hezi87,1,2
19,A,0,nonsocial,hezi87,2,2
21,B,0,nonsocial,hezi87,3,2
21,A,1,nonsocial,hezi87,0,3
85,A,1,nonsocial,hezi87,1,3
19,A,0,nonsocial,hezi87,2,3
67,B,1,nonsocial,hezi87,3,3
67,A,0,nonsocial,hezi87,0,4
21,B,0,nonsocial,hezi87,1,4
19,A,0,nonsocial,hezi87,2,4
85,B,1,nonsocial,hezi87,3,4
67,B,1,nonsocial,hezi87,0,5
21,B,0,nonsocial,hezi87,1,5
19,B,1,nonsocial,hezi87,2,5
85,A,1,nonsocial,hezi87,3,5
