stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
52,B,1,social,jame99,0,0
68,B,0,social,jame99,1,0
36,A,1,social,jame99,2,0
34,A,1,social,jame99,3,0
36,A,1,social,jame99,0,1
34,A,1,social,jame99,1,1
52,,0,social,jame99,2,1
68,A,1,social,jame99,3,1
36,A,0,social,jame99,0,2
68,A,1,social,jame99,1,2
34,A,1,social,jame99,2,2
52,B,1,social,jame99,3,2
68,A,1,social,jame99,0,3
36,B,1,social,jame99,1,3
52,A,0,social,jame99,2,3
34,A,0,social,jame99,3,3
34,A,1,social,jame99,0,4
36,B,1,social,jame99,1,4
52,A,0,social,jame99,2,4
68,A,1,social,jame99,3,4
36,B,1,social,jame99,0,5
34,A,1,social,jame99,1,5
52,B,1,social,jame99,2,5
68,A,1,social,jame99,3,5
81,B,0,nonsocial,jame99,0,0
11,A,1,nonsocial,jame99,1,0
77,B,1,nonsocial,jame99,2,0
63,A,0,nonsocial,jame99,3,0
11,A,1,nonsocial,jame99,0,1
81,A,0,nonsocial,jame99,1,1
63,B,1,nonsocial,jame99,2,1
77,B,1,nonsocial,jame99,3,1
77,B,1,nonsocial,jame99,0,2
81,A,1,nonsocial,jame99,1,2
63,B,0,nonsocial,jame99,2,2
11,A,1,nonsocial,jame99,3,2
81,A,1,nonsocial,jame99,0,3
63,B,1,nonsocial,jame99,1,3
11,A,1,nonsocial,jame99,2,3
77,A,1,nonsocial,jame99,3,3
81,A,0,nonsocial,jame99,0,4
11,A,1,nonsocial,jame99,1,4
63,B,1,nonsocial,jame99,2,4
77,B,1,nonsocial,jame99,3,4
77,A,0,nonsocial,jame99,0,5
11,A,1,nonsocial,jame99,1,5
63,A,0,nonsocial,jame99,2,5
81,A,0,nonsocial,jame99,3,5
36,B,0,social,jame99,0,0
34,A,1,social,jame99,1,0
68,B,0,social,jame99,2,0
52,B,1,social,jame99,3,0
68,A,1,social,jame99,0,1
36,A,0,social,jame99,1,1
34,A,1,social,jame99,2,1
52,B,1,social,jame99,3,1
34,A,1,social,jame99,0,2
68,A,1,social,jame99,1,2
36,A,0,social,jame99,2,2
52,B,1,social,jame99,3,2
52,B,1,social,jame99,0,3
68,A,1,social,jame99,1,3
36,A,0,social,jame99,2,3
34,A,0,social,jame99,3,3
36,B,1,social,jame99,0,4
52,B,1,social,jame99,1,4
68,A,1,social,jame99,2,4
34,A,1,social,jame99,3,4
36,A,0,social,jame99,0,5
52,B,1,social,jame99,1,5
34,A,1,social,jame99,2,5
68,A,1,social,jame99,3,5
81,A,0,nonsocial,jame99,0,0
63,A,0,nonsocial,jame99,1,0
77,A,1,nonsocial,jame99,2,0
11,B,0,nonsocial,jame99,3,0
81,B,1,nonsocial,jame99,0,1
63,B,1,nonsocial,jame99,1,1
77,A,0,nonsocial,jame99,2,1
11,A,1,nonsocial,jame99,3,1
81,B,0,nonsocial,jame99,0,2
63,B,1,nonsocial,jame99,1,2
77,A,0,nonsocial,jame99,2,2
11,A,1,nonsocial,jame99,3,2
11,A,1,nonsocial,jame99,0,3
63,B,1,nonsocial,jame99,1,3
77,A,0,nonsocial,jame99,2,3
81,A,1,nonsocial,jame99,3,3
81,B,0,nonsocial,jame99,0,4
11,A,1,nonsocial,jame99,1,4
77,A,1,nonsocial,jame99,2,4
63,B,0,nonsocial,jame99,3,4
63,B,1,nonsocial,jame99,0,5
77,A,0,nonsocial,jame99,1,5
81,B,0,nonsocial,jame99,2,5
11,A,1,nonsocial,jame99,3,5
