stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
62,B,1,nonsocial,juzi87,0,0
10,A,1,nonsocial,juzi87,1,0
24,B,0,nonsocial,juzi87,2,0
20,A,0,nonsocial,juzi87,3,0
10,A,1,nonsocial,juzi87,0,1
20,B,0,nonsocial,juzi87,1,1
62,A,0,nonsocial,juzi87,2,1
24,A,1,nonsocial,juzi87,3,1
20,B,1,nonsocial,juzi87,0,2
24,B,0,nonsocial,juzi87,1,2
10,A,1,nonsocial,juzi87,2,2
62,B,1,nonsocial,juzi87,3,2
20,B,1,nonsocial,juzi87,0,3
10,A,1,nonsocial,juzi87,1,3
62,A,0,nonsocial,juzi87,2,3
24,B,0,nonsocial,juzi87,3,3
62,A,0,nonsocial,juzi87,0,4
10,B,0,nonsocial,juzi87,1,4
24,B,0,nonsocial,juzi87,2,4
20,A,0,nonsocial,juzi87,3,4
24,A,1,nonsocial,juzi87,0,5
20,A,0,nonsocial,juzi87,1,5
62,B,1,nonsocial,juzi87,2,5
10,A,1,nonsocial,juzi87,3,5
53,A,0,social,juzi87,0,0
89,B,0,social,juzi87,1,0
55,B,0,social,juzi87,2,0
25,A,0,social,juzi87,3,0
53,B,1,social,juzi87,0,1
25,B,1,social,juzi87,1,1
89,A,1,social,juzi87,2,1
55,B,0,social,juzi87,3,1
55,A,1,social,juzi87,0,2
89,B,1,social,juzi87,1,2
25,A,0,social,juzi87,2,2
53,B,1,social,juzi87,3,2
89,B,1,social,juzi87,0,3
25,A,0,social,juzi87,1,3
55,B,0,social,juzi87,2,3
53,B,1,social,juzi87,3,3
89,A,1,social,juzi87,0,4
25,A,0,social,juzi87,1,4
55,B,1,social,juzi87,2,4
53,B,1,social,juzi87,3,4
53,B,1,social,juzi87,0,5
55,B,0,social,juzi87,1,5
89,A,1,social,juzi87,2,5
25,A,0,social,juzi87,3,5
10,A,1,nonsocial,juzi87,0,0
62,B,1,nonsocial,juzi87,1,0
24,A,1,nonsocial,juzi87,2,0
20,B,1,nonsocial,juzi87,3,0
24,A,1,nonsocial,juzi87,0,1
10,A,1,nonsocial,juzi87,1,1
20,B,1,nonsocial,juzi87,2,1
62,A,0,nonsocial,juzi87,3,1
24,A,0,nonsocial,juzi87,0,2
10,A,1,nonsocial,juzi87,1,2
20,A,1,nonsocial,juzi87,2,2
62,B,1,nonsocial,juzi87,3,2
24,A,1,nonsocial,juzi87,0,3
62,B,1,nonsocial,juzi87,1,3
20,A,1,nonsocial,juzi87,2,3
10,A,1,nonsocial,juzi87,3,3
62,A,0,nonsocial,juzi87,0,4
20,A,0,nonsocial,juzi87,1,4
24,A,1,nonsocial,juzi87,2,4
10,A,1,nonsocial,juzi87,3,4
10,B,1,nonsocial,juzi87,0,5
62,B,1,nonsocial,juzi87,1,5
24,A,0,nonsocial,juzi87,2,5
20,B,1,nonsocial,juzi87,3,5
89,A,1,social,juzi87,0,0
25,B,1,social,juzi87,1,0
55,A,1,social,juzi87,2,0
53,B,1,social,juzi87,3,0
25,,0,social,juzi87,0,1
53,A,0,social,juzi87,1,1
89,B,0,social,juzi87,2,1
55,B,0,social,juzi87,3,1
89,B,0,social,juzi87,0,2
53,B,1,social,juzi87,1,2
25,B,1,social,juzi87,2,2
55,A,1,social,juzi87,3,2
25,A,0,social,juzi87,0,3
89,A,1,social,juzi87,1,3
53,B,1,social,juzi87,2,3
55,,0,social,juzi87,3,3
55,A,1,social,juzi87,0,4
53,A,0,social,juzi87,1,4
25,A,0,social,juzi87,2,4
89,A,0,social,juzi87,3,4
89,A,1,social,juzi87,0,5
53,B,1,social,juzi87,1,5
25,A,0,social,juzi87,2,5
55,B,0,social,juzi87,3,5
