stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
14,B,0,social,kaho97,0,0
22,A,0,social,kaho97,1,0
88,B,1,social,kaho97,2,0
86,A,0,social,kaho97,3,0
88,B,1,social,kaho97,0,1
86,A,1,social,kaho97,1,1
14,B,0,social,kaho97,2,1
22,A,1,social,kaho97,3,1
86,B,0,social,kaho97,0,2
88,B,0,social,kaho97,1,2
14,A,1,social,kaho97,2,2
22,B,1,social,kaho97,3,2
86,A,1,social,kaho97,0,3
88,B,1,social,kaho97,1,3
14,A,0,social,kaho97,2,3
22,B,1,social,kaho97,3,3
14,A,1,social,kaho97,0,4
86,B,0,social,kaho97,1,4
88,B,1,social,kaho97,2,4
22,A,0,social,kaho97,3,4
14,B,0,social,kaho97,0,5
88,B,1,social,kaho97,1,5
86,B,0,social,kaho97,2,5
22,B,1,social,kaho97,3,5
31,A,1,nonsocial,kaho97,0,0
77,B,1,nonsocial,kaho97,1,0
53,A,1,nonsocial,kaho97,2,0
85,B,1,nonsocial,kaho97,3,0
53,A,0,nonsocial,kaho97,0,1
85,B,1,nonsocial,kaho97,1,1
77,A,0,nonsocial,kaho97,2,1
31,A,1,nonsocial,kaho97,3,1
31,A,1,nonsocial,kaho97,0,2
85,B,0,nonsocial,kaho97,1,2
77,B,1,nonsocial,kaho97,2,2
53,A,1,nonsocial,kaho97,3,2
77,B,1,nonsocial,kaho97,0,3
85,A,0,nonsocial,kaho97,1,3
53,A,1,nonsocial,kaho97,2,3
31,A,1,nonsocial,kaho97,3,3
31,A,1,nonsocial,kaho97,0,4
77,B,1,nonsocial,kaho97,1,4
53,B,1,nonsocial,kaho97,2,4
85,A,0,nonsocial,kaho97,3,4
77,B,1,nonsocial,kaho97,0,5
53,A,1,nonsocial,kaho97,1,5
31,A,1,nonsocial,kaho97,2,5
85,B,1,nonsocial,kaho97,3,5
86,B,0,social,kaho97,0,0
14,A,1,social,kaho97,1,0
22,B,1,social,kaho97,2,0
88,B,1,social,kaho97,3,0
14,A,1,social,kaho97,0,1
22,B,1,social,kaho97,1,1
88,B,1,social,kaho97,2,1
86,A,1,social,kaho97,3,1
86,A,1,social,kaho97,0,2
88,B,1,social,kaho97,1,2
14,A,0,social,kaho97,2,2
22,A,1,social,kaho97,3,2
88,B,1,social,kaho97,0,3
86,A,1,social,kaho97,1,3
14,B,0,social,kaho97,2,3
22,A,0,social,kaho97,3,3
88,B,1,social,kaho97,0,4
22,B,1,social,kaho97,1,4
14,A,1,social,kaho97,2,4
86,A,1,social,kaho97,3,4
14,A,1,social,kaho97,0,5
22,B,1,social,kaho97,1,5
86,A,1,social,kaho97,2,5
88,B,1,social,kaho97,3,5
31,A,1,nonsocial,kaho97,0,0
77,B,1,nonsocial,kaho97,1,0
53,B,0,nonsocial,kaho97,2,0
85,B,0,nonsocial,kaho97,3,0
85,B,0,nonsocial,kaho97,0,1
31,A,1,nonsocial,kaho97,1,1
77,B,0,nonsocial,kaho97,2,1
53,A,1,nonsocial,kaho97,3,1
53,A,1,nonsocial,kaho97,0,2
77,B,1,nonsocial,kaho97,1,2
31,A,1,nonsocial,kaho97,2,2
85,B,1,nonsocial,kaho97,3,2
77,,0,nonsocial,kaho97,0,3
85,B,1,nonsocial,kaho97,1,3
31,A,1,nonsocial,kaho97,2,3
53,B,0,nonsocial,kaho97,3,3
77,B,1,nonsocial,kaho97,0,4
53,A,1,nonsocial,kaho97,1,4
31,A,1,nonsocial,kaho97,2,4
85,B,0,nonsocial,kaho97,3,4
31,A,1,nonsocial,kaho97,0,5
77,B,1,nonsocial,kaho97,1,5
53,A,1,nonsocial,kaho97,2,5
85,B,1,nonsocial,kaho97,3,5
