stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
42,A,0,nonsocial,kasi98,0,0
28,B,1,nonsocial,kasi98,1,0
74,A,,nonsocial,kasi98,2,0
48,A,0,nonsocial,kasi98,3,0
48,B,,nonsocial,kasi98,0,1
42,A,1,nonsocial,kasi98,1,1
28,A,,nonsocial,kasi98,2,1
74,B,0,nonsocial,kasi98,3,1
28,B,0,nonsocial,kasi98,0,2
74,,,nonsocial,kasi98,1,2
48,A,1,nonsocial,kasi98,2,2
42,B,,nonsocial,kasi98,3,2
42,B,,nonsocial,kasi98,0,3
74,B,1,nonsocial,kasi98,1,3
28,A,,nonsocial,kasi98,2,3
48,A,1,nonsocial,kasi98,3,3
42,A,1,nonsocial,kasi98,0,4
28,A,,nonsocial,kasi98,1,4
74,B,1,nonsocial,kasi98,2,4
48,A,1,nonsocial,kasi98,3,4
28,A,,nonsocial,kasi98,0,5
48,A,1,nonsocial,kasi98,1,5
42,A,1,nonsocial,kasi98,2,5
74,B,1,nonsocial,kasi98,3,5
71,B,1,social,kasi98,0,0
53,A,1,social,kasi98,1,0
23,A,,social,kasi98,2,0
21,B,,social,kasi98,3,0
53,B,,social,kasi98,0,1
71,B,0,social,kasi98,1,1
23,B,1,social,kasi98,2,1
21,B,,social,kasi98,3,1
71,A,,social,kasi98,0,2
21,B,,social,kasi98,1,2
23,A,,social,kasi98,2,2
53,B,,social,kasi98,3,2
71,B,1,social,kasi98,0,3
23,A,,social,kasi98,1,3
21,B,,social,kasi98,2,3
53,A,1,social,kasi98,3,3
71,B,0,social,kasi98,0,4
21,B,,social,kasi98,1,4
53,A,1,social,kasi98,2,4
23,A,,social,kasi98,3,4
53,B,,social,kasi98,0,5
21,B,,social,kasi98,1,5
23,A,,social,kasi98,2,5
71,B,1,social,kasi98,3,5
48,B,,nonsocial,kasi98,0,0
74,B,1,nonsocial,kasi98,1,0
28,B,1,nonsocial,kasi98,2,0
42,B,,nonsocial,kasi98,3,0
74,B,1,nonsocial,kasi98,0,1
48,B,,nonsocial,kasi98,1,1
28,A,,nonsocial,kasi98,2,1
42,A,0,nonsocial,kasi98,3,1
48,B,,nonsocial,kasi98,0,2
42,A,1,nonsocial,kasi98,1,2
74,B,1,nonsocial,kasi98,2,2
28,A,,nonsocial,kasi98,3,2
74,B,1,nonsocial,kasi98,0,3
42,A,0,nonsocial,kasi98,1,3
28,B,1,nonsocial,kasi98,2,3
48,B,,nonsocial,kasi98,3,3
48,B,,nonsocial,kasi98,0,4
42,B,,nonsocial,kasi98,1,4
28,A,,nonsocial,kasi98,2,4
74,B,1,nonsocial,kasi98,3,4
48,B,,nonsocial,kasi98,0,5
74,B,0,nonsocial,kasi98,1,5
42,A,1,nonsocial,kasi98,2,5
28,B,1,nonsocial,kasi98,3,5
71,B,1,social,kasi98,0,0
23,B,1,social,kasi98,1,0
21,B,,social,kasi98,2,0
53,B,,social,kasi98,3,0
21,A,0,social,kasi98,0,1
71,B,1,social,kasi98,1,1
23,B,1,social,kasi98,2,1
53,A,1,social,kasi98,3,1
21,B,,social,kasi98,0,2
53,A,1,social,kasi98,1,2
71,B,1,social,kasi98,2,2
23,B,1,social,kasi98,3,2
53,A,1,social,kasi98,0,3
71,B,1,social,kasi98,1,3
23,B,0,social,kasi98,2,3
21,A,1,social,kasi98,3,3
71,B,1,social,kasi98,0,4
23,B,1,social,kasi98,1,4
53,A,1,social,kasi98,2,4
21,B,,social,kasi98,3,4
23,B,1,social,kasi98,0,5
53,A,1,social,kasi98,1,5
71,B,1,social,kasi98,2,5
21,B,,social,kasi98,3,5
