stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
28,B,0,nonsocial,leal92,0,0
34,A,0,nonsocial,leal92,1,0
84,A,0,nonsocial,leal92,2,0
16,A,1,nonsocial,leal92,3,0
28,A,1,nonsocial,leal92,0,1
16,A,0,nonsocial,leal92,1,1
84,B,0,nonsocial,leal92,2,1
34,A,0,nonsocial,leal92,3,1
34,B,1,nonsocial,leal92,0,2
16,A,1,nonsocial,leal92,1,2
84,A,0,nonsocial,leal92,2,2
28,B,0,nonsocial,leal92,3,2
84,B,1,nonsocial,leal92,0,3
28,A,1,nonsocial,leal92,1,3
16,A,1,nonsocial,leal92,2,3
34,,0,nonsocial,leal92,3,3
84,B,0,nonsocial,leal92,0,4
16,A,1,nonsocial,leal92,1,4
28,B,1,nonsocial,leal92,2,4
34,A,0,nonsocial,leal92,3,4
16,A,1,nonsocial,leal92,0,5
28,B,0,nonsocial,leal92,1,5
84,B,1,nonsocial,leal92,2,5
34,A,0,nonsocial,leal92,3,5
65,B,1,social,leal92,0,0
29,A,1,social,leal92,1,0
41,B,0,social,leal92,2,0
75,B,1,social,leal92,3,0
29,B,0,social,leal92,0,1
65,A,0,social,leal92,1,1
75,A,1,social,leal92,2,1
41,B,1,social,leal92,3,1
75,A,0,social,leal92,0,2
29,A,1,social,leal92,1,2
65,B,1,social,leal92,2,2
41,A,1,social,leal92,3,2
41,B,0,social,leal92,0,3
29,A,1,social,leal92,1,3
65,B,1,social,leal92,2,3
75,B,1,social,leal92,3,3
65,A,1,social,leal92,0,4
41,B,1,social,leal92,1,4
29,A,1,social,leal92,2,4
75,B,1,social,leal92,3,4
65,A,0,social,leal92,0,5
75,B,1,social,leal92,1,5
41,A,1,social,leal92,2,5
29,A,1,social,leal92,3,5
34,B,1,nonsocial,leal92,0,0
28,B,0,nonsocial,leal92,1,0
84,B,1,nonsocial,leal92,2,0
16,A,1,nonsocial,leal92,3,0
28,A,1,nonsocial,leal92,0,1
84,B,0,nonsocial,leal92,1,1
34,B,1,nonsocial,leal92,2,1
16,A,1,nonsocial,leal92,3,1
34,B,1,nonsocial,leal92,0,2
28,A,1,nonsocial,leal92,1,2
16,A,1,nonsocial,leal92,2,2
84,B,1,nonsocial,leal92,3,2
84,B,1,nonsocial,leal92,0,3
28,A,1,nonsocial,leal92,1,3
34,B,1,nonsocial,leal92,2,3
16,A,1,nonsocial,leal92,3,3
84,B,1,nonsocial,leal92,0,4
34,B,1,nonsocial,leal92,1,4
28,A,1,nonsocial,leal92,2,4
16,A,1,nonsocial,leal92,3,4
34,B,1,nonsocial,leal92,0,5
16,A,1,nonsocial,leal92,1,5
28,A,1,nonsocial,leal92,2,5
84,B,1,nonsocial,leal92,3,5
65,A,0,social,leal92,0,0
41,B,0,social,leal92,1,0
75,B,0,social,leal92,2,0
29,A,0,social,leal92,3,0
65,B,1,social,leal92,0,1
41,A,1,social,leal92,1,1
29,B,0,social,leal92,2,1
75,A,0,social,leal92,3,1
65,A,0,social,leal92,0,2
75,B,1,social,leal92,1,2
29,A,1,social,leal92,2,2
41,B,0,social,leal92,3,2
29,A,1,social,leal92,0,3
41,B,0,social,leal92,1,3
65,A,1,social,leal92,2,3
75,B,1,social,leal92,3,3
41,B,0,social,leal92,0,4
75,A,1,social,leal92,1,4
65,B,0,social,leal92,2,4
29,A,1,social,leal92,3,4
65,B,1,social,leal92,0,5
75,A,0,social,leal92,1,5
29,B,0,social,leal92,2,5
41,A,1,social,leal92,3,5
