stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
32,A,1,social,leas96,0,0
86,A,1,social,leas96,1,0
76,B,0,social,leas96,2,0
84,B,1,social,leas96,3,0
86,A,1,social,leas96,0,1
32,B,0,social,leas96,1,1
84,A,0,social,leas96,2,1
76,A,0,social,leas96,3,1
84,A,1,social,leas96,0,2
86,A,1,social,leas96,1,2
32,B,0,social,leas96,2,2
76,A,0,social,leas96,3,2
84,A,1,social,leas96,0,3
76,B,1,social,leas96,1,3
32,A,0,social,leas96,2,3
86,A,1,social,leas96,3,3
76,A,0,social,leas96,0,4
86,A,1,social,leas96,1,4
84,A,0,social,leas96,2,4
32,B,0,social,leas96,3,4
32,B,1,social,leas96,0,5
84,A,0,social,leas96,1,5
76,A,0,social,leas96,2,5
86,B,0,social,leas96,3,5
65,B,1,nonsocial,leas96,0,0
19,A,1,nonsocial,leas96,1,0
39,A,1,nonsocial,leas96,2,0
55,B,1,nonsocial,leas96,3,0
55,B,1,nonsocial,leas96,0,1
65,A,0,nonsocial,leas96,1,1
39,A,0,nonsocial,leas96,2,1
19,A,1,nonsocial,leas96,3,1
55,B,1,nonsocial,leas96,0,2
65,B,1,nonsocial,leas96,1,2
39,A,0,nonsocial,leas96,2,2
19,A,0,nonsocial,leas96,3,2
65,B,1,nonsocial,leas96,0,3
55,B,1,nonsocial,leas96,1,3
19,A,1,nonsocial,leas96,2,3
39,A,0,nonsocial,leas96,3,3
39,B,0,nonsocial,leas96,0,4
19,A,1,nonsocial,leas96,1,4
65,B,0,nonsocial,leas96,2,4
55,B,1,nonsocial,leas96,3,4
19,A,1,nonsocial,leas96,0,5
65,B,1,nonsocial,leas96,1,5
39,B,0,nonsocial,leas96,2,5
55,B,1,nonsocial,leas96,3,5
84,A,0,social,leas96,0,0
32,A,1,social,leas96,1,0
76,A,1,social,leas96,2,0
86,B,0,social,leas96,3,0
32,A,0,social,leas96,0,1
76,B,1,social,leas96,1,1
84,A,0,social,leas96,2,1
86,A,1,social,leas96,3,1
76,B,1,social,leas96,0,2
86,A,1,social,leas96,1,2
32,B,0,social,leas96,2,2
84,A,0,social,leas96,3,2
76,B,1,social,leas96,0,3
32,A,1,social,leas96,1,3
84,B,1,social,leas96,2,3
86,A,1,social,leas96,3,3
76,B,1,social,leas96,0,4
32,A,1,social,leas96,1,4
86,B,0,social,leas96,2,4
84,B,1,social,leas96,3,4
86,A,1,social,leas96,0,5
32,A,1,social,leas96,1,5
76,B,1,social,leas96,2,5
84,B,1,social,leas96,3,5
19,B,0,nonsocial,leas96,0,0
65,B,1,nonsocial,leas96,1,0
39,A,1,nonsocial,leas96,2,0
55,B,0,nonsocial,leas96,3,0
19,A,1,nonsocial,leas96,0,1
55,A,0,nonsocial,leas96,1,1
39,B,0,nonsocial,leas96,2,1
65,B,1,nonsocial,leas96,3,1
39,A,1,nonsocial,leas96,0,2
19,B,0,nonsocial,leas96,1,2
55,B,1,nonsocial,leas96,2,2
65,A,0,nonsocial,leas96,3,2
39,B,0,nonsocial,leas96,0,3
19,A,1,nonsocial,leas96,1,3
55,B,1,nonsocial,leas96,2,3
65,A,1,nonsocial,leas96,3,3
19,A,1,nonsocial,leas96,0,4
55,B,1,nonsocial,leas96,1,4
39,B,0,nonsocial,leas96,2,4
65,A,0,nonsocial,leas96,3,4
39,B,0,nonsocial,leas96,0,5
55,B,1,nonsocial,leas96,1,5
19,A,0,nonsocial,leas96,2,5
65,A,0,nonsocial,leas96,3,5
