stim,ParticipantAnswer,Reward,BlockType
30,A,0,nonsocial
30,B,1,nonsocial
30,A,0,nonsocial
30,A,0,nonsocial
30,B,1,nonsocial
30,A,0,nonsocial
30,A,0,nonsocial
30,A,0,nonsocial
30,B,1,nonsocial
30,B,1,nonsocial
30,B,1,nonsocial
30,B,1,nonsocial
56,A,0,nonsocial
56,A,1,nonsocial
56,A,0,nonsocial
56,B,1,nonsocial
56,A,0,nonsocial
56,B,1,nonsocial
56,B,1,nonsocial
56,A,1,nonsocial
56,B,1,nonsocial
56,B,1,nonsocial
56,B,1,nonsocial
56,B,1,nonsocial
74,A,1,nonsocial
74,B,0,nonsocial
74,A,1,nonsocial
74,B,1,nonsocial
74,B,0,nonsocial
74,B,0,nonsocial
74,A,1,nonsocial
74,A,0,nonsocial
74,A,1,nonsocial
74,A,1,nonsocial
74,A,1,nonsocial
74,A,1,nonsocial
78,B,0,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
78,A,1,nonsocial
59,B,0,social
59,A,1,social
59,A,1,social
59,A,1,social
59,A,0,social
59,A,0,social
59,B,0,social
59,B,0,social
59,B,0,social
59,B,0,social
59,A,1,social
59,A,1,social
71,A,0,social
71,B,0,social
71,A,1,social
71,A,1,social
71,A,0,social
71,A,0,social
71,B,1,social
71,B,1,social
71,B,1,social
71,B,1,social
71,B,1,social
71,B,1,social
53,A,1,social
53,B,1,social
53,B,0,social
53,A,1,social
53,A,1,social
53,A,1,social
53,B,0,social
53,B,0,social
53,B,0,social
53,B,1,social
53,B,0,social
53,A,1,social
19,B,1,social
19,A,0,social
19,B,1,social
19,B,1,social
19,B,1,social
19,B,1,social
19,A,0,social
19,B,0,social
19,A,1,social
19,A,0,social
19,B,1,social
19,B,1,social
