stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
48,A,1,nonsocial,male99,0,0
44,A,0,nonsocial,male99,1,0
70,A,0,nonsocial,male99,2,0
50,B,1,nonsocial,male99,3,0
70,B,0,nonsocial,male99,0,1
48,A,1,nonsocial,male99,1,1
50,A,1,nonsocial,male99,2,1
44,B,0,nonsocial,male99,3,1
44,A,1,nonsocial,male99,0,2
70,B,1,nonsocial,male99,1,2
48,A,1,nonsocial,male99,2,2
50,A,1,nonsocial,male99,3,2
50,B,0,nonsocial,male99,0,3
48,A,0,nonsocial,male99,1,3
44,B,1,nonsocial,male99,2,3
70,B,0,nonsocial,male99,3,3
44,B,1,nonsocial,male99,0,4
50,B,0,nonsocial,male99,1,4
48,B,0,nonsocial,male99,2,4
70,B,1,nonsocial,male99,3,4
48,A,1,nonsocial,male99,0,5
70,A,0,nonsocial,male99,1,5
44,B,1,nonsocial,male99,2,5
50,A,1,nonsocial,male99,3,5
89,B,1,social,male99,0,0
97,A,1,social,male99,1,0
45,B,1,social,male99,2,0
73,A,0,social,male99,3,0
89,B,1,social,male99,0,1
45,A,1,social,male99,1,1
73,A,1,social,male99,2,1
97,A,1,social,male99,3,1
89,B,1,social,male99,0,2
97,A,1,social,male99,1,2
73,B,0,social,male99,2,2
45,A,0,social,male99,3,2
45,A,0,social,male99,0,3
89,B,1,social,male99,1,3
97,A,1,social,male99,2,3
73,B,1,social,male99,3,3
89,A,1,social,male99,0,4
73,A,1,social,male99,1,4
45,A,0,social,male99,2,4
97,A,1,social,male99,3,4
89,A,0,social,male99,0,5
45,B,1,social,male99,1,5
73,B,1,social,male99,2,5
97,B,1,social,male99,3,5
44,B,1,nonsocial,male99,0,0
48,A,1,nonsocial,male99,1,0
70,B,1,nonsocial,male99,2,0
50,A,1,nonsocial,male99,3,0
48,A,1,nonsocial,male99,0,1
44,A,0,nonsocial,male99,1,1
70,B,1,nonsocial,male99,2,1
50,B,0,nonsocial,male99,3,1
70,A,0,nonsocial,male99,0,2
48,B,0,nonsocial,male99,1,2
44,B,1,nonsocial,male99,2,2
50,B,0,nonsocial,male99,3,2
50,A,0,nonsocial,male99,0,3
70,A,1,nonsocial,male99,1,3
44,A,0,nonsocial,male99,2,3
48,A,1,nonsocial,male99,3,3
44,B,1,nonsocial,male99,0,4
48,B,0,nonsocial,male99,1,4
70,A,0,nonsocial,male99,2,4
50,B,0,nonsocial,male99,3,4
70,B,1,nonsocial,male99,0,5
48,A,1,nonsocial,male99,1,5
50,A,1,nonsocial,male99,2,5
44,A,0,nonsocial,male99,3,5
97,A,1,social,male99,0,0
45,B,1,social,male99,1,0
73,B,0,social,male99,2,0
89,A,0,social,male99,3,0
73,B,0,social,male99,0,1
97,B,0,social,male99,1,1
89,A,0,social,male99,2,1
45,B,1,social,male99,3,1
97,A,1,social,male99,0,2
89,B,1,social,male99,1,2
45,A,0,social,male99,2,2
73,A,1,social,male99,3,2
73,A,1,social,male99,0,3
89,B,1,social,male99,1,3
97,A,1,social,male99,2,3
45,A,0,social,male99,3,3
45,A,0,social,male99,0,4
97,A,1,social,male99,1,4
73,A,1,social,male99,2,4
89,A,0,social,male99,3,4
97,B,1,social,male99,0,5
73,B,1,social,male99,1,5
89,A,0,social,male99,2,5
45,A,0,social,male99,3,5
