stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
92,B,0,nonsocial,maro96,0,0
32,A,1,nonsocial,maro96,1,0
12,B,1,nonsocial,maro96,2,0
60,B,1,nonsocial,maro96,3,0
12,B,1,nonsocial,maro96,0,1
60,B,1,nonsocial,maro96,1,1
32,A,1,nonsocial,maro96,2,1
92,B,1,nonsocial,maro96,3,1
92,B,1,nonsocial,maro96,0,2
32,A,1,nonsocial,maro96,1,2
12,B,0,nonsocial,maro96,2,2
60,B,1,nonsocial,maro96,3,2
92,B,1,nonsocial,maro96,0,3
12,A,1,nonsocial,maro96,1,3
32,A,1,nonsocial,maro96,2,3
60,B,1,nonsocial,maro96,3,3
32,A,1,nonsocial,maro96,0,4
12,A,1,nonsocial,maro96,1,4
60,B,1,nonsocial,maro96,2,4
92,B,1,nonsocial,maro96,3,4
92,B,1,nonsocial,maro96,0,5
60,B,1,nonsocial,maro96,1,5
32,A,1,nonsocial,maro96,2,5
12,A,1,nonsocial,maro96,3,5
17,A,0,social,maro96,0,0
19,B,0,social,maro96,1,0
65,B,1,social,maro96,2,0
47,A,1,social,maro96,3,0
47,A,1,social,maro96,0,1
19,B,1,social,maro96,1,1
65,B,1,social,maro96,2,1
17,B,1,social,maro96,3,1
19,B,0,social,maro96,0,2
47,A,1,social,maro96,1,2
17,B,1,social,maro96,2,2
65,B,1,social,maro96,3,2
47,A,1,social,maro96,0,3
19,A,1,social,maro96,1,3
65,B,1,social,maro96,2,3
17,B,0,social,maro96,3,3
19,A,1,social,maro96,0,4
65,B,1,social,maro96,1,4
47,A,1,social,maro96,2,4
17,B,1,social,maro96,3,4
19,A,1,social,maro96,0,5
17,B,1,social,maro96,1,5
47,A,0,social,maro96,2,5
65,B,1,social,maro96,3,5
92,B,0,nonsocial,maro96,0,0
12,A,1,nonsocial,maro96,1,0
60,B,1,nonsocial,maro96,2,0
32,A,1,nonsocial,maro96,3,0
60,B,1,nonsocial,maro96,0,1
12,A,1,nonsocial,maro96,1,1
32,A,1,nonsocial,maro96,2,1
92,A,0,nonsocial,maro96,3,1
92,A,0,nonsocial,maro96,0,2
60,B,1,nonsocial,maro96,1,2
32,A,1,nonsocial,maro96,2,2
12,A,1,nonsocial,maro96,3,2
92,B,1,nonsocial,maro96,0,3
32,A,1,nonsocial,maro96,1,3
60,B,0,nonsocial,maro96,2,3
12,A,1,nonsocial,maro96,3,3
12,A,1,nonsocial,maro96,0,4
92,B,1,nonsocial,maro96,1,4
60,A,1,nonsocial,maro96,2,4
32,A,1,nonsocial,maro96,3,4
12,A,1,nonsocial,maro96,0,5
32,A,1,nonsocial,maro96,1,5
60,,0,nonsocial,maro96,2,5
92,A,0,nonsocial,maro96,3,5
19,B,0,social,maro96,0,0
65,B,1,social,maro96,1,0
47,A,1,social,maro96,2,0
17,B,1,social,maro96,3,0
47,B,1,social,maro96,0,1
65,A,0,social,maro96,1,1
17,A,1,social,maro96,2,1
19,B,0,social,maro96,3,1
47,B,0,social,maro96,0,2
19,A,1,social,maro96,1,2
65,B,1,social,maro96,2,2
17,A,0,social,maro96,3,2
47,A,0,social,maro96,0,3
17,B,1,social,maro96,1,3
65,B,1,social,maro96,2,3
19,A,1,social,maro96,3,3
19,A,0,social,maro96,0,4
17,A,0,social,maro96,1,4
47,A,1,social,maro96,2,4
65,A,0,social,maro96,3,4
47,A,1,social,maro96,0,5
17,B,1,social,maro96,1,5
65,B,0,social,maro96,2,5
19,B,0,social,maro96,3,5
