stim,ParticipantAnswer,Reward,BlockType
40,A,0,nonsocial
40,A,0,nonsocial
40,A,1,nonsocial
40,A,0,nonsocial
40,A,0,nonsocial
40,B,1,nonsocial
40,A,0,nonsocial
40,B,1,nonsocial
40,A,0,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
40,B,1,nonsocial
46,B,1,nonsocial
46,B,0,nonsocial
46,A,0,nonsocial
46,A,0,nonsocial
46,A,0,nonsocial
46,B,1,nonsocial
46,B,1,nonsocial
46,B,1,nonsocial
46,A,0,nonsocial
46,B,1,nonsocial
46,B,0,nonsocial
46,B,1,nonsocial
60,B,0,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,A,1,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
60,B,1,nonsocial
60,A,0,nonsocial
60,A,1,nonsocial
60,B,0,nonsocial
60,B,0,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,B,0,nonsocial
96,A,1,nonsocial
96,A,0,nonsocial
96,A,1,nonsocial
96,B,0,nonsocial
96,B,1,nonsocial
96,A,1,nonsocial
43,A,0,social
43,A,1,social
43,B,1,social
43,B,0,social
43,A,1,social
43,A,0,social
43,B,0,social
43,A,1,social
43,B,0,social
43,A,0,social
43,B,0,social
43,B,0,social
73,A,1,social
73,A,0,social
73,B,1,social
73,B,1,social
73,B,1,social
73,B,0,social
73,B,0,social
73,A,0,social
73,B,1,social
73,A,1,social
73,B,1,social
73,A,0,social
91,A,1,social
91,A,1,social
91,A,1,social
91,B,0,social
91,B,1,social
91,A,1,social
91,B,1,social
91,A,1,social
91,A,1,social
91,B,1,social
91,B,0,social
91,B,0,social
75,B,1,social
75,A,0,social
75,A,0,social
75,B,1,social
75,A,0,social
75,A,0,social
75,B,0,social
75,A,0,social
75,B,0,social
75,B,1,social
75,A,0,social
75,A,0,social
