stim,ParticipantAnswer,Reward,BlockType
82,A,1,nonsocial
82,B,0,nonsocial
82,B,0,nonsocial
82,B,1,nonsocial
82,B,1,nonsocial
82,A,1,nonsocial
82,A,1,nonsocial
82,B,1,nonsocial
82,A,1,nonsocial
82,A,1,nonsocial
82,A,1,nonsocial
82,A,1,nonsocial
92,B,0,nonsocial
92,A,1,nonsocial
92,NA,0,nonsocial
92,A,1,nonsocial
92,A,1,nonsocial
92,A,1,nonsocial
92,A,1,nonsocial
92,A,1,nonsocial
92,B,0,nonsocial
92,B,0,nonsocial
92,A,0,nonsocial
92,B,0,nonsocial
66,A,0,nonsocial
66,B,1,nonsocial
66,B,1,nonsocial
66,B,0,nonsocial
66,B,1,nonsocial
66,B,1,nonsocial
66,A,0,nonsocial
66,B,1,nonsocial
66,B,1,nonsocial
66,B,0,nonsocial
66,B,1,nonsocial
66,B,1,nonsocial
12,B,1,nonsocial
12,B,1,nonsocial
12,B,1,nonsocial
12,B,1,nonsocial
12,B,1,nonsocial
12,B,0,nonsocial
12,A,1,nonsocial
12,A,0,nonsocial
12,B,0,nonsocial
12,B,1,nonsocial
12,B,1,nonsocial
12,B,0,nonsocial
59,B,1,social
59,B,1,social
59,B,1,social
59,A,0,social
59,A,0,social
59,A,0,social
59,A,0,social
59,B,1,social
59,B,1,social
59,B,0,social
59,B,0,social
59,A,0,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,0,social
17,A,0,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,0,social
11,B,1,social
11,B,0,social
11,B,0,social
11,B,0,social
11,B,0,social
11,B,0,social
11,A,1,social
11,A,1,social
11,A,1,social
11,A,1,social
11,A,1,social
11,A,1,social
65,A,1,social
65,A,1,social
65,B,0,social
65,B,0,social
65,B,0,social
65,A,1,social
65,A,1,social
65,A,1,social
65,A,1,social
65,A,1,social
65,A,1,social
65,B,0,social
