stim,ParticipantAnswer,Reward,BlockType
10,B,0,social
10,B,0,social
10,A,0,social
10,B,1,social
10,B,1,social
10,B,0,social
10,B,0,social
10,NA,0,social
10,A,1,social
10,B,0,social
10,A,1,social
10,A,0,social
74,B,0,social
74,A,1,social
74,A,1,social
74,B,0,social
74,A,1,social
74,B,1,social
74,B,0,social
74,B,0,social
74,A,1,social
74,B,0,social
74,A,1,social
74,A,1,social
70,A,0,social
70,A,0,social
70,A,0,social
70,B,1,social
70,B,1,social
70,B,1,social
70,B,1,social
70,B,0,social
70,A,1,social
70,B,1,social
70,B,1,social
70,B,0,social
86,B,1,social
86,A,1,social
86,A,0,social
86,A,0,social
86,A,0,social
86,B,1,social
86,B,0,social
86,B,0,social
86,A,0,social
86,A,0,social
86,A,0,social
86,B,1,social
79,A,0,nonsocial
79,A,0,nonsocial
79,B,1,nonsocial
79,A,0,nonsocial
79,B,1,nonsocial
79,B,1,nonsocial
79,B,1,nonsocial
79,B,1,nonsocial
79,B,0,nonsocial
79,B,1,nonsocial
79,B,1,nonsocial
79,B,0,nonsocial
31,A,0,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,0,nonsocial
31,A,0,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
31,B,1,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,B,0,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,B,0,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,A,1,nonsocial
73,A,0,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
19,B,0,nonsocial
19,B,1,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
19,B,0,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
19,A,1,nonsocial
