stim,ParticipantAnswer,Reward,BlockType
90,B,1,nonsocial
90,A,0,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,0,nonsocial
90,B,0,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,0,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
60,B,1,nonsocial
36,B,0,nonsocial
36,B,1,nonsocial
36,A,0,nonsocial
36,B,0,nonsocial
36,A,1,nonsocial
36,A,1,nonsocial
36,B,0,nonsocial
36,A,1,nonsocial
36,A,1,nonsocial
36,A,1,nonsocial
36,A,1,nonsocial
36,A,0,nonsocial
10,B,1,nonsocial
10,B,0,nonsocial
10,A,1,nonsocial
10,B,1,nonsocial
10,B,0,nonsocial
10,A,1,nonsocial
10,B,0,nonsocial
10,A,1,nonsocial
10,A,1,nonsocial
10,A,1,nonsocial
10,A,1,nonsocial
10,A,1,nonsocial
73,A,1,social
73,A,1,social
73,A,1,social
73,A,1,social
73,A,1,social
73,A,1,social
73,B,0,social
73,A,0,social
73,A,1,social
73,A,1,social
73,A,0,social
73,A,0,social
87,A,0,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,0,social
87,B,1,social
87,B,1,social
87,B,0,social
87,B,0,social
37,A,0,social
37,B,1,social
37,B,1,social
37,B,1,social
37,B,0,social
37,B,1,social
37,A,1,social
37,A,0,social
37,B,1,social
37,B,1,social
37,B,1,social
37,B,1,social
21,A,1,social
21,A,1,social
21,A,1,social
21,A,1,social
21,A,1,social
21,A,1,social
21,A,1,social
21,A,0,social
21,A,1,social
21,A,1,social
21,A,0,social
21,A,1,social
