stim,ParticipantAnswer,Reward,BlockType
82,B,0,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,1,social
82,A,0,social
40,A,1,social
40,A,1,social
40,A,1,social
40,A,1,social
40,A,0,social
40,A,1,social
40,A,1,social
40,A,1,social
40,A,0,social
40,A,0,social
40,A,0,social
40,A,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
60,B,1,social
70,A,0,social
70,B,1,social
70,B,1,social
70,B,1,social
70,B,1,social
70,B,1,social
70,A,0,social
70,B,1,social
70,B,1,social
70,B,1,social
70,B,0,social
70,B,1,social
81,A,0,nonsocial
81,B,1,nonsocial
81,B,0,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,1,nonsocial
81,B,0,nonsocial
81,B,1,nonsocial
63,B,0,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
63,A,0,nonsocial
63,A,0,nonsocial
63,A,1,nonsocial
63,A,1,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,0,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,0,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
99,A,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
75,B,0,nonsocial
75,B,1,nonsocial
75,B,1,nonsocial
