stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
66,A,0,social,nito82,0,0
14,B,1,social,nito82,1,0
60,A,0,social,nito82,2,0
68,B,0,social,nito82,3,0
68,A,1,social,nito82,0,1
60,A,1,social,nito82,1,1
66,A,0,social,nito82,2,1
14,A,1,social,nito82,3,1
60,,0,social,nito82,0,2
68,A,0,social,nito82,1,2
14,A,1,social,nito82,2,2
66,A,0,social,nito82,3,2
68,B,0,social,nito82,0,3
66,B,1,social,nito82,1,3
60,B,1,social,nito82,2,3
14,B,0,social,nito82,3,3
68,A,1,social,nito82,0,4
60,A,0,social,nito82,1,4
66,B,1,social,nito82,2,4
14,B,0,social,nito82,3,4
14,A,1,social,nito82,0,5
66,A,0,social,nito82,1,5
60,B,1,social,nito82,2,5
68,A,1,social,nito82,3,5
59,B,1,nonsocial,nito82,0,0
35,A,0,nonsocial,nito82,1,0
51,B,0,nonsocial,nito82,2,0
99,A,1,nonsocial,nito82,3,0
59,B,1,nonsocial,nito82,0,1
35,B,1,nonsocial,nito82,1,1
51,B,0,nonsocial,nito82,2,1
99,A,1,nonsocial,nito82,3,1
51,A,1,nonsocial,nito82,0,2
99,A,1,nonsocial,nito82,1,2
59,A,0,nonsocial,nito82,2,2
35,B,1,nonsocial,nito82,3,2
99,A,1,nonsocial,nito82,0,3
35,A,0,nonsocial,nito82,1,3
59,B,1,nonsocial,nito82,2,3
51,A,1,nonsocial,nito82,3,3
59,A,0,nonsocial,nito82,0,4
51,A,1,nonsocial,nito82,1,4
99,B,0,nonsocial,nito82,2,4
35,A,0,nonsocial,nito82,3,4
99,B,0,nonsocial,nito82,0,5
35,A,0,nonsocial,nito82,1,5
51,B,0,nonsocial,nito82,2,5
59,B,1,nonsocial,nito82,3,5
68,B,0,social,nito82,0,0
60,A,0,social,nito82,1,0
66,B,1,social,nito82,2,0
14,B,0,social,nito82,3,0
60,A,0,social,nito82,0,1
14,A,1,social,nito82,1,1
68,A,0,social,nito82,2,1
66,B,1,social,nito82,3,1
14,B,0,social,nito82,0,2
60,A,0,social,nito82,1,2
66,B,1,social,nito82,2,2
68,B,0,social,nito82,3,2
14,A,1,social,nito82,0,3
68,B,0,social,nito82,1,3
60,A,0,social,nito82,2,3
66,A,0,social,nito82,3,3
68,B,0,social,nito82,0,4
14,A,1,social,nito82,1,4
66,B,1,social,nito82,2,4
60,A,0,social,nito82,3,4
68,A,0,social,nito82,0,5
66,B,1,social,nito82,1,5
60,A,0,social,nito82,2,5
14,B,0,social,nito82,3,5
99,B,0,nonsocial,nito82,0,0
59,B,0,nonsocial,nito82,1,0
35,A,0,nonsocial,nito82,2,0
51,B,0,nonsocial,nito82,3,0
99,A,1,nonsocial,nito82,0,1
59,A,0,nonsocial,nito82,1,1
51,B,0,nonsocial,nito82,2,1
35,A,1,nonsocial,nito82,3,1
35,B,1,nonsocial,nito82,0,2
99,B,0,nonsocial,nito82,1,2
51,A,1,nonsocial,nito82,2,2
59,A,0,nonsocial,nito82,3,2
35,A,0,nonsocial,nito82,0,3
51,B,0,nonsocial,nito82,1,3
99,B,0,nonsocial,nito82,2,3
59,A,0,nonsocial,nito82,3,3
51,A,0,nonsocial,nito82,0,4
59,B,0,nonsocial,nito82,1,4
35,A,0,nonsocial,nito82,2,4
99,B,0,nonsocial,nito82,3,4
59,A,0,nonsocial,nito82,0,5
51,B,0,nonsocial,nito82,1,5
99,B,0,nonsocial,nito82,2,5
35,A,0,nonsocial,nito82,3,5
