stim,ParticipantAnswer,Reward,BlockType
82,A,0,nonsocial
82,A,0,nonsocial
82,B,1,nonsocial
82,A,0,nonsocial
82,A,1,nonsocial
82,A,0,nonsocial
82,A,0,nonsocial
82,A,0,nonsocial
82,A,0,nonsocial
82,B,1,nonsocial
82,A,0,nonsocial
82,A,0,nonsocial
42,B,0,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,A,1,nonsocial
42,B,1,nonsocial
42,A,0,nonsocial
42,A,1,nonsocial
58,B,1,nonsocial
58,B,1,nonsocial
58,A,0,nonsocial
58,B,1,nonsocial
58,B,1,nonsocial
58,B,1,nonsocial
58,A,1,nonsocial
58,B,1,nonsocial
58,B,1,nonsocial
58,A,0,nonsocial
58,A,0,nonsocial
58,B,0,nonsocial
86,B,0,nonsocial
86,A,1,nonsocial
86,A,1,nonsocial
86,A,1,nonsocial
86,A,1,nonsocial
86,B,1,nonsocial
86,A,1,nonsocial
86,B,0,nonsocial
86,B,0,nonsocial
86,B,0,nonsocial
86,A,0,nonsocial
86,A,1,nonsocial
89,A,0,social
89,B,1,social
89,A,0,social
89,A,0,social
89,A,0,social
89,A,0,social
89,B,1,social
89,A,0,social
89,B,0,social
89,A,0,social
89,A,0,social
89,B,0,social
83,A,0,social
83,A,1,social
83,A,1,social
83,A,0,social
83,A,1,social
83,B,0,social
83,B,0,social
83,A,0,social
83,B,1,social
83,A,1,social
83,A,1,social
83,B,1,social
71,B,0,social
71,B,0,social
71,A,1,social
71,A,0,social
71,A,1,social
71,B,0,social
71,A,0,social
71,A,1,social
71,A,1,social
71,A,1,social
71,A,0,social
71,B,0,social
13,A,0,social
13,A,0,social
13,B,1,social
13,A,1,social
13,B,0,social
13,A,0,social
13,B,1,social
13,B,1,social
13,A,0,social
13,A,0,social
13,A,0,social
13,A,0,social
