stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
30,A,0,social,node99,0,0
34,A,0,social,node99,1,0
68,A,0,social,node99,2,0
84,B,0,social,node99,3,0
84,A,1,social,node99,0,1
34,B,1,social,node99,1,1
30,B,1,social,node99,2,1
68,B,1,social,node99,3,1
34,A,1,social,node99,0,2
68,B,1,social,node99,1,2
84,A,1,social,node99,2,2
30,B,1,social,node99,3,2
68,B,0,social,node99,0,3
84,A,1,social,node99,1,3
34,A,1,social,node99,2,3
30,B,1,social,node99,3,3
34,A,1,social,node99,0,4
84,A,1,social,node99,1,4
30,,1,social,node99,2,4
68,B,1,social,node99,3,4
34,A,1,social,node99,0,5
84,A,1,social,node99,1,5
68,B,1,social,node99,2,5
30,B,1,social,node99,3,5
27,B,1,nonsocial,node99,0,0
81,A,1,nonsocial,node99,1,0
73,A,1,nonsocial,node99,2,0
29,B,1,nonsocial,node99,3,0
27,A,0,nonsocial,node99,0,1
29,B,1,nonsocial,node99,1,1
81,A,1,nonsocial,node99,2,1
73,A,1,nonsocial,node99,3,1
29,B,1,nonsocial,node99,0,2
73,A,1,nonsocial,node99,1,2
27,B,1,nonsocial,node99,2,2
81,A,1,nonsocial,node99,3,2
27,B,1,nonsocial,node99,0,3
29,B,1,nonsocial,node99,1,3
73,A,1,nonsocial,node99,2,3
81,B,0,nonsocial,node99,3,3
27,B,1,nonsocial,node99,0,4
81,A,1,nonsocial,node99,1,4
29,B,0,nonsocial,node99,2,4
73,A,1,nonsocial,node99,3,4
73,A,1,nonsocial,node99,0,5
81,A,0,nonsocial,node99,1,5
27,B,1,nonsocial,node99,2,5
29,B,1,nonsocial,node99,3,5
68,B,1,social,node99,0,0
84,B,0,social,node99,1,0
34,B,1,social,node99,2,0
30,A,0,social,node99,3,0
68,B,1,social,node99,0,1
34,B,0,social,node99,1,1
30,B,1,social,node99,2,1
84,A,1,social,node99,3,1
34,B,1,social,node99,0,2
68,B,1,social,node99,1,2
84,A,1,social,node99,2,2
30,B,1,social,node99,3,2
84,A,1,social,node99,0,3
30,B,1,social,node99,1,3
68,B,1,social,node99,2,3
34,B,1,social,node99,3,3
68,B,1,social,node99,0,4
30,B,1,social,node99,1,4
34,B,0,social,node99,2,4
84,A,0,social,node99,3,4
84,A,1,social,node99,0,5
68,B,1,social,node99,1,5
34,B,0,social,node99,2,5
30,B,1,social,node99,3,5
73,B,0,nonsocial,node99,0,0
27,,0,nonsocial,node99,1,0
81,B,1,nonsocial,node99,2,0
29,B,1,nonsocial,node99,3,0
29,B,1,nonsocial,node99,0,1
27,A,0,nonsocial,node99,1,1
73,A,0,nonsocial,node99,2,1
81,B,0,nonsocial,node99,3,1
73,A,0,nonsocial,node99,0,2
29,B,1,nonsocial,node99,1,2
27,B,1,nonsocial,node99,2,2
81,A,1,nonsocial,node99,3,2
81,B,0,nonsocial,node99,0,3
73,A,1,nonsocial,node99,1,3
29,B,1,nonsocial,node99,2,3
27,B,1,nonsocial,node99,3,3
29,B,1,nonsocial,node99,0,4
73,A,1,nonsocial,node99,1,4
81,A,1,nonsocial,node99,2,4
27,B,1,nonsocial,node99,3,4
81,A,1,nonsocial,node99,0,5
29,B,1,nonsocial,node99,1,5
27,B,1,nonsocial,node99,2,5
73,A,1,nonsocial,node99,3,5
