stim,ParticipantAnswer,Reward,BlockType
14,B,0,nonsocial
14,A,1,nonsocial
14,A,0,nonsocial
14,B,0,nonsocial
14,B,0,nonsocial
14,A,1,nonsocial
14,A,0,nonsocial
14,B,0,nonsocial
14,A,1,nonsocial
14,A,1,nonsocial
14,A,1,nonsocial
14,A,1,nonsocial
36,A,0,nonsocial
36,B,1,nonsocial
36,B,1,nonsocial
36,B,1,nonsocial
36,A,0,nonsocial
36,A,0,nonsocial
36,A,0,nonsocial
36,B,1,nonsocial
36,A,0,nonsocial
36,B,1,nonsocial
36,B,1,nonsocial
36,B,1,nonsocial
64,A,0,nonsocial
64,A,1,nonsocial
64,A,0,nonsocial
64,B,1,nonsocial
64,A,1,nonsocial
64,A,1,nonsocial
64,B,0,nonsocial
64,A,0,nonsocial
64,A,1,nonsocial
64,A,0,nonsocial
64,A,1,nonsocial
64,A,1,nonsocial
90,A,0,nonsocial
90,B,1,nonsocial
90,A,0,nonsocial
90,A,0,nonsocial
90,B,1,nonsocial
90,A,0,nonsocial
90,A,0,nonsocial
90,B,1,nonsocial
90,B,0,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
90,B,1,nonsocial
87,A,0,social
87,B,1,social
87,A,0,social
87,B,1,social
87,B,0,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,1,social
87,B,0,social
87,B,1,social
17,A,0,social
17,A,0,social
17,B,1,social
17,B,1,social
17,B,1,social
17,B,1,social
17,A,0,social
17,B,0,social
17,B,1,social
17,A,1,social
17,B,1,social
17,A,0,social
53,A,1,social
53,A,1,social
53,A,1,social
53,B,0,social
53,B,0,social
53,A,0,social
53,A,1,social
53,A,1,social
53,A,1,social
53,B,0,social
53,A,1,social
53,A,1,social
73,A,1,social
73,A,1,social
73,B,0,social
73,A,1,social
73,A,1,social
73,A,1,social
73,B,0,social
73,B,0,social
73,A,1,social
73,A,1,social
73,A,1,social
73,A,1,social
