stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
78,A,0,nonsocial,olka98,0,0
18,A,1,nonsocial,olka98,1,0
38,B,1,nonsocial,olka98,2,0
86,A,1,nonsocial,olka98,3,0
38,B,1,nonsocial,olka98,0,1
18,B,1,nonsocial,olka98,1,1
78,A,0,nonsocial,olka98,2,1
86,A,0,nonsocial,olka98,3,1
18,B,0,nonsocial,olka98,0,2
78,A,0,nonsocial,olka98,1,2
38,B,1,nonsocial,olka98,2,2
86,B,1,nonsocial,olka98,3,2
18,B,1,nonsocial,olka98,0,3
38,B,1,nonsocial,olka98,1,3
78,B,1,nonsocial,olka98,2,3
86,B,1,nonsocial,olka98,3,3
38,B,1,nonsocial,olka98,0,4
78,B,1,nonsocial,olka98,1,4
18,B,0,nonsocial,olka98,2,4
86,B,0,nonsocial,olka98,3,4
38,B,1,nonsocial,olka98,0,5
86,B,0,nonsocial,olka98,1,5
18,A,1,nonsocial,olka98,2,5
78,B,1,nonsocial,olka98,3,5
51,A,1,social,olka98,0,0
39,B,1,social,olka98,1,0
41,A,0,social,olka98,2,0
87,A,1,social,olka98,3,0
41,A,0,social,olka98,0,1
39,A,0,social,olka98,1,1
87,A,1,social,olka98,2,1
51,B,0,social,olka98,3,1
39,A,0,social,olka98,0,2
87,A,1,social,olka98,1,2
41,B,1,social,olka98,2,2
51,A,1,social,olka98,3,2
51,A,1,social,olka98,0,3
87,B,0,social,olka98,1,3
39,B,1,social,olka98,2,3
41,A,0,social,olka98,3,3
87,A,0,social,olka98,0,4
51,A,0,social,olka98,1,4
39,B,1,social,olka98,2,4
41,A,0,social,olka98,3,4
87,A,1,social,olka98,0,5
41,B,1,social,olka98,1,5
39,A,0,social,olka98,2,5
51,A,1,social,olka98,3,5
78,A,0,nonsocial,olka98,0,0
86,A,1,nonsocial,olka98,1,0
18,B,0,nonsocial,olka98,2,0
38,B,1,nonsocial,olka98,3,0
38,B,1,nonsocial,olka98,0,1
78,A,0,nonsocial,olka98,1,1
18,B,1,nonsocial,olka98,2,1
86,A,1,nonsocial,olka98,3,1
18,B,0,nonsocial,olka98,0,2
78,A,0,nonsocial,olka98,1,2
86,A,1,nonsocial,olka98,2,2
38,B,1,nonsocial,olka98,3,2
18,A,0,nonsocial,olka98,0,3
78,B,0,nonsocial,olka98,1,3
38,A,0,nonsocial,olka98,2,3
86,B,0,nonsocial,olka98,3,3
18,A,1,nonsocial,olka98,0,4
86,B,1,nonsocial,olka98,1,4
78,A,0,nonsocial,olka98,2,4
38,B,1,nonsocial,olka98,3,4
86,B,0,nonsocial,olka98,0,5
78,A,1,nonsocial,olka98,1,5
18,B,0,nonsocial,olka98,2,5
38,B,0,nonsocial,olka98,3,5
41,A,0,social,olka98,0,0
51,B,0,social,olka98,1,0
39,B,1,social,olka98,2,0
87,A,1,social,olka98,3,0
51,A,1,social,olka98,0,1
39,B,1,social,olka98,1,1
41,B,1,social,olka98,2,1
87,A,0,social,olka98,3,1
51,A,1,social,olka98,0,2
39,B,1,social,olka98,1,2
87,A,1,social,olka98,2,2
41,B,1,social,olka98,3,2
39,A,0,social,olka98,0,3
41,A,0,social,olka98,1,3
87,A,1,social,olka98,2,3
51,A,1,social,olka98,3,3
39,A,0,social,olka98,0,4
87,A,1,social,olka98,1,4
51,A,1,social,olka98,2,4
41,A,0,social,olka98,3,4
41,B,1,social,olka98,0,5
39,B,0,social,olka98,1,5
51,A,0,social,olka98,2,5
87,A,1,social,olka98,3,5
