stim,ParticipantAnswer,Reward,BlockType
92,A,0,nonsocial
92,A,0,nonsocial
92,A,0,nonsocial
92,B,0,nonsocial
92,A,0,nonsocial
92,NA,0,nonsocial
92,A,0,nonsocial
92,B,1,nonsocial
92,B,0,nonsocial
92,A,0,nonsocial
92,A,0,nonsocial
92,A,0,nonsocial
96,B,0,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,A,1,nonsocial
96,B,0,nonsocial
96,A,1,nonsocial
96,A,0,nonsocial
96,B,0,nonsocial
96,A,1,nonsocial
96,B,0,nonsocial
96,A,1,nonsocial
96,B,0,nonsocial
28,B,0,nonsocial
28,A,0,nonsocial
28,B,1,nonsocial
28,A,0,nonsocial
28,B,1,nonsocial
28,A,0,nonsocial
28,B,1,nonsocial
28,B,1,nonsocial
28,B,1,nonsocial
28,B,1,nonsocial
28,B,1,nonsocial
28,B,1,nonsocial
76,B,0,nonsocial
76,A,1,nonsocial
76,A,0,nonsocial
76,B,0,nonsocial
76,A,1,nonsocial
76,A,1,nonsocial
76,B,0,nonsocial
76,A,1,nonsocial
76,B,0,nonsocial
76,A,1,nonsocial
76,A,1,nonsocial
76,B,0,nonsocial
99,A,0,social
99,A,0,social
99,B,1,social
99,B,1,social
99,B,1,social
99,A,1,social
99,A,0,social
99,B,1,social
99,B,0,social
99,B,1,social
99,B,1,social
99,A,0,social
39,B,1,social
39,B,1,social
39,B,0,social
39,A,0,social
39,B,1,social
39,B,1,social
39,B,1,social
39,B,1,social
39,A,0,social
39,A,0,social
39,B,0,social
39,A,0,social
91,A,1,social
91,A,1,social
91,A,1,social
91,B,0,social
91,B,0,social
91,A,1,social
91,A,1,social
91,A,1,social
91,A,1,social
91,A,1,social
91,A,1,social
91,B,0,social
17,A,1,social
17,B,0,social
17,B,0,social
17,B,0,social
17,B,0,social
17,B,1,social
17,A,0,social
17,B,0,social
17,A,1,social
17,B,0,social
17,A,1,social
17,A,1,social
