stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
28,B,1,nonsocial,pavi95,0,0
44,A,1,nonsocial,pavi95,1,0
14,B,0,nonsocial,pavi95,2,0
68,A,1,nonsocial,pavi95,3,0
28,A,0,nonsocial,pavi95,0,1
14,A,1,nonsocial,pavi95,1,1
68,A,1,nonsocial,pavi95,2,1
44,B,1,nonsocial,pavi95,3,1
28,B,1,nonsocial,pavi95,0,2
68,A,1,nonsocial,pavi95,1,2
44,B,0,nonsocial,pavi95,2,2
14,A,1,nonsocial,pavi95,3,2
28,B,0,nonsocial,pavi95,0,3
14,A,1,nonsocial,pavi95,1,3
44,A,0,nonsocial,pavi95,2,3
68,A,1,nonsocial,pavi95,3,3
14,A,1,nonsocial,pavi95,0,4
44,A,0,nonsocial,pavi95,1,4
68,A,1,nonsocial,pavi95,2,4
28,A,1,nonsocial,pavi95,3,4
44,B,1,nonsocial,pavi95,0,5
68,A,1,nonsocial,pavi95,1,5
28,A,0,nonsocial,pavi95,2,5
14,A,1,nonsocial,pavi95,3,5
57,A,1,social,pavi95,0,0
83,B,1,social,pavi95,1,0
63,B,0,social,pavi95,2,0
15,B,0,social,pavi95,3,0
15,A,1,social,pavi95,0,1
63,A,1,social,pavi95,1,1
57,A,0,social,pavi95,2,1
83,B,1,social,pavi95,3,1
57,B,1,social,pavi95,0,2
63,A,1,social,pavi95,1,2
15,A,1,social,pavi95,2,2
83,B,1,social,pavi95,3,2
15,A,1,social,pavi95,0,3
63,B,1,social,pavi95,1,3
83,B,0,social,pavi95,2,3
57,A,0,social,pavi95,3,3
83,B,1,social,pavi95,0,4
63,A,1,social,pavi95,1,4
15,A,1,social,pavi95,2,4
57,A,0,social,pavi95,3,4
63,A,1,social,pavi95,0,5
83,B,1,social,pavi95,1,5
15,B,0,social,pavi95,2,5
57,B,1,social,pavi95,3,5
14,A,1,nonsocial,pavi95,0,0
44,A,1,nonsocial,pavi95,1,0
28,B,1,nonsocial,pavi95,2,0
68,A,0,nonsocial,pavi95,3,0
68,B,0,nonsocial,pavi95,0,1
44,A,0,nonsocial,pavi95,1,1
14,A,0,nonsocial,pavi95,2,1
28,A,0,nonsocial,pavi95,3,1
28,B,1,nonsocial,pavi95,0,2
14,A,1,nonsocial,pavi95,1,2
44,A,0,nonsocial,pavi95,2,2
68,B,1,nonsocial,pavi95,3,2
28,B,0,nonsocial,pavi95,0,3
44,B,1,nonsocial,pavi95,1,3
14,B,0,nonsocial,pavi95,2,3
68,A,1,nonsocial,pavi95,3,3
44,A,0,nonsocial,pavi95,0,4
68,A,1,nonsocial,pavi95,1,4
14,B,0,nonsocial,pavi95,2,4
28,A,0,nonsocial,pavi95,3,4
68,B,0,nonsocial,pavi95,0,5
14,B,0,nonsocial,pavi95,1,5
44,A,0,nonsocial,pavi95,2,5
28,B,1,nonsocial,pavi95,3,5
63,B,0,social,pavi95,0,0
83,A,0,social,pavi95,1,0
57,A,0,social,pavi95,2,0
15,B,0,social,pavi95,3,0
57,A,0,social,pavi95,0,1
63,B,0,social,pavi95,1,1
15,A,0,social,pavi95,2,1
83,A,0,social,pavi95,3,1
83,B,1,social,pavi95,0,2
63,A,1,social,pavi95,1,2
57,B,1,social,pavi95,2,2
15,B,1,social,pavi95,3,2
83,A,0,social,pavi95,0,3
57,B,1,social,pavi95,1,3
63,A,1,social,pavi95,2,3
15,B,0,social,pavi95,3,3
63,A,1,social,pavi95,0,4
57,B,1,social,pavi95,1,4
83,A,0,social,pavi95,2,4
15,B,0,social,pavi95,3,4
57,A,0,social,pavi95,0,5
63,B,0,social,pavi95,1,5
83,A,0,social,pavi95,2,5
15,A,1,social,pavi95,3,5
