stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
40,A,1,nonsocial,piob00,0,0
28,B,1,nonsocial,piob00,1,0
18,A,0,nonsocial,piob00,2,0
26,A,0,nonsocial,piob00,3,0
40,A,1,nonsocial,piob00,0,1
26,B,1,nonsocial,piob00,1,1
18,A,0,nonsocial,piob00,2,1
28,B,1,nonsocial,piob00,3,1
18,A,0,nonsocial,piob00,0,2
40,A,0,nonsocial,piob00,1,2
28,B,0,nonsocial,piob00,2,2
26,A,1,nonsocial,piob00,3,2
28,A,0,nonsocial,piob00,0,3
18,B,1,nonsocial,piob00,1,3
40,A,1,nonsocial,piob00,2,3
26,B,0,nonsocial,piob00,3,3
40,A,0,nonsocial,piob00,0,4
26,B,0,nonsocial,piob00,1,4
28,B,1,nonsocial,piob00,2,4
18,B,1,nonsocial,piob00,3,4
26,A,1,nonsocial,piob00,0,5
40,A,1,nonsocial,piob00,1,5
28,B,1,nonsocial,piob00,2,5
18,B,0,nonsocial,piob00,3,5
63,A,1,social,piob00,0,0
25,A,0,social,piob00,1,0
71,B,0,social,piob00,2,0
77,A,1,social,piob00,3,0
77,A,1,social,piob00,0,1
71,B,0,social,piob00,1,1
63,B,1,social,piob00,2,1
25,B,0,social,piob00,3,1
77,A,1,social,piob00,0,2
25,B,1,social,piob00,1,2
63,B,1,social,piob00,2,2
71,A,1,social,piob00,3,2
25,B,1,social,piob00,0,3
63,B,0,social,piob00,1,3
71,A,1,social,piob00,2,3
77,A,1,social,piob00,3,3
71,A,1,social,piob00,0,4
63,B,1,social,piob00,1,4
25,B,0,social,piob00,2,4
77,A,0,social,piob00,3,4
77,A,1,social,piob00,0,5
71,A,1,social,piob00,1,5
63,B,1,social,piob00,2,5
25,B,1,social,piob00,3,5
28,B,1,nonsocial,piob00,0,0
26,A,1,nonsocial,piob00,1,0
18,B,1,nonsocial,piob00,2,0
40,A,1,nonsocial,piob00,3,0
26,A,0,nonsocial,piob00,0,1
18,B,0,nonsocial,piob00,1,1
40,A,1,nonsocial,piob00,2,1
28,B,1,nonsocial,piob00,3,1
18,B,1,nonsocial,piob00,0,2
26,A,1,nonsocial,piob00,1,2
28,B,1,nonsocial,piob00,2,2
40,A,0,nonsocial,piob00,3,2
18,B,1,nonsocial,piob00,0,3
40,A,1,nonsocial,piob00,1,3
26,A,1,nonsocial,piob00,2,3
28,B,1,nonsocial,piob00,3,3
26,A,1,nonsocial,piob00,0,4
28,B,1,nonsocial,piob00,1,4
40,A,0,nonsocial,piob00,2,4
18,B,0,nonsocial,piob00,3,4
18,B,1,nonsocial,piob00,0,5
26,A,1,nonsocial,piob00,1,5
40,A,1,nonsocial,piob00,2,5
28,B,1,nonsocial,piob00,3,5
63,B,1,social,piob00,0,0
25,B,1,social,piob00,1,0
77,A,1,social,piob00,2,0
71,A,1,social,piob00,3,0
63,B,1,social,piob00,0,1
71,A,1,social,piob00,1,1
77,A,1,social,piob00,2,1
25,B,1,social,piob00,3,1
63,B,1,social,piob00,0,2
77,A,1,social,piob00,1,2
25,B,0,social,piob00,2,2
71,A,1,social,piob00,3,2
77,A,1,social,piob00,0,3
25,B,1,social,piob00,1,3
63,B,1,social,piob00,2,3
71,A,1,social,piob00,3,3
71,A,1,social,piob00,0,4
25,B,1,social,piob00,1,4
77,A,1,social,piob00,2,4
63,B,0,social,piob00,3,4
63,B,1,social,piob00,0,5
77,A,1,social,piob00,1,5
71,A,1,social,piob00,2,5
25,B,1,social,piob00,3,5
