stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
68,A,0,social,thha00,0,0
66,A,1,social,thha00,1,0
28,B,0,social,thha00,2,0
82,A,1,social,thha00,3,0
68,B,1,social,thha00,0,1
66,A,0,social,thha00,1,1
28,B,0,social,thha00,2,1
82,B,0,social,thha00,3,1
28,A,1,social,thha00,0,2
66,B,1,social,thha00,1,2
82,B,0,social,thha00,2,2
68,B,1,social,thha00,3,2
82,,0,social,thha00,0,3
28,B,0,social,thha00,1,3
66,A,0,social,thha00,2,3
68,A,1,social,thha00,3,3
82,A,1,social,thha00,0,4
68,B,1,social,thha00,1,4
66,A,0,social,thha00,2,4
28,B,0,social,thha00,3,4
66,A,0,social,thha00,0,5
28,A,1,social,thha00,1,5
82,A,0,social,thha00,2,5
68,B,1,social,thha00,3,5
51,A,1,nonsocial,thha00,0,0
89,A,0,nonsocial,thha00,1,0
27,A,1,nonsocial,thha00,2,0
21,A,1,nonsocial,thha00,3,0
89,B,0,nonsocial,thha00,0,1
51,A,1,nonsocial,thha00,1,1
27,A,1,nonsocial,thha00,2,1
21,A,0,nonsocial,thha00,3,1
27,A,1,nonsocial,thha00,0,2
51,A,1,nonsocial,thha00,1,2
89,B,1,nonsocial,thha00,2,2
21,A,1,nonsocial,thha00,3,2
27,A,1,nonsocial,thha00,0,3
21,A,0,nonsocial,thha00,1,3
51,A,0,nonsocial,thha00,2,3
89,B,1,nonsocial,thha00,3,3
27,A,1,nonsocial,thha00,0,4
21,A,0,nonsocial,thha00,1,4
51,A,1,nonsocial,thha00,2,4
89,B,0,nonsocial,thha00,3,4
89,B,1,nonsocial,thha00,0,5
21,B,1,nonsocial,thha00,1,5
51,A,1,nonsocial,thha00,2,5
27,A,1,nonsocial,thha00,3,5
66,A,0,social,thha00,0,0
68,A,0,social,thha00,1,0
28,A,1,social,thha00,2,0
82,A,0,social,thha00,3,0
66,B,0,social,thha00,0,1
28,A,1,social,thha00,1,1
82,B,0,social,thha00,2,1
68,B,1,social,thha00,3,1
68,B,1,social,thha00,0,2
82,B,0,social,thha00,1,2
28,A,1,social,thha00,2,2
66,A,0,social,thha00,3,2
66,B,1,social,thha00,0,3
82,A,1,social,thha00,1,3
68,B,1,social,thha00,2,3
28,A,1,social,thha00,3,3
66,B,0,social,thha00,0,4
68,B,1,social,thha00,1,4
82,A,1,social,thha00,2,4
28,A,1,social,thha00,3,4
28,A,1,social,thha00,0,5
68,B,1,social,thha00,1,5
82,A,1,social,thha00,2,5
66,B,1,social,thha00,3,5
89,B,1,nonsocial,thha00,0,0
51,A,0,nonsocial,thha00,1,0
21,A,0,nonsocial,thha00,2,0
27,A,1,nonsocial,thha00,3,0
27,A,1,nonsocial,thha00,0,1
21,A,1,nonsocial,thha00,1,1
89,B,1,nonsocial,thha00,2,1
51,A,1,nonsocial,thha00,3,1
27,A,0,nonsocial,thha00,0,2
21,A,0,nonsocial,thha00,1,2
89,B,1,nonsocial,thha00,2,2
51,A,1,nonsocial,thha00,3,2
89,B,1,nonsocial,thha00,0,3
21,A,0,nonsocial,thha00,1,3
27,A,1,nonsocial,thha00,2,3
51,A,1,nonsocial,thha00,3,3
51,A,1,nonsocial,thha00,0,4
89,B,1,nonsocial,thha00,1,4
27,A,1,nonsocial,thha00,2,4
21,A,1,nonsocial,thha00,3,4
89,B,1,nonsocial,thha00,0,5
27,B,0,nonsocial,thha00,1,5
21,A,0,nonsocial,thha00,2,5
51,A,1,nonsocial,thha00,3,5
