stim,ParticipantAnswer,Reward,BlockType
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,1,social
58,A,0,social
58,B,1,social
58,B,1,social
58,B,1,social
58,B,0,social
58,B,1,social
58,A,0,social
94,B,0,social
94,B,1,social
94,B,0,social
94,A,1,social
94,A,1,social
94,A,1,social
94,A,1,social
94,A,0,social
94,A,1,social
94,A,1,social
94,A,1,social
94,B,0,social
30,A,1,social
30,B,0,social
30,A,1,social
30,A,1,social
30,A,1,social
30,A,1,social
30,B,0,social
30,A,1,social
30,A,1,social
30,A,1,social
30,A,0,social
30,A,1,social
14,A,0,social
14,A,0,social
14,A,0,social
14,NA,0,social
14,A,1,social
14,A,0,social
14,A,0,social
14,A,0,social
14,B,0,social
14,A,0,social
14,B,1,social
14,B,1,social
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,1,nonsocial
95,A,0,nonsocial
95,A,1,nonsocial
95,A,0,nonsocial
95,A,1,nonsocial
51,A,1,nonsocial
51,A,0,nonsocial
51,B,1,nonsocial
51,B,0,nonsocial
51,B,0,nonsocial
51,A,1,nonsocial
51,B,0,nonsocial
51,A,1,nonsocial
51,A,1,nonsocial
51,B,0,nonsocial
51,B,0,nonsocial
51,A,1,nonsocial
45,NA,0,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,B,0,nonsocial
45,A,0,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,B,1,nonsocial
45,A,0,nonsocial
45,B,1,nonsocial
19,A,0,nonsocial
19,B,1,nonsocial
19,B,1,nonsocial
19,B,1,nonsocial
19,B,1,nonsocial
19,B,1,nonsocial
19,A,0,nonsocial
19,A,0,nonsocial
19,B,1,nonsocial
19,A,0,nonsocial
19,B,1,nonsocial
19,A,0,nonsocial
