stim,ParticipantAnswer,Reward,BlockType
10,B,1,social
10,A,0,social
10,B,1,social
10,B,1,social
10,B,1,social
10,B,1,social
10,A,0,social
10,B,1,social
10,B,1,social
10,B,1,social
10,B,1,social
10,B,0,social
94,A,1,social
94,B,0,social
94,A,0,social
94,B,0,social
94,A,1,social
94,B,0,social
94,A,1,social
94,A,1,social
94,A,1,social
94,A,0,social
94,A,0,social
94,A,1,social
50,A,0,social
50,B,1,social
50,B,1,social
50,B,1,social
50,B,1,social
50,B,1,social
50,B,1,social
50,A,0,social
50,B,1,social
50,B,1,social
50,B,0,social
50,B,1,social
92,B,0,social
92,B,0,social
92,A,0,social
92,B,0,social
92,A,1,social
92,A,1,social
92,A,1,social
92,A,1,social
92,A,1,social
92,A,1,social
92,A,1,social
92,A,1,social
41,A,1,nonsocial
41,B,1,nonsocial
41,B,0,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,1,nonsocial
41,A,0,nonsocial
41,A,1,nonsocial
47,B,1,nonsocial
47,A,0,nonsocial
47,B,0,nonsocial
47,A,0,nonsocial
47,B,1,nonsocial
47,B,1,nonsocial
47,B,1,nonsocial
47,B,1,nonsocial
47,B,1,nonsocial
47,B,1,nonsocial
47,B,0,nonsocial
47,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,0,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
55,B,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,0,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,1,nonsocial
13,A,0,nonsocial
