stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
16,A,0,nonsocial,yach03,0,0
60,A,1,nonsocial,yach03,1,0
22,B,0,nonsocial,yach03,2,0
94,B,1,nonsocial,yach03,3,0
22,,1,nonsocial,yach03,0,1
16,B,1,nonsocial,yach03,1,1
60,A,1,nonsocial,yach03,2,1
94,A,0,nonsocial,yach03,3,1
94,A,0,nonsocial,yach03,0,2
60,A,1,nonsocial,yach03,1,2
16,B,1,nonsocial,yach03,2,2
22,A,1,nonsocial,yach03,3,2
16,B,1,nonsocial,yach03,0,3
60,A,1,nonsocial,yach03,1,3
22,A,0,nonsocial,yach03,2,3
94,B,1,nonsocial,yach03,3,3
22,A,1,nonsocial,yach03,0,4
60,A,1,nonsocial,yach03,1,4
16,B,1,nonsocial,yach03,2,4
94,B,0,nonsocial,yach03,3,4
94,A,0,nonsocial,yach03,0,5
60,A,1,nonsocial,yach03,1,5
16,B,1,nonsocial,yach03,2,5
22,A,1,nonsocial,yach03,3,5
69,A,0,social,yach03,0,0
99,A,1,social,yach03,1,0
23,B,1,social,yach03,2,0
67,A,1,social,yach03,3,0
99,B,0,social,yach03,0,1
23,A,0,social,yach03,1,1
67,B,0,social,yach03,2,1
69,B,1,social,yach03,3,1
23,A,0,social,yach03,0,2
69,A,0,social,yach03,1,2
67,B,1,social,yach03,2,2
99,B,0,social,yach03,3,2
67,A,1,social,yach03,0,3
23,B,1,social,yach03,1,3
69,A,1,social,yach03,2,3
99,A,1,social,yach03,3,3
23,A,0,social,yach03,0,4
69,B,1,social,yach03,1,4
99,B,0,social,yach03,2,4
67,B,0,social,yach03,3,4
99,B,0,social,yach03,0,5
69,B,0,social,yach03,1,5
67,B,1,social,yach03,2,5
23,A,0,social,yach03,3,5
22,A,0,nonsocial,yach03,0,0
16,A,0,nonsocial,yach03,1,0
60,B,0,nonsocial,yach03,2,0
94,A,0,nonsocial,yach03,3,0
94,B,1,nonsocial,yach03,0,1
60,A,0,nonsocial,yach03,1,1
22,B,0,nonsocial,yach03,2,1
16,B,0,nonsocial,yach03,3,1
22,B,0,nonsocial,yach03,0,2
94,,0,nonsocial,yach03,1,2
16,B,0,nonsocial,yach03,2,2
60,A,1,nonsocial,yach03,3,2
22,B,0,nonsocial,yach03,0,3
16,B,1,nonsocial,yach03,1,3
94,B,1,nonsocial,yach03,2,3
60,A,1,nonsocial,yach03,3,3
16,B,0,nonsocial,yach03,0,4
22,B,0,nonsocial,yach03,1,4
60,A,1,nonsocial,yach03,2,4
94,B,1,nonsocial,yach03,3,4
16,B,0,nonsocial,yach03,0,5
94,B,1,nonsocial,yach03,1,5
22,B,1,nonsocial,yach03,2,5
60,A,0,nonsocial,yach03,3,5
23,B,1,social,yach03,0,0
67,B,0,social,yach03,1,0
99,B,0,social,yach03,2,0
69,B,1,social,yach03,3,0
69,A,0,social,yach03,0,1
23,A,0,social,yach03,1,1
99,A,1,social,yach03,2,1
67,A,1,social,yach03,3,1
99,A,1,social,yach03,0,2
23,A,0,social,yach03,1,2
69,A,0,social,yach03,2,2
67,A,1,social,yach03,3,2
69,A,1,social,yach03,0,3
23,A,0,social,yach03,1,3
67,A,0,social,yach03,2,3
99,A,1,social,yach03,3,3
67,B,0,social,yach03,0,4
69,A,0,social,yach03,1,4
23,A,0,social,yach03,2,4
99,A,1,social,yach03,3,4
99,A,1,social,yach03,0,5
67,B,0,social,yach03,1,5
23,B,1,social,yach03,2,5
69,A,0,social,yach03,3,5
