left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,38,,0,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,left,0,0,1,1,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,0.9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,right,0,0,2,2,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,4.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,right,0,0,3,3,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,3.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,right,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,2.7623,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,right,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,4.6547,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,right,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,3.6745,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,right,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,5.5837,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,,,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""B"",""A""]]",No,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,38,left,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,1.2762,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""B"",""A""]]",No,0,1,1,3,1,B,,,,,,,,,,,,,,,,,,,,,
A,B,91,right,0,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,2.3776,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""B"",""A""]]",Yes,0,2,2,2,1,B,,,,,,,,,,,,,,,,,,,,,
A,B,99,left,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,3.2948,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""B"",""A""]]",Yes,0,3,3,0,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,28,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,5.5528,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,34,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,2.2278,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,84,,,,,,,,,,,,,leal92,001,2022-04-22_15h10.50.473,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,0.6427,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
