left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,ParticipantAnswer,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,99,,0,0,0,0,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,,0,0,1,1,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,0,0,2,2,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,0,0,3,3,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""A"",""B""]]",No,0,0,0,3,1,B,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""A"",""B""]]",No,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,,,
B,A,99,,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""A"",""B""]]",No,0,2,2,0,1,A,,,,,,,,,,,,,,,,,,,,,,
B,A,91,,0,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""A"",""B"",""B""],[""A"",""B"",""A"",""B""]]",No,0,3,3,2,1,B,,,,,,,,,,,,,,,,,,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.5722,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.7257,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,left,0,0.5344,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.3842,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,1.3722,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.5685,Incongruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5077,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.3258,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.4902,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.3105,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.3368,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.3472,Incongruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,1.148,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.4485,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.5174,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.3283,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.1346,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.4736,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.0699,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.4014,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
A,B,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.4507,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.3367,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.5873,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,1.6802,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
B,A,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.6624,Incongruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.341,Incongruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5248,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.2998,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.7782,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.4304,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.423,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.9131,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.5609,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5015,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.4888,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,left,0,0.4385,Incongruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,1.1251,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,1.0596,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
A,B,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.332,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
A,B,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.3656,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.5874,Incongruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.385,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,left,0,0.5079,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.3019,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
