left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,38,,0,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,right,0,0,1,1,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,2.7023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,left,0,0,2,2,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,0.7764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,right,0,0,3,3,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,1.0416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,left,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,4.4264,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,right,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,2.009,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,,,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,left,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,1.1314,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,right,0,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,B,1.9484,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,0,0,2,1,B,,,,,,,,,,,,,,,,,,,,,
A,B,38,left,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,2.8828,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,99,left,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,sasu98,001,2022-05-31_13h29.49.994,RALT_PLD,2020.2.10,Win32,60,A,1.6743,,,,,,"[[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,2,2,0,1,A,,,,,,,,,,,,,,,,,,,,,
