left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,38,,0,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,,0,0,1,1,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,99,,0,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,0,0,3,3,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,right,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,1.0363,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,right,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,1.3469,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,right,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,0.9846,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,left,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,1.5198,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,1.3502,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""A"",""B"",""A""]]",No,0,0,0,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,1.0872,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""A"",""B"",""A""]]",Yes,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,91,left,0,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,0.8687,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""A"",""B"",""A""]]",Yes,0,2,2,2,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,99,left,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,1.0186,,,,,,"[[""A"",""A"",""B"",""B""],[""B"",""A"",""B"",""A""]]",No,0,3,3,0,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,0.8498,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
B,A,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,1.2695,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,1.1722,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
B,A,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,0.7299,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,1.8708,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,B,No,,,,,,,right,0,1.5765,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.3456,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,0.7636,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,1.557,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,1.1497,Incongruent,0,social,1,0,1,0,1,,,,,,,,,,
A,B,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,0.6187,Incongruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,1.0796,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
B,A,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,1.5763,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.8328,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.4761,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,1.4169,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,0.8271,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,1.0244,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,right,0,2.6406,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
A,B,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,left,0,0.6499,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,10,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.2316,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
B,A,50,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,B,Yes,,,,,,,left,0,1.7794,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,92,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,A,,,,,,,A,Yes,,,,,,,right,0,1.4433,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,94,,,,,,,,,,,,,vima01,001,2022-04-26_14h00.52.731,RALT_PLD,2020.2.10,Win32,60,B,,,,,,,A,No,,,,,,,left,0,1.0808,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
