stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
52,A,A,1,True,social,alka88,0,0,0.0
12,A,B,0,False,social,alka88,1,0,0.0
38,B,B,1,True,social,alka88,2,0,0.0
66,B,A,1,False,social,alka88,3,0,0.0
12,B,B,1,True,social,alka88,0,1,0.0
52,A,A,0,True,social,alka88,1,1,0.0
66,B,A,0,False,social,alka88,2,1,0.0
38,B,B,1,True,social,alka88,3,1,0.0
52,A,A,1,True,social,alka88,0,2,0.0
38,B,B,1,True,social,alka88,1,2,0.0
12,A,B,0,False,social,alka88,2,2,0.0
66,B,A,0,False,social,alka88,3,2,0.0
12,A,B,0,False,social,alka88,0,3,0.0
66,A,A,0,True,social,alka88,1,3,0.0
38,B,B,1,True,social,alka88,2,3,0.0
52,A,A,1,True,social,alka88,3,3,0.0
12,B,B,1,True,social,alka88,0,4,0.0
38,B,B,1,True,social,alka88,1,4,0.0
66,B,A,0,False,social,alka88,2,4,0.0
52,B,A,0,False,social,alka88,3,4,0.0
12,B,B,1,True,social,alka88,0,5,0.0
66,A,A,1,True,social,alka88,1,5,0.0
52,A,A,1,True,social,alka88,2,5,0.0
38,B,B,1,True,social,alka88,3,5,0.0
93,A,B,0,False,nonsocial,alka88,0,0,1.0
21,B,A,0,False,nonsocial,alka88,1,0,1.0
43,B,A,0,False,nonsocial,alka88,2,0,1.0
59,B,B,1,True,nonsocial,alka88,3,0,1.0
59,B,B,1,True,nonsocial,alka88,0,1,1.0
93,B,B,1,True,nonsocial,alka88,1,1,1.0
21,A,A,1,True,nonsocial,alka88,2,1,1.0
43,B,A,0,False,nonsocial,alka88,3,1,1.0
43,A,A,0,True,nonsocial,alka88,0,2,1.0
59,B,B,1,True,nonsocial,alka88,1,2,1.0
93,B,B,1,True,nonsocial,alka88,2,2,1.0
21,A,A,1,True,nonsocial,alka88,3,2,1.0
59,B,B,1,True,nonsocial,alka88,0,3,1.0
21,A,A,1,True,nonsocial,alka88,1,3,1.0
43,A,A,1,True,nonsocial,alka88,2,3,1.0
93,B,B,1,True,nonsocial,alka88,3,3,1.0
59,B,B,1,True,nonsocial,alka88,0,4,1.0
93,B,B,1,True,nonsocial,alka88,1,4,1.0
43,A,A,0,True,nonsocial,alka88,2,4,1.0
21,A,A,1,True,nonsocial,alka88,3,4,1.0
93,B,B,1,True,nonsocial,alka88,0,5,1.0
59,B,B,1,True,nonsocial,alka88,1,5,1.0
21,A,A,1,True,nonsocial,alka88,2,5,1.0
43,B,A,0,False,nonsocial,alka88,3,5,1.0
12,A,B,0,False,social,alka88,0,0,2.0
52,B,A,1,False,social,alka88,1,0,2.0
66,B,A,0,False,social,alka88,2,0,2.0
38,B,B,1,True,social,alka88,3,0,2.0
66,A,A,1,True,social,alka88,0,1,2.0
52,B,A,0,False,social,alka88,1,1,2.0
12,B,B,0,True,social,alka88,2,1,2.0
38,A,B,0,False,social,alka88,3,1,2.0
52,A,A,1,True,social,alka88,0,2,2.0
66,A,A,1,True,social,alka88,1,2,2.0
38,B,B,1,True,social,alka88,2,2,2.0
12,B,B,1,True,social,alka88,3,2,2.0
52,B,A,1,False,social,alka88,0,3,2.0
38,B,B,0,True,social,alka88,1,3,2.0
12,B,B,1,True,social,alka88,2,3,2.0
66,A,A,1,True,social,alka88,3,3,2.0
52,B,A,0,False,social,alka88,0,4,2.0
38,B,B,1,True,social,alka88,1,4,2.0
12,B,B,1,True,social,alka88,2,4,2.0
66,A,A,0,True,social,alka88,3,4,2.0
12,B,B,1,True,social,alka88,0,5,2.0
66,A,A,0,True,social,alka88,1,5,2.0
38,A,B,0,False,social,alka88,2,5,2.0
52,A,A,0,True,social,alka88,3,5,2.0
93,B,B,0,True,nonsocial,alka88,0,0,3.0
59,B,B,1,True,nonsocial,alka88,1,0,3.0
43,B,A,0,False,nonsocial,alka88,2,0,3.0
21,A,A,1,True,nonsocial,alka88,3,0,3.0
59,B,B,1,True,nonsocial,alka88,0,1,3.0
93,A,B,0,False,nonsocial,alka88,1,1,3.0
21,B,A,0,False,nonsocial,alka88,2,1,3.0
43,A,A,1,True,nonsocial,alka88,3,1,3.0
21,A,A,0,True,nonsocial,alka88,0,2,3.0
93,A,B,0,False,nonsocial,alka88,1,2,3.0
43,A,A,1,True,nonsocial,alka88,2,2,3.0
59,B,B,1,True,nonsocial,alka88,3,2,3.0
43,A,A,1,True,nonsocial,alka88,0,3,3.0
93,A,B,0,False,nonsocial,alka88,1,3,3.0
59,B,B,0,True,nonsocial,alka88,2,3,3.0
21,A,A,1,True,nonsocial,alka88,3,3,3.0
93,B,B,1,True,nonsocial,alka88,0,4,3.0
43,A,A,1,True,nonsocial,alka88,1,4,3.0
21,A,A,0,True,nonsocial,alka88,2,4,3.0
59,B,B,1,True,nonsocial,alka88,3,4,3.0
59,B,B,1,True,nonsocial,alka88,0,5,3.0
21,B,A,0,False,nonsocial,alka88,1,5,3.0
43,A,A,1,True,nonsocial,alka88,2,5,3.0
93,B,B,0,True,nonsocial,alka88,3,5,3.0
