stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
76,B,A,0,False,social,alsp92,0,0,0.0
94,B,B,1,True,social,alsp92,1,0,0.0
26,B,B,1,True,social,alsp92,2,0,0.0
68,B,A,0,False,social,alsp92,3,0,0.0
76,B,A,0,False,social,alsp92,0,1,0.0
26,A,B,0,False,social,alsp92,1,1,0.0
68,B,A,0,False,social,alsp92,2,1,0.0
94,A,B,0,False,social,alsp92,3,1,0.0
26,A,B,1,False,social,alsp92,0,2,0.0
68,A,A,1,True,social,alsp92,1,2,0.0
94,A,B,0,False,social,alsp92,2,2,0.0
76,B,A,0,False,social,alsp92,3,2,0.0
76,B,A,0,False,social,alsp92,0,3,0.0
94,A,B,0,False,social,alsp92,1,3,0.0
68,A,A,1,True,social,alsp92,2,3,0.0
26,A,B,0,False,social,alsp92,3,3,0.0
76,A,A,1,True,social,alsp92,0,4,0.0
68,A,A,1,True,social,alsp92,1,4,0.0
94,A,B,0,False,social,alsp92,2,4,0.0
26,A,B,0,False,social,alsp92,3,4,0.0
76,B,A,0,False,social,alsp92,0,5,0.0
68,A,A,1,True,social,alsp92,1,5,0.0
94,A,B,0,False,social,alsp92,2,5,0.0
26,B,B,1,True,social,alsp92,3,5,0.0
23,A,B,0,False,nonsocial,alsp92,0,0,1.0
37,A,A,1,True,nonsocial,alsp92,1,0,1.0
71,A,A,1,True,nonsocial,alsp92,2,0,1.0
81,A,B,0,False,nonsocial,alsp92,3,0,1.0
71,B,A,0,False,nonsocial,alsp92,0,1,1.0
23,B,B,1,True,nonsocial,alsp92,1,1,1.0
81,B,B,1,True,nonsocial,alsp92,2,1,1.0
37,A,A,1,True,nonsocial,alsp92,3,1,1.0
71,,A,0,False,nonsocial,alsp92,0,2,1.0
37,B,A,0,False,nonsocial,alsp92,1,2,1.0
23,B,B,1,True,nonsocial,alsp92,2,2,1.0
81,B,B,1,True,nonsocial,alsp92,3,2,1.0
71,A,A,1,True,nonsocial,alsp92,0,3,1.0
37,A,A,1,True,nonsocial,alsp92,1,3,1.0
23,B,B,1,True,nonsocial,alsp92,2,3,1.0
81,B,B,1,True,nonsocial,alsp92,3,3,1.0
71,A,A,1,True,nonsocial,alsp92,0,4,1.0
37,A,A,1,True,nonsocial,alsp92,1,4,1.0
23,B,B,1,True,nonsocial,alsp92,2,4,1.0
81,B,B,1,True,nonsocial,alsp92,3,4,1.0
81,B,B,1,True,nonsocial,alsp92,0,5,1.0
37,A,A,1,True,nonsocial,alsp92,1,5,1.0
23,B,B,1,True,nonsocial,alsp92,2,5,1.0
71,A,A,0,True,nonsocial,alsp92,3,5,1.0
94,A,B,1,False,social,alsp92,0,0,2.0
76,A,A,0,True,social,alsp92,1,0,2.0
26,A,B,0,False,social,alsp92,2,0,2.0
68,A,A,1,True,social,alsp92,3,0,2.0
76,B,A,1,False,social,alsp92,0,1,2.0
26,B,B,1,True,social,alsp92,1,1,2.0
94,A,B,0,False,social,alsp92,2,1,2.0
68,A,A,0,True,social,alsp92,3,1,2.0
76,B,A,1,False,social,alsp92,0,2,2.0
68,A,A,1,True,social,alsp92,1,2,2.0
26,B,B,1,True,social,alsp92,2,2,2.0
94,A,B,0,False,social,alsp92,3,2,2.0
26,B,B,1,True,social,alsp92,0,3,2.0
76,B,A,0,False,social,alsp92,1,3,2.0
68,A,A,1,True,social,alsp92,2,3,2.0
94,A,B,0,False,social,alsp92,3,3,2.0
94,A,B,0,False,social,alsp92,0,4,2.0
76,B,A,0,False,social,alsp92,1,4,2.0
68,A,A,1,True,social,alsp92,2,4,2.0
26,B,B,1,True,social,alsp92,3,4,2.0
26,A,B,0,False,social,alsp92,0,5,2.0
68,A,A,1,True,social,alsp92,1,5,2.0
94,B,B,1,True,social,alsp92,2,5,2.0
76,A,A,1,True,social,alsp92,3,5,2.0
71,B,A,0,False,nonsocial,alsp92,0,0,3.0
81,B,B,1,True,nonsocial,alsp92,1,0,3.0
23,A,B,0,False,nonsocial,alsp92,2,0,3.0
37,A,A,1,True,nonsocial,alsp92,3,0,3.0
23,B,B,1,True,nonsocial,alsp92,0,1,3.0
71,B,A,0,False,nonsocial,alsp92,1,1,3.0
81,B,B,1,True,nonsocial,alsp92,2,1,3.0
37,B,A,0,False,nonsocial,alsp92,3,1,3.0
37,A,A,1,True,nonsocial,alsp92,0,2,3.0
71,A,A,1,True,nonsocial,alsp92,1,2,3.0
23,A,B,1,False,nonsocial,alsp92,2,2,3.0
81,B,B,1,True,nonsocial,alsp92,3,2,3.0
81,B,B,1,True,nonsocial,alsp92,0,3,3.0
71,A,A,1,True,nonsocial,alsp92,1,3,3.0
23,A,B,0,False,nonsocial,alsp92,2,3,3.0
37,A,A,0,True,nonsocial,alsp92,3,3,3.0
37,B,A,0,False,nonsocial,alsp92,0,4,3.0
23,A,B,1,False,nonsocial,alsp92,1,4,3.0
71,A,A,1,True,nonsocial,alsp92,2,4,3.0
81,B,B,1,True,nonsocial,alsp92,3,4,3.0
37,A,A,1,True,nonsocial,alsp92,0,5,3.0
71,A,A,1,True,nonsocial,alsp92,1,5,3.0
81,B,B,1,True,nonsocial,alsp92,2,5,3.0
23,A,B,0,False,nonsocial,alsp92,3,5,3.0
