stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
48,A,A,1,True,social,anfi01,0,0,0.0
58,B,B,1,True,social,anfi01,1,0,0.0
34,A,B,0,False,social,anfi01,2,0,0.0
14,B,A,0,False,social,anfi01,3,0,0.0
48,A,A,1,True,social,anfi01,0,1,0.0
34,B,B,1,True,social,anfi01,1,1,0.0
14,A,A,1,True,social,anfi01,2,1,0.0
58,B,B,1,True,social,anfi01,3,1,0.0
48,A,A,0,True,social,anfi01,0,2,0.0
58,B,B,1,True,social,anfi01,1,2,0.0
14,A,A,1,True,social,anfi01,2,2,0.0
34,B,B,1,True,social,anfi01,3,2,0.0
48,A,A,1,True,social,anfi01,0,3,0.0
34,B,B,1,True,social,anfi01,1,3,0.0
14,A,A,0,True,social,anfi01,2,3,0.0
58,B,B,0,True,social,anfi01,3,3,0.0
48,A,A,1,True,social,anfi01,0,4,0.0
14,A,A,1,True,social,anfi01,1,4,0.0
58,B,B,1,True,social,anfi01,2,4,0.0
34,B,B,1,True,social,anfi01,3,4,0.0
14,A,A,1,True,social,anfi01,0,5,0.0
58,B,B,1,True,social,anfi01,1,5,0.0
48,A,A,1,True,social,anfi01,2,5,0.0
34,B,B,1,True,social,anfi01,3,5,0.0
43,A,B,0,False,nonsocial,anfi01,0,0,1.0
59,B,A,0,False,nonsocial,anfi01,1,0,1.0
57,B,A,0,False,nonsocial,anfi01,2,0,1.0
11,B,B,1,True,nonsocial,anfi01,3,0,1.0
43,B,B,1,True,nonsocial,anfi01,0,1,1.0
57,B,A,0,False,nonsocial,anfi01,1,1,1.0
59,B,A,0,False,nonsocial,anfi01,2,1,1.0
11,B,B,0,True,nonsocial,anfi01,3,1,1.0
57,,A,0,False,nonsocial,anfi01,0,2,1.0
43,A,B,0,False,nonsocial,anfi01,1,2,1.0
11,B,B,0,True,nonsocial,anfi01,2,2,1.0
59,A,A,1,True,nonsocial,anfi01,3,2,1.0
57,A,A,1,True,nonsocial,anfi01,0,3,1.0
11,B,B,1,True,nonsocial,anfi01,1,3,1.0
59,A,A,1,True,nonsocial,anfi01,2,3,1.0
43,B,B,1,True,nonsocial,anfi01,3,3,1.0
59,A,A,1,True,nonsocial,anfi01,0,4,1.0
43,B,B,1,True,nonsocial,anfi01,1,4,1.0
11,B,B,1,True,nonsocial,anfi01,2,4,1.0
57,A,A,1,True,nonsocial,anfi01,3,4,1.0
43,A,B,0,False,nonsocial,anfi01,0,5,1.0
11,B,B,1,True,nonsocial,anfi01,1,5,1.0
57,A,A,1,True,nonsocial,anfi01,2,5,1.0
59,A,A,1,True,nonsocial,anfi01,3,5,1.0
34,B,B,1,True,social,anfi01,0,0,2.0
48,A,A,1,True,social,anfi01,1,0,2.0
58,B,B,1,True,social,anfi01,2,0,2.0
14,A,A,0,True,social,anfi01,3,0,2.0
14,A,A,1,True,social,anfi01,0,1,2.0
34,B,B,1,True,social,anfi01,1,1,2.0
58,B,B,1,True,social,anfi01,2,1,2.0
48,A,A,1,True,social,anfi01,3,1,2.0
14,A,A,1,True,social,anfi01,0,2,2.0
48,A,A,1,True,social,anfi01,1,2,2.0
34,B,B,1,True,social,anfi01,2,2,2.0
58,B,B,1,True,social,anfi01,3,2,2.0
34,B,B,1,True,social,anfi01,0,3,2.0
58,B,B,1,True,social,anfi01,1,3,2.0
14,A,A,1,True,social,anfi01,2,3,2.0
48,A,A,1,True,social,anfi01,3,3,2.0
14,A,A,1,True,social,anfi01,0,4,2.0
34,B,B,1,True,social,anfi01,1,4,2.0
48,A,A,1,True,social,anfi01,2,4,2.0
58,B,B,1,True,social,anfi01,3,4,2.0
34,B,B,1,True,social,anfi01,0,5,2.0
48,A,A,1,True,social,anfi01,1,5,2.0
58,B,B,1,True,social,anfi01,2,5,2.0
14,A,A,1,True,social,anfi01,3,5,2.0
11,A,B,1,False,nonsocial,anfi01,0,0,3.0
43,A,B,1,False,nonsocial,anfi01,1,0,3.0
57,B,A,0,False,nonsocial,anfi01,2,0,3.0
59,B,A,0,False,nonsocial,anfi01,3,0,3.0
43,A,B,0,False,nonsocial,anfi01,0,1,3.0
57,A,A,1,True,nonsocial,anfi01,1,1,3.0
11,B,B,0,True,nonsocial,anfi01,2,1,3.0
59,A,A,1,True,nonsocial,anfi01,3,1,3.0
43,B,B,1,True,nonsocial,anfi01,0,2,3.0
11,B,B,1,True,nonsocial,anfi01,1,2,3.0
59,A,A,1,True,nonsocial,anfi01,2,2,3.0
57,A,A,0,True,nonsocial,anfi01,3,2,3.0
11,B,B,1,True,nonsocial,anfi01,0,3,3.0
59,A,A,1,True,nonsocial,anfi01,1,3,3.0
57,A,A,1,True,nonsocial,anfi01,2,3,3.0
43,B,B,1,True,nonsocial,anfi01,3,3,3.0
57,A,A,1,True,nonsocial,anfi01,0,4,3.0
59,A,A,1,True,nonsocial,anfi01,1,4,3.0
43,B,B,0,True,nonsocial,anfi01,2,4,3.0
11,B,B,1,True,nonsocial,anfi01,3,4,3.0
11,B,B,1,True,nonsocial,anfi01,0,5,3.0
59,A,A,0,True,nonsocial,anfi01,1,5,3.0
57,A,A,1,True,nonsocial,anfi01,2,5,3.0
43,B,B,1,True,nonsocial,anfi01,3,5,3.0
