stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
54,B,B,1,True,social,ango96,0,0,0.0
16,A,A,0,True,social,ango96,1,0,0.0
22,A,A,1,True,social,ango96,2,0,0.0
38,B,B,1,True,social,ango96,3,0,0.0
22,A,A,0,True,social,ango96,0,1,0.0
54,B,B,1,True,social,ango96,1,1,0.0
38,A,B,1,False,social,ango96,2,1,0.0
16,B,A,0,False,social,ango96,3,1,0.0
22,A,A,1,True,social,ango96,0,2,0.0
54,B,B,1,True,social,ango96,1,2,0.0
16,A,A,0,True,social,ango96,2,2,0.0
38,A,B,0,False,social,ango96,3,2,0.0
22,B,A,0,False,social,ango96,0,3,0.0
38,B,B,1,True,social,ango96,1,3,0.0
16,B,A,0,False,social,ango96,2,3,0.0
54,B,B,1,True,social,ango96,3,3,0.0
22,A,A,1,True,social,ango96,0,4,0.0
16,A,A,1,True,social,ango96,1,4,0.0
38,A,B,0,False,social,ango96,2,4,0.0
54,B,B,1,True,social,ango96,3,4,0.0
38,A,B,0,False,social,ango96,0,5,0.0
22,A,A,1,True,social,ango96,1,5,0.0
16,A,A,1,True,social,ango96,2,5,0.0
54,B,B,1,True,social,ango96,3,5,0.0
45,A,B,0,False,nonsocial,ango96,0,0,1.0
87,B,B,0,True,nonsocial,ango96,1,0,1.0
85,B,A,1,False,nonsocial,ango96,2,0,1.0
29,A,A,1,True,nonsocial,ango96,3,0,1.0
85,B,A,1,False,nonsocial,ango96,0,1,1.0
87,A,B,0,False,nonsocial,ango96,1,1,1.0
45,A,B,0,False,nonsocial,ango96,2,1,1.0
29,B,A,0,False,nonsocial,ango96,3,1,1.0
87,A,B,0,False,nonsocial,ango96,0,2,1.0
29,A,A,0,True,nonsocial,ango96,1,2,1.0
45,B,B,1,True,nonsocial,ango96,2,2,1.0
85,B,A,0,False,nonsocial,ango96,3,2,1.0
29,B,A,0,False,nonsocial,ango96,0,3,1.0
85,B,A,0,False,nonsocial,ango96,1,3,1.0
87,A,B,0,False,nonsocial,ango96,2,3,1.0
45,B,B,1,True,nonsocial,ango96,3,3,1.0
85,B,A,0,False,nonsocial,ango96,0,4,1.0
29,B,A,0,False,nonsocial,ango96,1,4,1.0
45,A,B,0,False,nonsocial,ango96,2,4,1.0
87,B,B,0,True,nonsocial,ango96,3,4,1.0
29,A,A,1,True,nonsocial,ango96,0,5,1.0
85,B,A,0,False,nonsocial,ango96,1,5,1.0
45,A,B,0,False,nonsocial,ango96,2,5,1.0
87,B,B,1,True,nonsocial,ango96,3,5,1.0
22,A,A,1,True,social,ango96,0,0,2.0
54,B,B,1,True,social,ango96,1,0,2.0
16,A,A,1,True,social,ango96,2,0,2.0
38,B,B,1,True,social,ango96,3,0,2.0
38,B,B,1,True,social,ango96,0,1,2.0
54,A,B,1,False,social,ango96,1,1,2.0
22,A,A,1,True,social,ango96,2,1,2.0
16,A,A,1,True,social,ango96,3,1,2.0
16,B,A,0,False,social,ango96,0,2,2.0
22,A,A,1,True,social,ango96,1,2,2.0
54,B,B,1,True,social,ango96,2,2,2.0
38,B,B,1,True,social,ango96,3,2,2.0
54,B,B,1,True,social,ango96,0,3,2.0
38,A,B,0,False,social,ango96,1,3,2.0
22,A,A,1,True,social,ango96,2,3,2.0
16,A,A,1,True,social,ango96,3,3,2.0
22,A,A,1,True,social,ango96,0,4,2.0
16,A,A,1,True,social,ango96,1,4,2.0
54,B,B,1,True,social,ango96,2,4,2.0
38,B,B,1,True,social,ango96,3,4,2.0
38,B,B,1,True,social,ango96,0,5,2.0
16,A,A,1,True,social,ango96,1,5,2.0
22,A,A,1,True,social,ango96,2,5,2.0
54,B,B,0,True,social,ango96,3,5,2.0
85,A,A,1,True,nonsocial,ango96,0,0,3.0
45,B,B,1,True,nonsocial,ango96,1,0,3.0
87,A,B,0,False,nonsocial,ango96,2,0,3.0
29,A,A,1,True,nonsocial,ango96,3,0,3.0
85,A,A,1,True,nonsocial,ango96,0,1,3.0
87,B,B,1,True,nonsocial,ango96,1,1,3.0
29,A,A,1,True,nonsocial,ango96,2,1,3.0
45,B,B,0,True,nonsocial,ango96,3,1,3.0
87,B,B,0,True,nonsocial,ango96,0,2,3.0
85,B,A,1,False,nonsocial,ango96,1,2,3.0
45,A,B,1,False,nonsocial,ango96,2,2,3.0
29,A,A,1,True,nonsocial,ango96,3,2,3.0
87,A,B,0,False,nonsocial,ango96,0,3,3.0
29,A,A,1,True,nonsocial,ango96,1,3,3.0
85,B,A,0,False,nonsocial,ango96,2,3,3.0
45,A,B,0,False,nonsocial,ango96,3,3,3.0
85,B,A,0,False,nonsocial,ango96,0,4,3.0
45,A,B,0,False,nonsocial,ango96,1,4,3.0
29,A,A,1,True,nonsocial,ango96,2,4,3.0
87,B,B,1,True,nonsocial,ango96,3,4,3.0
29,A,A,1,True,nonsocial,ango96,0,5,3.0
45,A,B,0,False,nonsocial,ango96,1,5,3.0
85,B,A,0,False,nonsocial,ango96,2,5,3.0
87,A,B,0,False,nonsocial,ango96,3,5,3.0
