stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
10,A,B,1,False,social,beka93,0,0,0.0
38,B,B,1,True,social,beka93,1,0,0.0
20,B,A,1,False,social,beka93,2,0,0.0
76,B,A,0,False,social,beka93,3,0,0.0
20,B,A,1,False,social,beka93,0,1,0.0
10,B,B,1,True,social,beka93,1,1,0.0
38,B,B,0,True,social,beka93,2,1,0.0
76,A,A,1,True,social,beka93,3,1,0.0
10,B,B,1,True,social,beka93,0,2,0.0
20,B,A,0,False,social,beka93,1,2,0.0
76,A,A,1,True,social,beka93,2,2,0.0
38,A,B,0,False,social,beka93,3,2,0.0
20,B,A,0,False,social,beka93,0,3,0.0
76,A,A,0,True,social,beka93,1,3,0.0
38,B,B,1,True,social,beka93,2,3,0.0
10,B,B,1,True,social,beka93,3,3,0.0
20,A,A,1,True,social,beka93,0,4,0.0
10,B,B,0,True,social,beka93,1,4,0.0
76,A,A,1,True,social,beka93,2,4,0.0
38,B,B,0,True,social,beka93,3,4,0.0
20,A,A,0,True,social,beka93,0,5,0.0
76,A,A,1,True,social,beka93,1,5,0.0
10,B,B,0,True,social,beka93,2,5,0.0
38,B,B,1,True,social,beka93,3,5,0.0
89,B,B,1,True,nonsocial,beka93,0,0,1.0
65,A,A,1,True,nonsocial,beka93,1,0,1.0
21,A,A,1,True,nonsocial,beka93,2,0,1.0
91,A,B,0,False,nonsocial,beka93,3,0,1.0
65,B,A,1,False,nonsocial,beka93,0,1,1.0
89,B,B,1,True,nonsocial,beka93,1,1,1.0
91,A,B,0,False,nonsocial,beka93,2,1,1.0
21,A,A,1,True,nonsocial,beka93,3,1,1.0
65,B,A,0,False,nonsocial,beka93,0,2,1.0
89,B,B,0,True,nonsocial,beka93,1,2,1.0
21,A,A,1,True,nonsocial,beka93,2,2,1.0
91,B,B,0,True,nonsocial,beka93,3,2,1.0
89,B,B,1,True,nonsocial,beka93,0,3,1.0
21,A,A,1,True,nonsocial,beka93,1,3,1.0
91,A,B,0,False,nonsocial,beka93,2,3,1.0
65,B,A,0,False,nonsocial,beka93,3,3,1.0
91,A,B,0,False,nonsocial,beka93,0,4,1.0
21,A,A,1,True,nonsocial,beka93,1,4,1.0
89,B,B,1,True,nonsocial,beka93,2,4,1.0
65,B,A,0,False,nonsocial,beka93,3,4,1.0
65,B,A,0,False,nonsocial,beka93,0,5,1.0
89,B,B,0,True,nonsocial,beka93,1,5,1.0
21,A,A,1,True,nonsocial,beka93,2,5,1.0
91,B,B,0,True,nonsocial,beka93,3,5,1.0
76,B,A,0,False,social,beka93,0,0,2.0
10,B,B,1,True,social,beka93,1,0,2.0
20,B,A,0,False,social,beka93,2,0,2.0
38,A,B,0,False,social,beka93,3,0,2.0
38,B,B,1,True,social,beka93,0,1,2.0
10,B,B,1,True,social,beka93,1,1,2.0
76,A,A,1,True,social,beka93,2,1,2.0
20,A,A,1,True,social,beka93,3,1,2.0
10,B,B,1,True,social,beka93,0,2,2.0
38,B,B,1,True,social,beka93,1,2,2.0
76,A,A,0,True,social,beka93,2,2,2.0
20,A,A,1,True,social,beka93,3,2,2.0
76,A,A,1,True,social,beka93,0,3,2.0
10,B,B,1,True,social,beka93,1,3,2.0
38,B,B,1,True,social,beka93,2,3,2.0
20,A,A,0,True,social,beka93,3,3,2.0
76,A,A,1,True,social,beka93,0,4,2.0
38,B,B,1,True,social,beka93,1,4,2.0
10,B,B,1,True,social,beka93,2,4,2.0
20,A,A,1,True,social,beka93,3,4,2.0
76,A,A,1,True,social,beka93,0,5,2.0
10,B,B,1,True,social,beka93,1,5,2.0
20,A,A,1,True,social,beka93,2,5,2.0
38,B,B,1,True,social,beka93,3,5,2.0
89,A,B,0,False,nonsocial,beka93,0,0,3.0
65,A,A,1,True,nonsocial,beka93,1,0,3.0
91,A,B,0,False,nonsocial,beka93,2,0,3.0
21,A,A,1,True,nonsocial,beka93,3,0,3.0
91,B,B,1,True,nonsocial,beka93,0,1,3.0
65,B,A,0,False,nonsocial,beka93,1,1,3.0
89,B,B,1,True,nonsocial,beka93,2,1,3.0
21,A,A,0,True,nonsocial,beka93,3,1,3.0
65,A,A,1,True,nonsocial,beka93,0,2,3.0
91,B,B,1,True,nonsocial,beka93,1,2,3.0
21,A,A,1,True,nonsocial,beka93,2,2,3.0
89,B,B,0,True,nonsocial,beka93,3,2,3.0
91,B,B,1,True,nonsocial,beka93,0,3,3.0
65,A,A,1,True,nonsocial,beka93,1,3,3.0
21,A,A,1,True,nonsocial,beka93,2,3,3.0
89,B,B,1,True,nonsocial,beka93,3,3,3.0
89,B,B,1,True,nonsocial,beka93,0,4,3.0
21,A,A,1,True,nonsocial,beka93,1,4,3.0
91,B,B,1,True,nonsocial,beka93,2,4,3.0
65,A,A,0,True,nonsocial,beka93,3,4,3.0
91,B,B,1,True,nonsocial,beka93,0,5,3.0
21,A,A,1,True,nonsocial,beka93,1,5,3.0
65,A,A,1,True,nonsocial,beka93,2,5,3.0
89,B,B,1,True,nonsocial,beka93,3,5,3.0
